张凯-发言人1(00:08:00): 听得到，听得到。
贺东群(00:14:41): 还有，能修改日期的话，我们导出来的时候能不能就不需要回单导出，就直接从我们的导出订单里面合并一起？因为导。

夜航星(00:15:00): 导出订单合并一起啥意思？

贺东群(00:15:03): 意思就是我们根据他付款的时间线来导出所有的订单明细，就不用单独去导出回款的。我要找出这一个时间段所有付款的相关的明细。

夜航星(00:15:21): 付款的相关明细。

贺东群(00:15:33): 然后回款就可以不用了，因为现在回款它导出来明细，跟我们的订单明细它不太一样，所以说导出来，作用不大，如果能合并的话，就直接在那里导出来就好了。

夜航星(00:15:48): 他只有一个金额，没有，没有明细的，他没有，明细是疗程卡，就没有数量状态这些信息了。

贺东群(00:16:01): 数量。你说的是回款的吗？

夜航星(00:16:07): 对，你像，你回款和明细要扯在扯，扯到11个表导出，那明细它就没有。明细的。状态数量这些信息。

贺东群(00:16:27): 状态数量不是那么重要，重要的是它是同一个订单号，有项目名称，然后付款金额，如果是回款就弄这三个就可以了，让我清楚知道它是哪一个项目的，回款是哪个订单就好了，然后我们自己去搜就可以了。

贺东群(00:16:49): 可以吗？

夜航星(00:16:51): 可以，那现在的回款的问题是，现在没有明细，那相当于我现在。这样改好不好，我跟你讲讲一下，订单明细不去变它行，导出回款明细相当于精确到商品明细这个维度。

贺东群(00:17:20): 导出回款明细还是在这里改？

夜航星(00:17:25): 对，如果你改导出订单明细的话，那订单底下那些商品，它的状态数量，这些信息就会丢掉了。

贺东群(00:17:40): 那可以，

夜航星(00:17:41): 对。

贺东群(00:17:41): 还是导出回款这里，但是，它的标题要和导出订单明细那边一模一样，我要把两个合并到一个表里面去，然后去测试。

夜航星(00:17:55): 啥意思？合合并哪两个表？

贺东群(00:17:58): 是不是，比如说他们两个导出两个的标，标头要一样？这些东西我给你截个图！

张凯-发言人2(00:18:11): 他会把订单明细和回款明细并到一张表里去，所以标题要。一致是意思，不是你你们你们越讨论越偏了，

贺东群(00:18:24): 这个东西他们导出来，两边要同样的顺序格式，我可以导，然后我复制粘贴到它下面嘛，影响不大，但是这样子我好核对嘛。

夜航星(00:18:41): 这有个跟你要需要跟你澄清一下，回款明细那边他没有总数量。

贺东群(00:18:53): 这样没关系。

夜航星(00:18:53): 然后可用数量这些？

贺东群(00:18:56): 回款单的话你就给我搞市场，门店，然后订单这个要的，然后。

夜航星(00:19:05): 能放的字段我都给你放了！

贺东群(00:19:09): 搞不出来的，到时候你搞了之后我再看一下，是搞，然后其他的都不是很重要，我感觉。

夜航星(00:19:15): 有些字段它是放不上去的。

贺东群(00:19:20): 但是。啥字都放不上去！

夜航星(00:19:24): 你属于商品明细，字段是放不进去的。

贺东群(00:19:35): Than. 

夜航星(00:19:37): 因为回款和商品明细，他们都他们是并列关系，都是订单主表的明细表。相当于你现在是，从两个方向去导订单的明细。

贺东群(00:19:59): 我就要这些就好，这些数据能出来吧，没有框的那些有个标题在那儿，但是不要有内容也行。

夜航星(00:20:23): 时付已退，倒是能倒，它的放放在这张表定义会不是很清晰？

贺东群(00:20:33): 实付已退回款的话不会怎么存在实付？

夜航星(00:20:41): 它的总数量和？可用数量。

贺东群(00:20:46): 没事，我们自己去搜索订单就能查到了。这些可以？

夜航星(00:20:59): 你你这个截图，你宽出来部分？宽敞部分宽出来部分。

贺东群(00:21:11): 什么问题。

夜航星(00:21:12): 没有，宽帅部分是可以的。

贺东群(00:21:15): 都可以展示，其他的就留下那些标头就好了，这样子方便我复制。

夜航星(00:21:21): 其他的留下标头。

贺东群(00:21:24): 比如就是留下这个标题在上面，但是下面没有就空空着就好了。

夜航星(00:21:30): 你要这样子弄？不是你这样子拼起来。啥意义？

贺东群(00:21:40): 这样的，是因为我订单导出来，它是这样的顺序，我就可以直接导出回单的时候，直接复制下面的内容，粘贴上去就可以了，然后两个表就合并了。

夜航星(00:21:55): 两个表合并。

贺东群(00:21:57): 这是我这边操作的，反正就是要这么个东西就好。

夜航星(00:22:01): 不是这两个表，它理论上都合并不了！

贺东群(00:22:06): 不是你你这边不用合并，我就是导出订单再导出回款，然后再把回款的内容粘贴到订单下面去，他们的什么，顺序是一样的，这样子我求和各品相求和或者顾客你求和，他当月消费多少都能够提取到数据。

夜航星(00:22:28): 我肯定不会有列空着给你，就空着列，我肯定不会导出。

贺东群(00:22:35): 不用导出，空的就不能展现出来？

夜航星(00:22:43): 空的不太好。

贺东群(00:22:47): 思考一下。

夜航星(00:22:48): 能倒的，我给你倒嘛，就不会空。

贺东群(00:22:51): 先按照这个顺序能有的都搞嘛，搞不了的。

夜航星(00:22:56): 对，理论上你不应该两个表合起来用，他们是不同维度的事情。

贺东群(00:23:03): 也行，我可以搞一个回款的，到时候改一下公式就，这是第一个订单的，那员工分配的回款单能导出来吗？

夜航星(00:23:14): 员工分配。

贺东群(00:23:16): 比如说回款，目前是导不出来的。

夜航星(00:23:21): 员工分配的我，我倒看目前倒出来是啥样子？

贺东群(00:23:26): 服务单好像只有导出回款的，好像没看到。

夜航星(00:23:32): 服务单。

贺东群(00:23:35): 销售提成。

夜航星(00:23:35): 服务单跟回款没有直接关系？

贺东群(00:23:38): 销售提成？

夜航星(00:23:40): 销售提成！这有吧？

贺东群(00:23:50): 但他日期服务单的日志让我看一下，我先导出来试一下，之前是导不出来拆分开。

夜航星(00:24:01): 这边只是缺那个？缺归属日期，就回款的归属日期。

贺东群(00:24:10): 回款对回款这里是归属日期，它只有支付日期。

夜航星(00:24:16): 对，这个营业额分配导出就加一个回款，回款的归属日期。别的没问题吧？

贺东群(00:24:27): 我看了，没有问题，他现在有了导出来能够看。

夜航星(00:24:30): 他应该一直都有的。

贺东群(00:24:36): 没毛病，就加个归属日期就好了。

夜航星(00:24:38): Ok ok 可以。

贺东群(00:24:42): 前面还有好几个餐，到时候我整理出来，可能要需要你帮我改一下，日期我们这边改不了。这是问题，还有个商品管理，问题里面171。

夜航星(00:25:07): 171。

贺东群(00:25:09): 会员价后面增加一个员工价。

夜航星(00:25:14): 增加员工价。那我，我怎么判断你会员是员工？

贺东群(00:25:24): 雇员工档案有明细，他员工。

夜航星(00:25:28): 员工档案有手机号？

贺东群(00:25:34): 没有。选了吗。

夜航星(00:25:36): 顾客登录手机号，他出现在员工档案，且是在职状态。

贺东群(00:25:45): 对。

夜航星(00:25:46): 那他就被识别为员工？然后员工。享受，员工价。

贺东群(00:25:55): Than. 他就可以选内部单，就会有一个员工价，他不是我们的员工，他就点内部单，他也不能享受我们的员工价。

夜航星(00:26:17): 内部单。我怎么感觉内部单的页面都不需要了？

贺东群(00:26:22): 对，如果前面能够自动判断的话，内部单就可以取消掉了。

夜航星(00:26:30): 去改内部单，反而麻烦点去按走销售单，然后给你识别价格，可能。还简单一点。

贺东群(00:26:44): 可以。

夜航星(00:26:45): 那员工价他的所有处理逻辑跟会员价那些是一样的，他也可以阶梯合并什么的。

贺东群(00:26:58): 对。合并什么？

夜航星(00:27:01): 阶梯合并就是价格梯度？

贺东群(00:27:04): 他是，我们是这样子的员工价，比如说，比如说我给他设置肩颈，他一次是多少钱，他就固定的所有的，他不管买10次还是多少次，他都是固定的金额。

夜航星(00:27:25): 你这个逻辑有点复杂，他挑了个10次单？1010次那个会。

贺东群(00:27:35): 就没有会员？机器人的区别？

夜航星(00:27:37): 死死的看。

贺东群(00:27:38): 就只有。

夜航星(00:27:38): 10次卡他不享受10次卡的价格吗？

贺东群(00:27:43): 不想走。是不享受的，我记忆中。

夜航星(00:27:48): 你们，弄的逻辑跟会员价还不一致，员工价相当于要弄一个新的逻辑。

贺东群(00:28:01): 这样子吗。

夜航星(00:28:03): 对。

贺东群(00:28:03): 思考一下。我记得员工价他有的是折扣，有的是项目是什么，固定的价格。

夜航星(00:28:14): 你们不能稍微做一下统一吗？你们如果员工假情况很多的话。得把它说清楚！

贺东群(00:28:30): 这样的员工证？比如说今天双十一可能就是双十一，他就给他卖价格。固定的金额？

夜航星(00:28:43): 你还根据日期去判断感觉搞不了，逻辑，

贺东群(00:28:49): 无聊。

夜航星(00:28:49): 有点太太分支有点太多了。

贺东群(00:28:53): 那可不可以就在内内部转换单那里提取填了员工价的？我就给他一次是多少钱？车子。

夜航星(00:29:03): 你你主要是你给的不是员工价，你你要加上一次多少钱，这种判断如果是直接能等于员工价，

贺东群(00:29:13): 一次多少钱？不理解。

夜航星(00:29:16): 好弄，但是你加的条件有点多。

贺东群(00:29:21): 我没有条件，我就他买一次是多少钱，买两次多少钱，比如说一次是100两次就200，三次就300。

夜航星(00:29:30): 不是他要买个十字卡，那是走十字卡员工价格还是走10倍的一次卡的员工价格？

贺东群(00:29:40): 我的意思不管他买一次还是10次，他的单价都是。

夜航星(00:29:47): 你这个逻辑很复杂。

张凯-发言人2(00:29:53): 小群你要的是在商品管理里面增加一个员工购的字段，开单，如果是员工单的话，提取这个字段就行了，你跟几次有什么关系？

贺东群(00:30:06): 那就是单价是不是？

张凯-发言人2(00:30:09): 你新增一个 sku0？

夜航星(00:30:10): 你填多少，我给你识别成多少嘛，你不要搞那么多逻辑分支了。

张凯-发言人2(00:30:13): 对你比如说你设置一个1万字的 sku，

贺东群(00:30:17): 我就要有东西。

张凯-发言人2(00:30:22): 你标价1亿块钱，那卖也是1块钱，那跟单价无关了。

贺东群(00:30:27): 啥意思，我又被你们说糊涂了都。

张凯-发言人2(00:30:31): 在商品里面增加一个一个员工价就可以了，是这个意思不？

贺东群(00:30:40): 我这个意思。

张凯-发言人2(00:30:41): 你们讨论那个次数？

贺东群(00:30:47): 反正我就是要有填员工价的地方。

张凯-发言人1(00:30:52): 员工。

张凯-发言人2(00:30:54): 需要讨论次数吗？谢工？

夜航星(00:30:57): 现在有两种改法，是我，员工单这边改逻辑，然后另一种改法是，

张凯-发言人1(00:31:05): 它不一致诶！

夜航星(00:31:10): 员工价跟会员价的逻辑一致的话，我可以直接合到销售单那边。

张凯-发言人2(00:31:21): 他会员工买的会有折扣。

夜航星(00:31:25): 折扣已经体现在员工价上了吗？

张凯-发言人2(00:31:27): 他折扣不一定是5折，他有时候可能是4折，有的项目有可能是固定的。

夜航星(00:31:32): 对我，我知道那都是体现在你填的价格上。

张凯-发言人2(00:31:37): 对那阶梯价格合并，

夜航星(00:31:39): 销售单他那边还有额外的逻辑，就是阶梯的价格合并。这个需求记得？

张凯-发言人2(00:31:51): 那我得那我得设置 sku，那就乱套了嘞。比如说，我单次正常是200块钱一次，但是我卖给员工，我不管他买几次，他都是100块钱的。

夜航星(00:32:06): 好，不用这个逻辑，他相当于员工单，

张凯-发言人3(00:32:11): 然后。

夜航星(00:32:13): 他就是员工价标多少就是多少就没有额外的逻辑了，

贺东群(00:32:18): 这个意思。

张凯-发言人2(00:32:19): 对员工价没有额外的逻辑，

夜航星(00:32:20): 行。好好，我就从员工单页面改吧。

贺东群(00:32:28): 意思内部单？内部转换单。

夜航星(00:32:30): 对内部单自己改改逻辑，就到时候那个员工开单还是走这边走走内部单。

张凯-发言人2(00:32:41): 也是走这个单就是他从原来的默认5折改成去提取商品 sku 里面的员工价。

夜航星(00:32:48): 行好。

贺东群(00:33:00): 这个没问题了，然后还有一个就是我们的回款单，它的录入方式好像，这个流程好像有一点问题。最开始说的回款的话是在我们的美丫丫开单这里，比如说我开单的时候我选什么，我先是搜索顾客，搜索顾客之后它会弹出来，你是要给顾客回款给他新开单，然后。从这个流程去给开单，而不是在我刚刚截到群里面，在订单管理这里去搜索。

夜航星(00:33:51): 没问题，你很不好做到那么便利，我问问你个问题，你接触到顾客的时候，你你是不知道他要从回回款里面去家从就再购买疗疗程卡，新购买疗程卡？

贺东群(00:34:21): 新购嘛，我肯定知道嘛，跟我们最开始的设想是有点偏差，所有的订单，有欠款，它会永远挂在订单管理页面吗？然后再去搜索，然后再去还款。

夜航星(00:34:41): 对。会这样。

贺东群(00:34:47): 行吧，先这样吧！

夜航星(00:34:49): 需求不好改。

贺东群(00:34:59): 184收入查看。

夜航星(00:35:05): 搜查查看。

贺东群(00:35:06): 收入查看的话，按照分类，目前分类好像有一点不太方便看的，因为你看他前面销售后面他销他号生态合作我都不清楚，全是销售怎么的。然后我们要分的细一点，比如说销售上面有一个销售，然后点进去他的销售，再分分三个板块，自销，他销，生态，然后这样子他就去看他的明细就会很清晰，

贺东群(00:35:41): 再来一个服务，服务的话，字号反正也是这三类嘛，显示是显示我们的员工，他分配的比例的金额，不是订单的总额，我那天看了一下有一个美容师19800，他只分了一点点，但是它上面显示是19800。

夜航星(00:36:05): 比例是已经改了？

贺东群(00:36:08): 这边也改了吗？

夜航星(00:36:10): 比例这边不用想一想。

贺东群(00:36:20): 这边没有改耶，你看我现在截个图给你！

夜航星(00:36:25): 明的可能没有干。

贺东群(00:36:30): 19800看到了吗？他没有分配这么多，单不是他一个人的。

夜航星(00:36:42): 看到了，看到了，我了解了那相当于我做成。做两个下拉。选项，然后。一个下拉选项是销售和服务的选择就选你选，要么选销售，要么选服务，另一个下拉选项是这四个。这样子组合起来就会有八种情况嘛？

贺东群(00:37:11): 三个。意思？

夜航星(00:37:17): ok。

贺东群(00:37:18): 然后上面的有今日本月上月可不可以再给我们整一个自定义时间？搜索。或者说销售服务，比如说我想收某一个顾客。能不能搜索顾客？

夜航星(00:37:40): 你这已经是收完顾客进来了？

贺东群(00:37:44): 让顾客不是，比如说销售，我看我销售我记不得这个单有没有分配给我，但是我记得顾客的名字是不是，我就去搜索看这个顾客有没有分配给我，或者说有没有正常做单，我就可以在这里搜索到了，然后美容师自己去检查核对的时候，他自己也心里有数嘛。

夜航星(00:38:05): 看下员工绩效是？是哪个页面，我看一下看一眼。

贺东群(00:38:13): 这里没有搜索，比如说我们在对数据的时候，他会说我哪个人给我漏了，但是他又没有办法提供。漏了的证据。他自己能够在这里搜索，我们就可以省一道工序。

夜航星(00:38:50): 攻击下这个页面在哪我都有点忘了。

贺东群(00:38:58): 跟订单管理一，上面加一个搜索的框框就好了！

夜航星(00:39:03): 等等一下，等一下，这个页面在哪来？我看一眼。

贺东群(00:39:07): 在工作台。

夜航星(00:39:09): 工作台。

贺东群(00:39:12): 像订单一样，它上面有一个搜索顾客姓名或者手机号，然后下面有日期是不是？

夜航星(00:39:19): 它的入口？

贺东群(00:39:22): 在工作台。工作台的。工作台的收入查看。

夜航星(00:39:39): 我工作还没有输入查看。看到了，我看看。

夜航星(00:40:18): 这员工是他切换员工，他右上角切换员工，他是可以切换的。

贺东群(00:40:26): 我看到了，我知道可以切换员工，员工，比如说我一个人，我就是员工的时候，我可不可以。不行。

夜航星(00:40:40): 不是就你要搜啥，他所有他的人的。信息都在这边了。

贺东群(00:40:48): 知道，比如说我切换成了员工，然后我做我有没有把某个人分配给他的时候，我得一直划，一直不停的划。这样子很不方便，加入搜索的话，我可以直接切换到员工，然后去搜索某个顾客，我能够查到我有没有把顾客分给他。

夜航星(00:41:09): 你要搜顾客？就搜索你是搜员工还是搜顾客？

贺东群(00:41:20): 员工这里可以切换的？

夜航星(00:41:23): 对，员工可以切换。

贺东群(00:41:25): 我刚刚发成订单记录上面的搜索框框加时间，这样子就很好。就加一个小小东西就好了。

夜航星(00:41:36): 我想一下。

夜航星(00:43:22): 加个顾客搜索的？

贺东群(00:43:30): 改一下什么，就刚刚群里发的销售服务这两个板块，

张凯-发言人2(00:43:39): 你们是说在哪里加个顾客搜索？

贺东群(00:43:39): 然后刚才说。就在上面？

张凯-发言人2(00:43:45): 哪个板块收入板块吗？

夜航星(00:43:51): 你员工绩效？

贺东群(00:43:54): 员工收入这里？因为因为他不能够搜索我，我无法确定，比如说突然哪天我想看到，我有没有分配美美容师找我说，哪个顾客没有分配给我，然后我这里就。要一直往下滑去找不方便，我可以搜索顾客的话就能够知道，确实是分给他了。

夜航星(00:44:38): 那这一页它的到时候做出来。它这个页面就会。复杂一点！

贺东群(00:44:49): 复杂，比如说多复杂，生产生什么复杂？

夜航星(00:44:53): 筛选条件有点多。

贺东群(00:44:56): 我只需要能搜索顾客就好了！日期的话能不能够，可以加一个自定义，因为，因为我们的服务单它不能够去改归属日期，他们选择的本月的话是少了几天的。所以说需要加一个。

夜航星(00:45:31): 自定义。可以是，但是那我就这样摆进去了，我不会去管它的风格，就它页面好不好，看了，就把信息给你摆上。

张凯-发言人2(00:45:50): 还是要好看的。

夜航星(00:45:53): 有点多，不知道咋整好看。

贺东群(00:45:56): 对，你什么，销售和服务就两排小小的，就现合计像是这个合计在下面再加一个就两排，它就会很好看，然后上面的。

张凯-发言人2(00:46:10): 你画出来给谢工看了，你不是学了吗？

贺东群(00:46:15): 不行，我觉得我先这样子，在9月今日本月上月稍微缩小一点，再加个金嘛。

夜航星(00:46:26): 他小不了，这已经再小，你咋看？

贺东群(00:46:31): 今日那么把上月改成自定义，今日本月自定义？

夜航星(00:46:39): 经资本。自定义 ok。

贺东群(00:46:44): 销售的？

夜航星(00:46:45): 规划一下顾客，

贺东群(00:46:46): 四个板。

夜航星(00:46:48): 顾客是放在销售服务和列表之间。

贺东群(00:46:57): 这样子。

夜航星(00:46:58): 他只能搜他已经查出来的，他不是去服务器搜他只是搜。列表去搜。

贺东群(00:47:07): 比如说这里有分配给他，这个列表里面有的东西他就在这里能够搜到，没有他的话，搜不了这样的店里面。

贺东群(00:47:27): 然后。

夜航星(00:47:27): 还有啥？

贺东群(00:47:29): Yeah. 还有一个反馈就是，我们员工开服务单的时候，他会选一个美容师，他们很多人会误以为这里选了，已经分配给，分配给美容师了，然后他们不会去，不会去营业额分配那里改，我们可不？怎么说。

贺东群(00:47:55): 不可以在？服务人员这里目前不是只能搜索到本店的人员吗？我们可不可以增加到？所有出差的都在这。因为上次改了之后好像出差的人员也跑到分配那边去了。然后这边是不会展示的。

贺东群(00:48:22): 可以改过来吗？

夜航星(00:48:25): 你你这里为啥要动它？

贺东群(00:48:28): 因为那些店长说他们去检查很麻烦。

夜航星(00:48:34): 去检查很麻烦。

贺东群(00:48:35): 他每一天他说干了一天的业绩，我还要一天去检查私人有没有分配什么什么的这样子。

夜航星(00:48:44): 服务单那边要选要可以。

贺东群(00:48:49): 对，可以选择到。

夜航星(00:48:51): 出差的。

贺东群(00:48:53): 出差的所有人。

夜航星(00:48:55): 独裁所有人 ok？

贺东群(00:48:57): 美容师养生师，品相老师能服务顾客的都能筛选到可以吧？店长也可以筛选到店长，

夜航星(00:49:05): 他只要出差就可以选。

贺东群(00:49:05): 店长也可以 ok ok 这个。

夜航星(00:49:10): 然后他是 ok，

贺东群(00:49:11): 你想到。

夜航星(00:49:13): 只要出差就可以选，本本市场还是全部都可以，全部都可以？

贺东群(00:49:21): 什么都可以，

夜航星(00:49:22): 这个是 ok ok？

贺东群(00:49:23): 排序的话是要本店的人员在最上面。

夜航星(00:49:27): 好可以排序可以，现在排序它是有排好吗？

贺东群(00:49:33): 现在排序因为只能看到自己店面的，他肯定是。

夜航星(00:49:38): 我知道我，我说？营业额分配那边排序是排好的吗？

贺东群(00:49:47): 真是的，没有毛病。分配这边我是。

夜航星(00:50:04): 还有啥来着？

贺东群(00:50:07): 还有啥。刚一打开有点忘记了。

夜航星(00:50:12): 表格没问题的，你给我关掉嘛，你关掉，这样少一点。咱们现在过一下嘛？

贺东群(00:50:32): 家居产品上次有修复吗？

夜航星(00:50:32): 也没几个。

贺东群(00:50:37): 我顾客乳酶的，他买了产品，但是他只付了一点点的钱。没有显示他有产品。

夜航星(00:50:47): 家具产品我是觉得一直都没有问题，你给个截图看。

贺东群(00:50:57): 你给我网络搜索一下，等我一下，比如说我买了10个，我只付了两只的钱，那么这两只也要给我展现出来吧。

夜航星(00:51:08): 会展示。

贺东群(00:51:10): 我测试的时候一直找不到。搜索一下。

夜航星(00:51:16): 因为我测过就是卢，卢梅这个人。

贺东群(00:51:23): 你看我发群里的，我这里显示它就没有产品。

夜航星(00:51:33): 那他们买的吗？我买的是。

贺东群(00:51:38): 他要买的啥？

夜航星(00:51:39): 买的啥。

贺东群(00:51:42): 买的给你截个图！

夜航星(00:51:45): 我看一下，我找一下。

贺东群(00:51:48): 你看他买了10盒只付了两盒的钱。按道理来讲，产品它应该展示有两盒的，它不展示。

张凯-发言人3(00:52:41): 行我。

夜航星(00:53:11): 确实。可能代码，处理合并的时候可能丢掉了，好，我这再给它加上，因为我之前。改过？Ok. 

贺东群(00:54:23): 有服务单备注我这里有一些。一些。有一些药你这边帮我改一下。寄存单退款专用那一段话会不会太长，要不搞一个简约的，到时候他们直接筛选。

夜航星(00:54:48): 这筛选跟长不长没关系？

贺东群(00:54:53): 太长了，我怕他们看不完！每次他们都会自己手动去填积木错了，什么寄存错了。

夜航星(00:55:04): 行都行，改短一点！

贺东群(00:55:07): 改短一点，让他们一眼就能看看清楚的那种可以选。

张凯-发言人2(00:55:11): 哪个东西改短一点，这影响不大吧，反正。

贺东群(00:55:13): 之前有一个退款，看一下是啥来着，有点长是。寄存单退款专用老系统寄存疗程卡退款核销不计消耗业绩，要不就直接寄存汇款不算消耗？寄存错误不算消耗寄存，思考一下。不大是我想让他们一眼就看到这选了就是不算消耗的，

贺东群(00:55:52): 不管退款录错，他都选，

夜航星(00:55:55): 不是他就我们就一个选项，

贺东群(00:55:55): 那就很轻。

夜航星(00:55:57): 我们就一个选项他。

贺东群(00:56:01): 知道不。这是他们。

夜航星(00:56:06): 他又不是很多个选项，总共就一个选项。

贺东群(00:56:10): 虽然说很有道理。要不就把老系统寄存退款核销，去掉退款单？

夜航星(00:56:16): 就他不管字怎么改，他都是意思。这跟改制有啥关系？

贺东群(00:56:23): 我们可以重点讲一下，让他们统一去选，然后我们导出来的时候嘛，也方便看嘛，太长了。

夜航星(00:56:30): 不是你导出来的时候？你长一点更容易识别！

贺东群(00:56:39): 你这么说很有道理，

夜航星(00:56:40): 你你又不用把那些字全看完，

贺东群(00:56:41): 那不敢就这样。

夜航星(00:56:43): 你大概就知道他就好了。

贺东群(00:56:45): 行，那就这样就不改它，然后就帮我改一下这几个。这几个对错的。

夜航星(00:56:52): 好。

贺东群(00:56:55): 然后其他好像我这边没有了。

夜航星(00:57:00): 好好。

贺东群(00:57:02): 还有一个问题就是我们的消防，消防大概啥时候搞，现在顾客天天闹麻了。什么时候能办下证来？孩子跑哪里去了？怎么不讲话？

张凯-发言人2(00:57:21): 没办下来。

夜航星(00:57:22): 我也想问，我也想问这个事情。

贺东群(00:57:25): 你什么什么时候能办下来？弄一个时间概念性质？

张凯-发言人2(00:57:29): 谢工没搬下来，问题不能解决吗？

夜航星(00:57:34): 更新不了咋解决？

张凯-发言人2(00:57:39): 更新不了，

夜航星(00:57:40): 我现在每次更新，都很小心，因为前端不能更新，但后端有时候会改点东西，我还得每次都去判断他们前端后端能不能用。

夜航星(00:58:12): 你你那证没下来，然后他会因为保健类的过不了代码就更新不上去。

张凯-发言人2(00:58:24): 这代码里面有保健类的。

夜航星(00:58:30): 他会去审核人员会打开 app 小程序去看，然后他就反馈过来，他截图过来里面有保健类的。之前有个图就很明显就是按腰，然后那个模特就还光着。

张凯-发言人2(00:58:51): 现在估计一时半会弄不好，这个问题不能解决！

贺东群(00:58:58): 那顾客到时候他说他的卡不对，那咋整？他要一次一次的数，有60次，他就有66十个一次的耶。反正你抓紧吧！还有一个谢工，我们手机端顾客，他只能显示20个可不可以再多一点点？

夜航星(00:59:32): 顾客显示20个？哪里写的20个？

贺东群(00:59:36): 我们手机端登录进去，然后这家店的顾客，他有100多个，但是我往下拉。它只能显示20个顾客。它不会更新？

夜航星(00:59:55): 20多挺好的，你收嘛？

贺东群(00:59:58): 搜索，万一他们记不住我个名字叫啥那不是。

夜航星(01:00:05): 行吗行，可以解决。

贺东群(01:00:16): 其他我没有了。我想起来，又有一个刚刚想起来就是我们有一个一推第一题我看一下这题出什么。有一个商品的分类地推拓客卡，推荐的顾客，我们不需要他必须分配，可以给我们设置成不用分配，它也不会显示在我们营业额分配这里挂着。

夜航星(01:00:58): 啥意思。

