夜航星(00:04:59): 东哥你要不要叫一下张凯？
夜航星(00:10:26): 我可以给他这个品相分类，它就是按照三层的展示结构就塑形结构的分类，它得放在商品这一层级，因为因为我们是通过品相，然后去找出，就是这个品相下面有哪些商品，它商品列表是什么样的，就是我们那个浏览商城的时候。

夜航星(00:10:59): 那1级的关系？

张凯(00:11:03): 我记录了一下它这个品相分类能我们自己自定义去分类吗？

夜航星(00:11:10): 品相分类。后面可以设置成自定义。

张凯(00:11:16): 比如说我下拉选项嘛，下拉选项我自己设定，因为它里很多，它很多不属于品相分类，你看我这个界面。

夜航星(00:11:23): 有的你返回一下，我们有编辑。

张凯(00:11:28): 在哪里，你说在这里是不是，但是。

夜航星(00:11:30): 右上角对。

张凯(00:11:40): 它就是可能是存在，因为我们标题是福利活动护理项目家居产品和充值卡，这四个标题是没什么问题的。

夜航星(00:11:46): 对。对这是恒定的。

张凯(00:11:51): 但是它这四个下面它可能都存在同一个品项，也可以存在不同品项，比如说慢之语，比如说曼之语，它在护理项目，它有疗程，这个品牌同时它也有家居产品。

夜航星(00:11:57): 可以的。可以的支持现在。

张凯(00:12:07): 支持？

夜航星(00:12:08): 对可以的。这字段是可以的，你可以试一下。

张凯(00:12:13): 你可以修改，我昨天有试到，然后还有一个问题就是它应该和那个小程序的。

夜航星(00:12:16): 这可以修你修改。

张凯(00:12:26): 小程序的顾客端它是分开独立的？

夜航星(00:12:30): 小程序的顾客端对它们俩是能关联上，现在它们对应的是两个数据库，现在因为那个小程序那边我还没调试。

夜航星(00:12:46): 现在目前部署上去是两对应两个数据库，所以你你这边修改那边不会动。

张凯(00:12:50): 没事，我表达的就是这个意思就是我的意思我们后台设置了很多商品，比如说，因为商品它其实有一个是产品价目表就是我们的后台是供给大家去采购报货的嘛。

张凯(00:13:12): 然后它并不代表可以卖，因为它里面可能有很多耗材，然后第二个商品就是可以售卖的项目疗程或者家居产品，就是对应的我们 wifi 的那个可售项目的清单。

夜航星(00:13:14): 是的。

夜航星(00:13:29): 对。

张凯(00:13:30): 第三个就是顾客的小程序端上面能展示的哪些东西。我的理解小程序上能展示的东西是从第二类可售的项目里面去提取来的并不完全相等。

夜航星(00:13:51): 对是第二类可售里面属于该市场可销售，且是启用的那种商品。

张凯(00:14:00): 对它并不完全相等，因为他只能去他可能会不会把所有的东西都展示出来，他可能就展示个50%的项目出来。

夜航星(00:14:09): 对它有些它是可以不启用的。

张凯(00:14:14): 那然后。本身就不是关联的，因为我看到好像是我在选这个品相的时候，我好像看到它就是和那个小程序界面展示的分类一样。

夜航星(00:14:32): 目前他们都是从从那边我用一个脚本把数据拉过来。

张凯(00:14:42): 意思回头可以切割开，就是我小程序展示的不一定是我商品里面的所有的产品。

夜航星(00:14:51): 就他这边管理逻辑是，这边如果启用的话，小程序那边是要会看见的。

张凯(00:15:01): 不是因为我们有很多东西。

夜航星(00:15:03): 这不是那这边就不用放商品管理就管理小程序展示什么的。

张凯(00:15:15): 就是管理小程序展示的。

夜航星(00:15:18): 对就是商品嘛，要卖的东西。

张凯(00:15:22): 它按道理，它是切割开的，应该它有个按钮是否展示在小程序这样子。

夜航星(00:15:29): 有启用功能不。

张凯(00:15:33): 如果我关了启用，我开后台开单能开到吗？

夜航星(00:15:38): 后台开单。这设计上是开不到的。

张凯(00:15:46): 那要开单的！

夜航星(00:15:49): 要开单。

张凯(00:15:50): 比如说某个项目，我们员工是可以开单的，我并不想把它放在小程序上去展示。

夜航星(00:15:57): 这样子，那可以，那就做后台做个逻辑，就是不管有没有启用，就后台都可以选到这个商品。

张凯(00:16:00): 对。

夜航星(00:16:13): 你这个列表往下滑一点滑到下面对我们那个生效日期就是否在那个小程序上展示是通过这个生效日期来的。

张凯(00:16:16): 我，我看到了有个日期嘛！

夜航星(00:16:28): 截止日，如果你不想让它展示就截止日期放就改成昨天给它截掉就好了。

邵冬(00:16:36): 张总这个想法主要就是他有些商品不能在小程上展示，但是他们要卖，有些东西是不能给人家看，但是他是在卖的，所以他员工要能选到大致就是业务场景是这么个场景。

夜航星(00:16:42): 可以。我们逻辑就是。

张凯(00:16:57): 逻辑商品管理，只要我。

夜航星(00:16:59): 那员工端的小程序是要展示的？

张凯(00:17:03): 只要我因为我那个 workfight 它不是有一个可售项目吗？就是只要我打开了，它是属于可售项目，员工都能看到，但是我另外还要再去确认一下这个是否在小程序上去展示。

张凯(00:17:25): 如果按我做的逻辑的话，我那我就默认为这个商品管理它是属于员工全都可以选到的，然后另外再加一个板块，那个小程序展示的，就从这里面去提取。

夜航星(00:17:40): 那员工端那我就不管他那个商品是否在生生效期内都展示。

张凯(00:17:54): 不是员工单，他是有生效期的，比如说像那个什么套餐，他确实是有可能限定某一个月，他是有也可能是到我们今年就换项目了，就不做了，就是他是会到期的。

夜航星(00:18:07): 那我再加一个字段就说要是否在客户端展示？

张凯(00:18:18): 对那客户端展示的话，排版怎么排？

夜航星(00:18:24): 排版，你你点一个进去就排版，它都是固定的，然后往下滑展示的部分就是我们排版会这个顺序就是先展示那个封面图。

夜航星(00:18:44): 然后再接再下面就是价格名称这些，然后再下面规格，然后再往下就是商品描述，然后再接着是详情图可以多张。

张凯(00:19:00): 我看一下哈！

夜航星(00:19:02): 就有点类似我们就淘宝那种形式。

张凯(00:19:07): 有一个很大的问题是。我找一下首页。

张凯(00:19:29): 咱们这里的我把这个截图发发到这里。他这个首页，他要和商品管理切割开，就是因为营销他名字他可能会经常改。比如说，有时候他可能并不想就按照你系统定死的他可能会有另外一个好听的叫法，或者说营销活动，他并不能跟。

张凯(00:20:01): 跟商品管理完全关联的，他可能会自定义去取一些名字啥的分类。比如说我再发一张图。

夜航星(00:20:12): 这个品相那边改掉不行吗？

张凯(00:20:13): 品相不行的品相又关联到员工提成？

夜航星(00:20:23): 就品我们员工提成不是跟品相关联，是跟销售分类关关联？

张凯(00:20:25): 不是。销售分类也跟品相关联，我那个品相就定好了销售分类的。

夜航星(00:20:35): 品相定好了销售分类行，那我再多加一个展示名称。

张凯(00:20:38): 展示名称那你要分割开，因为因为商品管理的权限不能让别人随便动的，他不会授权到商企划部去企划部只负责前端的装修，这是两个部门负责。

夜航星(00:20:45): 对你因为？

夜航星(00:20:59): 商品。

张凯(00:21:02): 商品是不会经常动的可能只能到我这里，别人申请了，签完字了我才会去改商品，因为它牵扯到很多东西。

夜航星(00:21:13): 你们经常要变名称？

张凯(00:21:16): 名名称不会变吧，但是他们比如他那个小程序相当于一个门头装修嘛，他有可能按品相去分类，他有可能按身体部位去分类，你有时候他们营销活动跟不上他们节奏的。

夜航星(00:21:31): 身体部位去分类？

夜航星(00:21:49): 这个不好做，有点难弄。

张凯(00:21:57): 有点难弄！

夜航星(00:22:01): 相当于2级目录要经常变动。

张凯(00:22:13): 你把它和商品管理切割开，单独做一个板块就可以解决。

夜航星(00:22:17): 影像分类吗？因为它是要关联到商品的商商品绑定品相这个字段。

张凯(00:22:28): 我知道我的意思是我们假如我们现在把这个顾客端首页完全跟我现在的商品管理切割开就没关联，然后我新建一个，比如说营销展示板块，假设哈。然后里面的分类四大类，比如说像那个什么，我发到群里的截图，左侧的栏目，比如说头部解压，保健毛巾测试分组这几个类别的名字。

张凯(00:22:56): 就跟让他们自定义了，他可以自己增加筛选下拉选项，然后他填多少就展示多少了，然后提取从商品管理里面提取他头部解压里面要展示哪些商品，然后保健里面要展示哪些商品，他自己去提取嘛。

张凯(00:23:22): 我旁边来个信息不？

夜航星(00:23:25): 我能理解一下！

张凯(00:23:30): 这个标题让他自定义给他设定一个下拉选项，里面的商品让他自己去分类，他要从商品管理里面去选取头部解压里面放哪几个保健里面放哪几个。

张凯(00:23:49): 这样就保证它价格是一致的，因为它只能从商品管理里面去提取来，它不能去改里面的属性。

夜航星(00:23:58): 这可以再做一个功能，就是这个功能就顺顺带把刚才你你说的要不要再要不要在那个小程序端展示商品一起解决了？

张凯(00:24:12): 对分类他自己分，然后每个分类里面选哪些商品，只能从商品管理里面去选对。

夜航星(00:24:21): 那我们现在护理项目家居产品这那四个分类跟品相分类不关联。然后用用自定义这些分类去跟这些这四大类去关联。

张凯(00:24:36): 对。说这里面是不？

夜航星(00:24:44): 对。

张凯(00:24:46): 对可能品相你就把它理解为一个品牌，我们注册了商标，比如说曼之语，他可能在福利活动里面，某一个套餐里面可能包含了好几个品牌的项目护理，那比如说曼之语，它有护理项目曼之语，它同时它也有产品护肤产品。

夜航星(00:25:08): 我理解了，那就再增加一个.. 这商品管理去改动我理解了。

张凯(00:25:22): 我昨天第一看到商品测试的时候，就是这个套餐和把这个品项分类同时放在主表去选，好像不太对。

夜航星(00:25:37): 那我，你们对套餐定义什么，我目前是套餐跟福利活动是绑定的。

张凯(00:25:51): 套福利活动套餐。你你这里选了个是否套餐是啥意思？

夜航星(00:26:00): 这个商品是不是属于套餐那一类的商品，而你这个是选不了的，因为它跟那个福利活动是绑定的。套餐意思这个商品它是个多个商品的组合。

张凯(00:26:20): 可以就选了套餐，实际上面就可以添加很多规格是不？

夜航星(00:26:27): 不是选择套餐，这个商品只能下单，不能加入购物车，因为这个商品本身是一个商品的组合。

张凯(00:26:38): 对是。

夜航星(00:26:41): 如果是商品组合的话，那跟数据结构上跟订单是同个级别的。

张凯(00:26:50): 然后这个商品里面包含了套餐那套里面多选一或者多选多怎么怎么实现？

夜航星(00:27:02): 多多选一多选多啥意思，这个商品里面包含套餐，意思就是我们。在刚才你截图的那右边列表就是这边商品对应你截刚才截图右边的列表的一项。

张凯(00:27:29): 它里面是有子项目，你看我这个界面就是它，我昨天测试的套餐，它里面是有子项目嘛，然后比如说会存在。子项目里面你只能二选一，或者说二选二，然后每一个就是你总共这个套餐只能选两次，你可以选两个热敏灸你也可以选两个水水光套你也可以一样选一次。

夜航星(00:27:48): 我了解。我能我理解你的意思，可能这块功能在这个管理后台还没有去完善好哈，那我这边设计逻辑是这样的，就是如果一个商品它是套餐的话，那它这里面的规格表就相当于它套餐包包含的那个东西，如果它不是到套餐的话，就它只能去选一个。

张凯(00:28:04): 就跟我上次举例子！

夜航星(00:28:31): 去加数量。

张凯(00:28:35): 不是套餐只能选一个去加数量。

夜航星(00:28:38): 对。选一个加数量去加入到购物车或者直接下单，如果是套餐的话，就是他选中全部底下的商品。

张凯(00:28:54): 是套餐，它就是它是整个跟大礼包一样，它就是里面包含了所有的子项。

夜航星(00:28:58): 对是套餐的话就不用他选了，就默认选择全部了。

张凯(00:29:06): 对。然后但是他多选多是咋实现？

夜航星(00:29:12): 多选多是啥意思。

张凯(00:29:16): 我刚刚举的例子，上次咱们沟通举的例子，假如我在麦当劳买了一张券，那这张券，它汉堡可以五选一饮料可以六选一，然后小吃可以五选二。

夜航星(00:29:33): 你还要这种动态套餐？

张凯(00:29:37): 对你忘了吗。

夜航星(00:29:39): 动态套餐要让他选可以员工端下单处理吗？

张凯(00:29:53): 员工在处理，现在顾客下单的时候，他不知道他选哪一个，反正我告诉顾客这个套餐里面包含这些东西，他要等做的时候才能确定选哪一个。

夜航星(00:30:06): 做的时候才确定选哪一个？

张凯(00:30:07): 他买的时候他可能是确定不了。

夜航星(00:30:11): 可以就是你你编辑一个规格，那这规格就是几选一。你把价格定好了。

张凯(00:30:28): 我们商品管理设置的界面，好像没有多选几。

夜航星(00:30:36): 没有多选几。

张凯(00:30:42): 按道理，它是套餐的话，那这些扩展表就是规格列表的上1级应该我要设定一下，这个只能二选一或者说。八选二。

夜航星(00:30:59): 这样可不你一个套餐里面，你可能比如说会有多个多选几。

夜航星(00:31:11): 价格是一样的吗？

张凯(00:31:14): 价格我会我们会去分配，根据它不同的品相去分配，保证我总比如说我这个套餐总价是1000，我会去设置这个价格会让他随便怎么选，最终总金额都要等于这个1000。

夜航星(00:31:19): 不同品。随便怎么选总金额等于1000？随便怎么就是你总得做些限定吧！

张凯(00:31:38): 你看我下面是不是有个价格标价298会员价有200我是200我设定的是上面两个扩展表，每一样都。

夜航星(00:31:44): 对。

张凯(00:31:56): 这个卡你不能选，就必须包含了项目一次，那我会设定这两个价格加起来刚好等于200。如果这两个项目只能选一次，就是我这张套餐里面你只能二选一，那么我会把他们每个子项都设置成200。

张凯(00:32:17): 如果是我这个套餐能设定成这两个项目你任选都可以选，你可以总共可以选两次，那是不是一次就是100我就会把他们的项目设定成100一次？

张凯(00:32:34): 把价格。

夜航星(00:32:35): 太灵活了，很难实现得换一种方法去实现，比如说我们。

夜航星(00:32:47): 我让顾客选好东西，然后总价上改价格。

张凯(00:32:52): 总价。

夜航星(00:32:54): 走套餐就相当于走订单的形式，商品选好了然后去改价格。

张凯(00:33:02): 不用你你这里已经给已经可以改价格了，这里改！

夜航星(00:33:06): .. 我知道这边做不了去任意选择哪个？商品，因为你这相当于是3级嵌套，现在做2级嵌套，3级嵌套就到时候那个数据库很不好存。

张凯(00:33:31): 我觉得还是要把什么套餐和常规的商品分开分不能并到一块儿来。

夜航星(00:33:41): 你展示它是在一个地方展示的，它们层级是一样的。

张凯(00:33:47): 是一样，说看起来系。

夜航星(00:33:50): 我们处理逻辑也是不一样的套餐是跟订单同个层级的。

张凯(00:33:59): 邵冬你看哈！

夜航星(00:34:05): 你们数据结构里面也是套餐跟订单是同个层级的订单里面对应多个商品。

张凯(00:34:08): 那我们。

夜航星(00:34:17): 那套餐也是对应多个产品。

张凯(00:34:19): 你看我这个界面就是我们设定的每一个品相可以卖哪些项目。比如说，美在东方，它有家具产品，它单单独一张表，然后美在东方，它也有做服务的，单独一张表，里面都包含了不同的东西。

张凯(00:34:42): 如果我要做促销方案。我会在这里新建一张。这里面的指向，就是从就不能，我只能自己不能随意改，只能从可售项目里面提取过来，把它形成了一个促销包嘛，就可以理解为大礼包。

张凯(00:35:08): 然后这大礼包里面其实可以包含不同的品项，你看安吉利蜜语生机圣元养心美在东方润美酒，然后顾客选的时候。就直接提取所有的指向11次性提取过去，现在我们因为如果涉及到几选几的话。

张凯(00:35:32): 就涉及到我不确定顾客几选几，我就有时候把这个数量这一列数量空着，让他们自己去填。就是他卖的时候开单会提取到这整个促销包里面所有的项目，但是这个数量他可以自己填，然后他不管怎么填，他最终加起来的金额肯定等于这个我的我总金额除非他填错了。

张凯(00:35:59): 因为我会单独每一个指向做优惠，原价肯定是不能去动的了，我在这里做优惠之后我保证每一个品项的。

张凯(00:36:12): 每一个指向的实际的单价都是一致的，他怎么选，最终只要他数量没选错，算出来都等于三3980。

张凯(00:36:23): 我是这么个逻辑。

夜航星(00:36:24): 我能我理解你的逻辑，那能不能这样，现在随随便打开一个我们。就打开第一个对我们可以让他填数量，我做不到分组。

张凯(00:36:46): 做不到分组，那几选几，可以设定吗？

夜航星(00:36:49): 几选几可以设定，但是如果他选很多，那怎么办？

张凯(00:37:02): 他选不了，比如说我这里，比如说我以为案例。

夜航星(00:37:07): 那他都往位的去选没问题吗？都往贵的去选。

张凯(00:37:09): 我只能设定的二选一，他只能。不会我会他可以选贵的，但是我设定这个套餐的时候，我会把他们价格做个优惠，让他们每一个单价都一模一样。

夜航星(00:37:27): 每个单间的一模一样。

张凯(00:37:29): 你看嘛，你看我刚刚嘛，我刚刚打开的。

张凯(00:37:37): 这我这是个促销包，我原价有680的有598的，有298的，然后有398的。

张凯(00:37:50): 现在还有这个5800的一次的我为了让他们不管怎么，因为有规定，比如说我规定的，我上面有规定的什么？热敏酒热敏灸的三款只能选一个其他什么什么什么项目，什么任选6次，我就根据这个条件，我把这些做了不同的优惠，你看让他这。

夜航星(00:38:08): 我知道，我理解了，就是我们能不能建个规格是几选一就好了。

张凯(00:38:19): 这三个单价也一样，然后前面的单价也一样，也就说他。文字吗。

夜航星(00:38:34): 对。可以做到的就把价格跟标价，会员价都给他定好，到时候他服务的时候那就让他选哪个就好了。

张凯(00:38:51): 他会多选吗？会存在？

夜航星(00:38:53): 不会作曲。

张凯(00:38:59): 意思他也他可以满足任选，也可以选择多选多。

夜航星(00:39:05): 就是你比如说一，现在是相当于一有一个规格名叫三种汉堡三选一，然后这个数量可以一个可以两个，我们可以去设定，就在这个套餐里面。

张凯(00:39:23): 对。

夜航星(00:39:23): 他来服务了那就三个给他选一个让他选。

张凯(00:39:29): 对选他，如果他做了一次选完了他后，他以后就不能选了。

夜航星(00:39:34): 他做了一次，相当于扣了一次。

夜航星(00:39:41): 那就改规格名？

张凯(00:39:45): 规格名字是什么？

夜航星(00:39:48): 规格名就是其实那个商品，它不是展示商品，它是我们实际买的商品。

张凯(00:39:56): All. 所以我看着我就有点糊涂这个规格名好像它又变成了商品名字，然后下面又有一个商品名称，我没太看明白。

夜航星(00:40:10): 规格名就相当于比如我们淘宝购物，我们在。在浏览商品的时候会看到好多商品，我们点进去。我们选中一个规格，它才能下单。

张凯(00:40:31): 你看这里新增一个，它就只有商品名了，然后这里能给它拆分成两个板块吗？我看着我有点看着。适应不了。

夜航星(00:40:43): 两个板块啥意思？

张凯(00:40:44): 你把单独的商品列一个板块促销方案另放另外放在一个板块。分两页吧。

夜航星(00:40:55): 分两页好像没有必要，因为它们是同个展示逻辑！

张凯(00:40:57): 对。

邵冬(00:41:01): 最好了，不要分成两页，加个标签，加个按钮，因为它逻辑是一样的，它套餐和商品逻同一层级的东西。

张凯(00:41:02): 但是。但我们理解起来无法理解。我们的理解是商品和套餐里面的子项是同一层级的。

邵冬(00:41:17): 你展示的课就是我觉得加个分类的分级的按钮就可以了，还是在这个页面可以给你分一下类。

夜航星(00:41:31): 分类是有的，现在是有分类的。

张凯(00:41:34): 现在这里是品相分类嘛，但是没有纯纯粹的商品和套餐的分类嘛。

夜航星(00:41:37): 对。

邵冬(00:41:42): 就加个。

夜航星(00:41:42): 现在套餐跟福利活动绑定的。

张凯(00:41:49): 套餐福利活动。

夜航星(00:41:51): 对。

张凯(00:41:59): 他俩商品名字，又规格名字，怎么又有一个商品名称规格？

夜航星(00:42:05): 商品名称，规格名称就是我们通常淘宝购物，我们不是选东西会看到一个就是列表吗？列表进去我们还得选规格，这是很通常的很通常。

张凯(00:42:16): 不。我是不是可以理解？

夜航星(00:42:22): 就最最最常用的购物逻辑了。

张凯(00:42:26): 我是不是可以理解为福利活动里面的规格名称就等于其他的项目的商品名称？

夜航星(00:42:37): 不是福利活动里面的规格名称，等于其他商品里面的规格名称。

张凯(00:42:39): 其他上面怎么会，你看我。

夜航星(00:42:48): 不是你购买一个东西，你购买不了商品，你只能购买商品确定的规格。

张凯(00:42:58): 对，那你看那我打开了一个商品，它这里它规格名称又变成了单次体验。

夜航星(00:43:06): 他还可以加一个疗程卡。

张凯(00:43:09): 那如果我新建一个套餐里面，我就提取这个法米索呵护膏，然后它那个规格名称它显示它应该显示的是法比索客户高吧？

张凯(00:43:26): 你看我打个套餐。行新增。

夜航星(00:43:27): 你要打个套餐？

张凯(00:43:34): 我随便选一个。加编一个大礼包。

张凯(00:43:52): 然后创建商品，然后进去修改是不添加规格，按道理是你看他怎么变成自己编辑的商品。

夜航星(00:44:07): 你你规格你你想填什么，你就是就算填那个什么什么三选一都可以。

张凯(00:44:12): 那不是，那我只能提取我这里面的指向不能去乱填！

夜航星(00:44:23): 最好不要做提取的逻辑，因为你你那个价格跟价格都不一样，为什么要提取？

张凯(00:44:32): 我名称必须要统一，我不是我不能，我随便去造个名称。

夜航星(00:44:39): 因为你们本来就是不同的品相，你三选一怎么会跟单单是一个品相？

张凯(00:44:46): 比如说我这里我就是要选那个呵护膏，我还得自己打打那个什么法米索呵护膏。

夜航星(00:44:54): 对。

张凯(00:44:56): 那你打的我打错了，要是名字不一样，或者说。

夜航星(00:45:04): 因为他们不是一个那个不是商品，不是就不是一个规格，因为它们价格不一样！

张凯(00:45:10): 但是。我理解的它就是同一个，我价格不一样，我只是做了优惠。

夜航星(00:45:19): 价格不一样的话，我们这我觉得现在做成设计，它兼容性比较好，它可以兼容你刚才说的那个几选几的情况。

张凯(00:45:29): 但是。你看我这些项目都是提取来的，不是我自己这个子项里面不是我自己瞎编的。如果像这种我这里又要编辑一下。我这里也要编辑一下。

张凯(00:46:01): 法米索。米索。都不高。你看标价也不对标价意思我要回去，你看标价不要这样先瞎填一个。

夜航星(00:46:35): 我可以让他有个选让你填充可以改，但不绑定可以吗？

张凯(00:46:44): 你看为什么名字要一样，比如说我这里卖的法米索呵护膏和我前面咱们打开的这个它其实是同一个东西。你看我得回来看一下他的标价，然后我要回去大礼包里面要再去改一下，这个标价原来是360。我假如我要在新的我这个套餐里面还包含了。还包含了美心门票，我得回来看一下美心门票的规格。

夜航星(00:47:27): 那你们会不会有就套餐里面有的产品那边没有？

张凯(00:47:33): 不存在，我只能是从那里面去选。

夜航星(00:47:36): 就有没有他们一些业务员想这种存在？

张凯(00:47:42): 美心。门票，然后139价格是68就是我添加一个，我得回去看一下，因为因为你你因为你要。

夜航星(00:47:57): 我理解你意思？

张凯(00:47:59): 因为它还涉及到我后面数据导出来，我名字看着都是乱的！

夜航星(00:48:04): 我理解你的意思，我想一下。

张凯(00:48:07): 那打比方这个创建好了嘛，这个创建，我回我去订单管理里面，假如他开完单了，然后。后台管理的也把单号导出来了，就存在了，其实大家买的是同一个东西都有，我单独买发明锁或呵护膏也是呵护膏，我套餐里面买呵护膏也是呵护膏，但是由于名字不一样，他后台的人就不清楚了。

夜航星(00:48:46): 这样子我可以给你做个填充，怎么可以吗？

张凯(00:48:51): 填充是啥意思，对就是提取不是一个逻。

夜航星(00:48:54): 但是他们本本质上 id 不是同一个。他们规格名可以叫一样的 id 不是同一个？

张凯(00:49:09): Id 不是同一个？

夜航星(00:49:11): 对。

张凯(00:49:17): Id 不是同一个？为啥 id 不是同一个？

夜航星(00:49:28): 按照我们的购物逻辑，我们选择好一个商品进去，比如说。一个套装，我们里面它规格是不同尺码，我们不想看到它规格还叫商品名称，如果是套餐的话。

张凯(00:50:01): 不就是从商品里面把商品打包在一起吗？它逻辑它本质上还是同一个东西，只是我可能每一项都做了优惠！

夜航星(00:50:17): 我想一下，你这你三套餐里面。

夜航星(00:50:26): 比比如说有个商品，它有单品和疗程卡，你套餐里面，到时候这个标题是什么就。商品。

张凯(00:50:41): 就是指向嘛，指向的商品名称吗？和原来一样，他原来叫啥就是啥叫啥。

夜航星(00:50:43): 对。就区分不出它单品还是疗程卡了？

张凯(00:50:52): 区分不出它单品还是疗程卡？

夜航星(00:50:55): 对。

张凯(00:50:57): 我不需要区分的。就是你的意思区分不了他是平常购买的还是套餐里面的？

夜航星(00:51:15): 相当于差了一个层级。

张凯(00:51:22): 会差一个层级？但是我们分析的时候你看好。

夜航星(00:51:30): 你套餐里面要选商品的对应规格，因为商品的对应规格才是实际买到的东西。

张凯(00:51:40): 套餐里面要选商品的对应规格。

夜航星(00:51:42): 对他不能只选到对应商品！

张凯(00:51:51): 规格指的是啥，比如说价格？

夜航星(00:51:53): 规格，比如说疗程卡单品，它们是不同规格，如果有什么紧身衣，不同尺码是不同规格。

张凯(00:52:03): 对。我套餐里面我提取的时候我提取哪一个规格，我就定好了规格，比如说我可以提取大码的，我可以提取小码的。都是从我现有的商品里面提取来的，我不能去再创造一个去做促销包！

夜航星(00:52:28): 我知道那这个时候有因为我们一个套餐里面它这些。内容不是固定的？

张凯(00:52:44): 哪些内容？

夜航星(00:52:47): 比如一个套餐它含行什么护肤膏，又有紧身衣？然后假设我们护肤膏有不同的容量的，然后紧身也有不同尺码的那它套餐里面就怎么怎么把这些东西放好？

张凯(00:53:04): 我提取的是管理员提取的设置的，它是哪个规格就是哪个规格，它从现有的商品里面去提取来。比如说，你看看我哈，我这个是促销包嘛，那里面包含了安吉利，那我安吉利原本就有一次的疗程卡10次的疗程卡和你看哈，你看我们回到安吉利。

张凯(00:53:43): 安吉利的疗程卡这里面也就是所有的安吉利的那个项目，我设置了这一行，就属于相当于一个规格。

张凯(00:53:56): 你看这个面部三层维养，它有一次的卡，它有15次的有25次的有50次的，然后还有5次的对应的价格都不一样，编号也不一样。

张凯(00:54:09): 然后我促销方案里面我只提取一次的就可以了，我也可以提取5次的就自己去提取嘛，你想你希望在这个促销包里面包含哪一个，你就选哪一个嘛。

张凯(00:54:22): 而不是我自己再去创造一个安吉利那个四次的6次的那我编号，那我这个商品的编号和原来的就乱套了。

夜航星(00:54:35): 我能理解你的意思，你就相当于套餐里面就必须这边选，它不能再自定义。

张凯(00:54:45): 对套餐是只能从现有的项目里面去去打包嘛，去做优惠嘛？

夜航星(00:54:55): 那等一下，我想一下，这还有价格不一样，怎么弄？价格不一样怎么弄？

张凯(00:55:22): 你们讲的也是有正确，你们讲的也是有道理的，就是它整个的主表是和其他的商品是同一等级的。但是我们的理解。同时它又存在它里面的子项，又等于其他的普通的商品。

夜航星(00:55:44): 我能理解。

张凯(00:55:46): 就有11个高一级又一种情况是同级就。

夜航星(00:55:59): 那这种情况你们要怎么处理，比如说他选紧身衣，那他那个套餐里面。紧身衣不是有不同尺码吗？那套餐里面怎么体现的不同尺码？

张凯(00:56:16): 套餐里面不同体验不同尺码。你的我的套餐里面是要卖紧身衣，但是他紧身衣肯定有20个尺码，我不知道顾客他到底是哪个尺码？

夜航星(00:56:26): 对。对。

张凯(00:56:40): 服装类它是好像是有这种问题服装类的。对你，你也找到一个 bug？服装类它会有差异，每个人要求的尺码都不一样。

