夜航星(00:00:02): 不会我自个感觉问题没有说这样估计半个月要折腾，没有像他那么快想象的那么快。
夜航星(00:02:56): 或者说。你要不把逻辑说给他们，你的逻辑说给他们听一遍，他们认可了，就按照你的逻辑干是不是也可以，就我的逻辑其实跟张张总刚才说了就是这个功能。

张凯(00:03:13): 充值的时候不算提成，也不算业绩，就所有的统计都不算他营收，然后服务的时候又算。

夜航星(00:03:16): 对充值的时候不算提成。对。

张凯(00:03:31): 但是这里。但是他抵用的时候就涉及到一个问题，他抵用的时候好像也没有算业绩吧。

夜航星(00:03:31): 服充值卡跟服务没有关系。抵用的时候，充值卡在购客户购买的时候不算业绩，在抵用的时候就是他业绩还是按照实明细表里面的实际金额去算的。

张凯(00:03:53): 怎么收来的？

夜航星(00:03:56): 充值卡的抵扣对没有影响。

张凯(00:04:00): 业绩还是按实收来的？

夜航星(00:04:02): 按实收来的充值卡只是抵扣客户实际要支付的金金额而已。

张凯(00:04:09): 员工提成是按实付来的吗？还是加了？

夜航星(00:04:12): 对员工提成是按实付来的。

张凯(00:04:16): 没有把抵用的那一部分算。

夜航星(00:04:19): 没有把抵扣做处理。

张凯(00:04:23): 我明白你意思了，相当于就把储值的动作完全拨开。

夜航星(00:04:28): 没有把抵扣做处理。对完全剥开它相当于它另是另外一个金融系统。

张凯(00:04:30): 他就不。只是我预充值到我这个虚拟账户上来的，跟你们没关，那就放在那吧，反正我反正对。

夜航星(00:04:40): 是这个意思。对放在这嘛，这样子因为改容易引进 bug。

张凯(00:04:54): 是尤其是规则不明确的情况下。

夜航星(00:04:58): 对。

张凯(00:04:58): 那小群你这边讲一下预约的遇到的问题？哈小群。

贺东群(00:05:16): 预约的问题我看一下。店长和美容师已经确定服务的。顾客能够取消？在顾客的那个页面，这个正常，我们已经完成服务的这些项目的话，他是不能够去点取消预约，因为他取消了的话，那员工的提成什么的都给他扣走了，但是顾客这边项目也给他减扣了正常减扣了。这是问题。

夜航星(00:05:55): 预约预约跟服务提升那边好像没有直接关系。

贺东群(00:06:02): 对我们看过了顾客这边点那个项目取消，然后美容师那边的话就没了。就显示一。

张凯(00:06:05): 你你讲你讲的你，你讲的服务已经做完了，顾客还能取消是这个意思吗？

夜航星(00:06:18): 不用做完后才能取消。

张凯(00:06:23): 你你讲你讲的你你讲的服务已经做完了，顾客还能取消是这个意思吗？就是我发群里截图这个标黄的。顾客自己预约美容师及店长确认服务后就是服务已经做完了？

贺东群(00:06:32): 对。

夜航星(00:06:35): 顾客取消服务单，他跟预约没有关系对吗？

张凯(00:06:37): 顾客端还可以取消吗？

夜航星(00:06:46): 因为预约不影响之前，这我确实之前没有测，我看一下。你你这个逻辑我了解了我会后再去看。如果有 bug 的话我就改掉没 bug 的话，就再讨论一下。

贺东群(00:07:11): 这板块的话，这里它会它能够显示自己预约了哪些项目，然后已经确认了，那我们可不可以在上面加一个就是已经完成了，它可以去评价这个美容师做的好和或者不好？有一个评价的这个点的地方。

夜航星(00:07:32): 评价你们这引入评价，张总就昨天发的那些问题里面其实就很多是之前没讨论过要做的咋处理？

张凯(00:07:46): 哪些问题。

夜航星(00:07:50): 一个就刚才说的评价，然后还有我找一下还有销售的。

张凯(00:07:58): 哪些问题。

夜航星(00:08:04): 数量。

张凯(00:08:05): 销售是。

夜航星(00:08:06): 一个商品，它销售次数。

张凯(00:08:12): 商品销售次数。

夜航星(00:08:14): 就相当于淘宝里面就是月销多少类似是就昨天的第10行。

张凯(00:08:19): 商品销售次数，不是他们表的那句话你理解错了，可能也他们也是没表达清楚。他是指的是我截个图你就明白了就是这张图的情况下。他看不到卡，他是几 G 的卡？

夜航星(00:08:47): 这张图请问？

张凯(00:08:47): 比如说就是只有一个金额298，或者说上面只有一个金额1000，对很快速的情况下，这个1000它是几次，它就是。

夜航星(00:08:55): 对。

张凯(00:09:00): 像我一看我就知道是5次，但是有时候有些金额不规整的就看不到次数。它是规格。

夜航星(00:09:04): 对次数有，就相当于疗程卡次数，这个信息是有的，可以加上去。

张凯(00:09:10): 对对。对他不是指月销多少？

夜航星(00:09:20): 那我们昨天你你们后面有今天有测试吗？有的话我们回归一下。

张凯(00:09:32): 那就先讲昨天测试的问题，小军。

贺东群(00:09:37): 新的问题，昨天的问题那么多，我再讲一个问题，就是今天又测了一个美容师，他用他美容师的账号开那个服务单，但是顾客这边没有显示，他有就是有那个预约这个服务的时间或者日期，然后。然后顾客没有确认，然后店长也没有确认，然后服务单就直接完成了，就是美容师直接给顾客开单，然后开始服务，然后完成服务就是美容单可以全线走完，不需要任何人确认吗？我们以前的流程是要最终店长要确认的才能完成服务。

夜航星(00:10:25): 你你们之前一直没有提我这里具体的细节我也不是很清楚，之前设定的场景就是服务单是。客户到店之后去开的，中间确实可以设置一个那个流程类似审批的。

夜航星(00:10:49): 这一步。具体要？

张凯(00:10:51): 它会存在一个点，它就是会造假。

夜航星(00:10:57): 对那这个是要客户，比如说服务单完成的时候需要客户介入确认吗？

贺东群(00:11:08): 我感觉是需要的吧！

张凯(00:11:14): 我们正常从顾客端出发的流程是顾客预约，然后美容师接收预约，然后开始服务，然后服务完成。这个端口因为是顾客自己发起的，所以就没有问题，那如果是美容师发起的话。

贺东群(00:11:39): 可能是我作为顾客，难道我不能看到我有一条预约护理的信息吗？

夜航星(00:11:50): 我觉得服务完成那一步，确实需要顾客确认一下。

贺东群(00:11:58): 然后最后一步就是顾客确认完成之后，店长就要审核确认一下这个顾客有没有到店，是不是真的，然后最后一关审核嘛，审核完了之后，我们就该算提成，就这样子算这个单真正的完成店长确认之后就不能够再删除这一单，谁都不能删除。

夜航星(00:12:18): 是的。这就是服务单还需要店长确认吗？我感觉会不会确认步骤有点多？店长就负责服务提成的分配就好了。

贺东群(00:12:39): 关这话他是有。

张凯(00:12:39): 我觉得过了我这个顾客确认就可以了，那有的店没店长。

贺东群(00:12:47): 没店长。

张凯(00:12:49): 因为因为顾客他是才是付钱的人，那顾客确认了，就那代表我这个提成可以发了。

贺东群(00:12:57): 也行，反正焦利夫这边的话是销售以及消耗，全部都是店长是最后一个确认，他确认了，然后他到时候说哪个数据不对，然后我们都说你自己确认的是这样子的。

张凯(00:13:11): 我也明白你表达的意思。那店长有确认多少待预约确认服务单在。

贺东群(00:13:24): 对预约他就只需要看到有预约就好了！预约不是美容师确认？

夜航星(00:13:32): 预约确不确认不影响的。

贺东群(00:13:34): 对他只是要他需要确认的只有两个单，一个是比如说今天店里面产生了业绩，他需要确认这一单收没收钱，这一个是要确认的，第二个就是门店今天来了10个顾客，他就要确认这10个顾客操作的这些项目消耗的这些金额是真实的，他就确认就好了。

夜航星(00:14:01): 我也这么理解。然后开单那块之前一直强调的是店长只有店长可以开单，这个好像跟你们昨天提出来的那个冲突是怎么怎么回事？

张凯(00:14:21): 小群本来就是店长，只能店长开单，哪里说美容师可以开单？

贺东群(00:14:31): 但是有一个点就是没有店长的那种店的话，你就要给美容师开一个可以开单的权限，但不是每一个美容师都可以开单吗？

夜航星(00:14:41): 那就给可以开单，美容师给他店长权限就好了。

张凯(00:14:41): 小群本来就是店长，只能店长开单，哪里说美容师可以开单？那是我们内部管理的问题了，我们给我们挑一个人给他赋予他兼职店长的权限就。

夜航星(00:14:52): 你电脑多个都没关系，不影响它只是一个虚拟的电站逻辑上一个订单。

贺东群(00:15:00): 那还有一种情况，就比如说店长去活动场了，然后门美容师自己在店里面卖了，也要去找店长开正常有店长的门店。

张凯(00:15:11): 对是。

夜航星(00:15:14): 那比如说你们可以多多多赋予某个美容师店长的权限备用。

贺东群(00:15:24): 可以的。

张凯(00:15:26): 派单它是单独的权限吗？我倒。

夜航星(00:15:29): 开单店长权限那边，如果他赋予店长的身份，可以开单。

张凯(00:15:38): 没有说是涉及具体是哪矩阵里面的具体是哪一个？

夜航星(00:15:44): 开单店长权限那边，如果他赋予店长的身份，可以开单，对都可以。他会收到代办，然后只要这个代办，只要有一个店长走了，这个代办就没了。

贺东群(00:15:58): 还有一个问题，就是顾客可以下单买疗程的话，那要不也给他取消，就只让顾客在顾客端口买那种单品。其他的疗程就还是店里面店长开单了，这样简单一点。

张凯(00:16:18): 不是你怎么讲复杂了，你商城摆出来了，人家都能买，那你就不要摆出来。这个跟他们没关系！

贺东群(00:16:28): 这样子吗。

张凯(00:16:30): 你商城摆出来还不让顾客下单吗？

夜航星(00:16:34): 不是顾客下单了，他钱都付了，有啥问题？

贺东群(00:16:35): 你可以。你可以嘛。那种如果说顾客下单了，然后他们又选美容师，到时候这个业绩又怎么分配？

张凯(00:16:52): 店长分配，店长有一个待分配的？

贺东群(00:16:56): 你可以嘛。那种如果说顾客下单了，然后他们又选美容师，到时候这个业绩又怎么分配？

夜航星(00:16:56): 待分配流程你们可以走一下，之前这块应该跟张总详细讨论过了。

贺东群(00:16:59): 意思让我然后接着好。

贺东群(00:17:17): 这边的流程就刚刚说的顺序，其他没有什么问题。

夜航星(00:17:25): 我主要想问一下，昨天不是主流下单了，主流程卡了吗？是今天测试还有问题吗？

贺东群(00:17:34): 什么卡。

夜航星(00:17:36): 开单的主流程。

贺东群(00:17:41): 开班的流程？

夜航星(00:17:42): 对店长开单的那个门就门门店经理开单的流程。

贺东群(00:17:48): 门店经理今天还没有测试，主要测试一下运营。

张凯(00:17:55): 那里有问题，李工就是工作台，下面的待处理事项，它标记的和明细不一样。

贺东群(00:17:56): 但是。

夜航星(00:18:02): 金额。工作台。

张凯(00:18:11): 比如说服务里面有还没开始服务的。

张凯(00:18:18): 就是有大夫那个大夫，然后前面的是显示的是零。

夜航星(00:18:24): 待处理订单待处理预约跟下面对不上。

张凯(00:18:28): 就是前面那个几条，它和明细。

夜航星(00:18:36): 里面的明星都有他会不会跟。

张凯(00:18:36): 那里面的明细对不上。

夜航星(00:18:52): 跟里面明细，那这个可能跟你是管理员会有影响吗？

张凯(00:19:01): 我是管理员吗？我是店长！我。

夜航星(00:19:05): 店长我等会后我再看一下。

张凯(00:19:11): 看我以顾客的名义提供一个预约。

夜航星(00:19:17): 那我现在点我这边点的目目前是可以对上的。

张凯(00:19:33): 服务待推进一条。

夜航星(00:19:34): 你要截图给我看一下。这里好像是可以登上。

张凯(00:20:41): 我发给你。那也有可能是有是没刷新的问题。

张凯(00:20:55): 你看上面标了个一是他已刚完已经完成了。

夜航星(00:21:00): 理论上是可以对上的，因为他们都是来自于同一个数据源。你不是可以对上的吗？

张凯(00:21:36): 他那个小群你下午再带着他们再重新全部再派单和预约测一下。对因为早上没测。

夜航星(00:21:48): 就是昨天的问题，麻麻烦就是反馈一下。

贺东群(00:21:57): 昨天的问题就是没有绑定门店的顾客，他不是有一个来源看一下来源。

夜航星(00:22:08): 对这个就昨天晚我想说是昨天晚上就是门店那个问题处理掉了，然后今天你们就昨天提的问题，看看今天还有没有问题。

贺东群(00:22:20): 他上面是写的是推荐人，我发到群里，他如果是推荐人，他这可不可以，比如说我们的员工他名字。

夜航星(00:22:26): 你发群里。

贺东群(00:22:35): 员工名字全部都录到这个小程序以后，那可不可以写一个名字，它自动弹出相关人员，然后再点？

夜航星(00:22:44): 你们要定一下这个规则，我目前比如说可以选的是我给你提个建议，就是说，当前市场这门店所属市场所有推广。

贺东群(00:22:49): 因为。

夜航星(00:23:01): 推技能里面有推广师的标签的所有人员。

贺东群(00:23:06): 不是这全员因为有可能我们会你不是推广员，他也有可能下店去卖卡推荐。

夜航星(00:23:13): 你们给他不是推广员，他不是身份标签，他是一个技能标签，你你可以同时是美容师和那个推广师。

贺东群(00:23:27): 我们要给他设置之后他就能选到这边吗？

夜航星(00:23:32): 我是按照你们需求理解起来，感觉这样子可能比较合适。

张凯(00:23:40): 我觉得就写就自己写好了。

贺东群(00:23:43): 但是他这样子对。

夜航星(00:23:44): 对写也行。

张凯(00:23:46): 你选你。你选没法选了，那你这么说顾客还可以推顾客了，你怎么选？

夜航星(00:23:53): 是的，要不就填吧，就这样，因为。

张凯(00:23:55): 还地推他美容师，他不属于推广师，那意思这里还能选美容师？

贺东群(00:24:02): 我是这么想的。

张凯(00:24:05): 单单你这里能跳出来，整个市场的人多了你就得那你够一翻的。

贺东群(00:24:09): 比如说你等一下就比如说，我是我们是南昌的，然后推荐人他写一个信，然后他会就会弹出相关这个信的这个市场的人，他就选一个信不会有很多个吧？

夜航星(00:24:27): 要么？

张凯(00:24:27): 那不是一吗？你不如让人家顾客谁推荐的，让他自己写一下办信用卡一样，人家客服经理还把编号让你填下来。

贺东群(00:24:37): 那实在没得选就只能写了。

夜航星(00:24:41): 要不就写吧！

张凯(00:24:42): 范围太广了。

夜航星(00:24:44): 因为这是顾客填的顾客哪那么爱填那么多东西，他前面上面勾一个就了不起。

贺东群(00:24:51): 行吧，那行，那就这样吧，谢谢！

夜航星(00:24:58): 推荐人也没啥用，然后还有购物车那个就我们是有购物车浮悬浮的。

贺东群(00:25:05): 行吧，那行，那就这样吧，谢谢购物车顾客的我是能看见员工的，昨天他们说要划到那个项目最下面，然后才能删或者减。

夜航星(00:25:18): 意思吗？那我可能理解错了，员工确实没有购物车，放购物车不方便。

贺东群(00:25:27): 开单的话还是基本上是店长的账号开不给他弄一个悬浮窗口的话，可能不太方便。

夜航星(00:25:37): 可以开单页面我理解了就是我截图给你看一下。

贺东群(00:25:40): 顾客买的。

夜航星(00:25:53): 我发的这个页面，然后就是下单还有金额那一栏最左边可以放个这么个东西，就是可以让他看到他已经下了哪些。

贺东群(00:26:05): 然后他可以点这个金额或者选项，这里他可以弹出来两项，他选了哪两项，如果他要减就直接减掉就好了嘛，这样会方便一点，然后这个开单的话，它左上角能不能加一个搜索项目，因为员工端他可以看到很多项目，他不能搜索的话，他会一个找就很麻烦。

夜航星(00:26:13): 可以加行。搜索可以加加上。只要加普通商品还是组合套餐，体验卡都要加，就组合套餐和体验卡，你们这种项目会多吗？

贺东群(00:26:47): 上面就加都能搜索的吧？

张凯(00:26:51): 体验卡不多，体验卡可能就几种。

夜航星(00:26:55): 只要加普通商品还是组合套餐，体验卡都要加，就组合套餐和体验卡，你们这种项目会多吗？

夜航星(00:26:56): 那体验卡不加普通商品加那组合套餐？

贺东群(00:26:57): 天卡不管就商品。

张凯(00:26:59): 对。普通商品它有加上不同的规格，可能有上千个，要加一下，然后组合套餐的话你说多也不多。

夜航星(00:27:08): 体验卡不加普通商品加那组合套餐，对会很多，这个是要加的对。

张凯(00:27:15): 说少也不少，可能存同时存在的有几十个。

夜航星(00:27:19): 体验卡不加普通商品加那组合套餐，对会很多，这个是要加的对。那也加一下算了。我就是对商品名称进行一个模糊查询。

张凯(00:27:33): 是的。

夜航星(00:27:36): 能理解吗？然后要不剩下好像没啥要沟通，要不你们下午组织测一下昨天的问题之后再沟通。

张凯(00:27:55): 我们现在还要测一下。还要测一下，因为早上大家都在发工资没测。

夜航星(00:28:03): 发工资。

张凯(00:28:06): 好谢。
