夜航星(00:00:02): 储字塔。
张凯(00:23:41): 你直接文字发给我就行了。

贺东群(00:23:44): 可以。

夜航星(00:23:49): 刚才说那个方案可以吗？

贺东群(00:23:53): 可以删除谢工，如果他已经进去了，我就把它删掉，然后再重新建可以。那就没有问题了。

夜航星(00:24:06): 其实你们流程也是要这边先建的？

贺东群(00:24:12): 对。

夜航星(00:24:12): 正常的。

贺东群(00:24:15): 可以删除。

夜航星(00:24:16): OK 那这个不用改？还有啥问题来着？

贺东群(00:24:24): 还有一个问题就是手机端可不可以再增加一个，就是比如我点进去看一下手机端的基本档案，可不可以增加一个推荐人？在指定美容师下面让他们可以手动点。

夜航星(00:24:45): 基本档案推荐。手机端那边没有推荐人这个东西？

贺东群(00:24:46): 这里。对他没有这个，然后我是想到时候更方便一点，他们就可以在手机端指定游戏，然后手机端去选择推荐人，这样子会方便一点，我们直接看。

夜航星(00:25:11): 推荐人是员工还是顾客？

贺东群(00:25:15): 都会有，就他们手填嘛，手填名字。顾客姓名一样，手输入顾客。

夜航星(00:25:23): 不是你你你是员工端，员工端干嘛手填肯定搜索！

贺东群(00:25:31): 搜索嘛不他有的是老顾客推荐的。

夜航星(00:25:35): 老顾客推荐老顾客，那他也有手机号码？

贺东群(00:25:39): 顾客推荐顾客也能搜到手机号可以的。

夜航星(00:25:44): 你你你员工自己操作，那肯定搜索手机号，你顾客操作他随意性比较大。

贺东群(00:25:53): 可以，那这个员工端这里指定美容师下面就搞一个推荐人，然后搜索手机号可以的。

夜航星(00:25:59): 放两个推荐人，一个是推荐员工，另一个是推荐顾客。

贺东群(00:26:09): 两个。微信看你方不方便操作。

夜航星(00:26:12): 刚才一样的，那放两个！

贺东群(00:26:16): 可以的，这个也 OK。其他没有问题。现在想不起来。

张凯(00:26:24): 就是你这个界面小群，你刚刚发的界面，谢工你上次说帮我把这个选项放两排。

夜航星(00:26:33): 选项放两排吗？

张凯(00:26:35): 基础档基本档案消费记录一直往右滑，要滑到日历那里。就不滑嘛，然后给他分两排了。你忘记了吗？

夜航星(00:26:46): 我还以为上次讲那个需求是它有遮挡，我把遮挡给干掉了。

张凯(00:26:56): 你说是给它分成两排，然后可以点的那种。

夜航星(00:27:04): 可以。那我改一下。

张凯(00:27:11): 那就比较直观嘛，就不用往右滑。

贺东群(00:27:16): 不用。

贺东群(00:27:16): 又想起一个问题，就是这个顾客优惠券，我们现在的情况就是比如说我发一张3000的券给顾客，然后他抵换抵了，比如说只抵了1500是不是？我之前他得全额抵他没有金额选择，但是以前我们给他弄的设定的就是他想用多少。我这次就想用1500你把我3000的券全给干掉了。那怎么办。

夜航星(00:27:48): 你这优惠券还发储值用户有点难做。那可以。

贺东群(00:27:54): 就改就增加一个可不增加赠送金，这和储值券分开券就是赠送他的一次性使用。

夜航星(00:28:04): 不是你你这个相当于还得记流水，那这个改动有点厉害，你你想那个优惠券它本身就是一一种生存的状态。

贺东群(00:28:20): 就是储值金余额是证明到他的钱，然后赠送金就是我们送给他的可以使用的金额，但没有说他要一次性使用完，他可以，比如说我送1万给他，可以今天用2000后天用5000这样子。包括我们录单的时候，他使用金额的时候也是可以去选择他要用多少金额。

夜航星(00:28:52): 改动好大！

贺东群(00:28:56): 可以增加到储值金上面吗？像不能还不算钱，分到优惠券下面。

夜航星(00:29:10): 咋办。就你们不能发一些小的券去解决吗？

贺东群(00:29:25): 但是小的券可以一次性省省10张来用吗？比如说我发。但又不行。

夜航星(00:29:31): 不行不行。那你比如说他3000你发给他三张1000，那不是更好吗？他得消费三次，他才能把那个券给花完。

贺东群(00:29:49): 不是这样子的，比如说我今天发3000给他，我不知道他什么时候用。如果说按照三次发的话，那不是得他今天要用的时候来找我发，这样子就会增加那个工作量。但是如果说我们可以增加在顾客优惠券下面增加一个顾客赠送金，然后他可以自己就是他有多少金额，像那个储值卡一样，他一共有多少钱，然后他本次要用多少钱，他可以手填，这样子很好了。

夜航星(00:30:28): 这个会很麻烦，因为这你想如果涉及到退款的话，这个链条太长了。

贺东群(00:30:40): 这样子。他优惠券可不可以让他自己手填金额？

夜航星(00:30:49): 这个搞不了这个链条有点太长了，因为你除了正向的，你还有负向的退款那个流程，你这流程太长的话，一个事务里面就完不成了。

贺东群(00:30:53): 也搞不了。但是我现在。这款。退款它就没有了，不是跟储蓄金一样。

夜航星(00:31:13): 退款他还得倒回去。

贺东群(00:31:15): 退款的话这个券还能返回去，相当于没用？

夜航星(00:31:21): 不是退款，做起来做起很麻烦，这凑起来太麻烦了。

贺东群(00:31:31): 有没有别的什么办法可以解决？就比如说顾客就有3万块钱，因为以前我们有这种充值，你充10万，我送你3万，那这3万块钱你你不能说让顾客一次性用完吧。它是可以随记得我今天想用多少，下次想用多少。

夜航星(00:31:53): 充充10万送3万3万。那不是储值卡给了你们梯度定价了吗？

贺东群(00:32:02): 什么。

夜航星(00:32:03): 储值卡那边有梯度定价的。

贺东群(00:32:09): 不是送的，他不能算钱的！

夜航星(00:32:12): 送不能算钱，可以在储卡那边分两种类型的钱。

贺东群(00:32:16): Hello. 储值卡分两种微信。一种是赚钱，一种不赚钱。

夜航星(00:32:31): 对。

贺东群(00:32:33): 那怎么分？

夜航星(00:32:36): 我储值卡那边加加一个字段，就它花钱是一样的，那如果他要。比如说他退款那你们赠送了他就不能退。

贺东群(00:32:54): 那个券就是跟储值充值卡是一样的，比如说他使用了这个金额，他退单掉了那就没有了。但是它不能算钱，它跟优惠券是一个意思，都是送的没出钱的，然后也不能算消耗的什么，这种金额就是消耗单次的钱不能算的。

夜航星(00:33:23): 你们送钱场景都有哪些？

贺东群(00:33:27): 比如说有今天我们可能一个月月做一个促销，你办5000我就送你5000块钱，然后5000块钱就是要算钱的嘛。另外5000块钱就是送给他。送给他去选项目做的，这是零，只是他可以向做有这个5000的金额。

夜航星(00:33:51): 那这个是处就是相当于储值卡，充充钱的时候送。

贺东群(00:33:58): 春节的时候，办卡的时候也可能送是，比如说他办1万块钱的面部，然后可能他来。

夜航星(00:34:02): 办卡办啥卡？就下单的时候送。

贺东群(00:34:13): 但是我们好像怎么说，就是他们销售的时候就跟顾客讲要送，然后他会联系我们，然后我们就给他发1万的券是这样。发的券又必须一次性使用完就咱就点恼火。

夜航星(00:34:41): 你们送积分得了？

夜航星(00:34:44): 算了，开玩笑。这咋处理，我想一下你去给我加流水的话，因为现在。加油水的话。

夜航星(00:35:51): 附近有新房？让我想一下。可以不做吗？

贺东群(00:36:11): 如果不做的话，那后面他们开单很麻烦，就我们就送不了券，送了券，他还得一次性用完，比如说他送了5000块钱，他这次只用了2500我改也没得改，我发出去的券我还撤不回来。

张凯(00:36:55): 小群你的那你说的那个券的逻辑，其实这跟储值金的逻辑一样，但是它跟储值金又不一样，一个算业绩，一个不算业绩。算业绩了，不算业绩，这业务挺麻烦的。

夜航星(00:37:37): 那你你们是谁可以发这种券是店长可以吗？

贺东群(00:37:41): 是我在发现在我一天都给他们发券，昨天还看到有一个1万16000多的券，我都怕发了之后，他又用不了。也撤不回来，最主要的是这个券发出去了，就撤不回来了。

夜航星(00:38:00): 对撤不回来。

贺东群(00:38:05): 可不可以给他增加一个可以撤回来？

夜航星(00:38:07): 你咋测嘛，用户都收到了，你咋测嘛？

贺东群(00:38:12): 那有的他还没看嘛，没看的时候那我们就给他删除。

夜航星(00:38:16): 你这不要存侥幸心理，你这会引起纠纷的。

邵冬(00:38:20): 不能这么干的。像淘宝上面他们上错产品了，1块钱买了东西人家只能默认的。

贺东群(00:38:31): 我可不可以给它作废，我不删，我给他做后。

邵冬(00:38:35): 作废怎么作废，明明在我口袋里的东西我你凭什么你就作废掉？

贺东群(00:38:42): 那比如说像现在我给他发1万块钱的券，他只能用5000块钱，是不是，然后我又不能给他作废，给他发两张5000都不可以。

邵冬(00:38:51): 你你不要增加这种操作，你明明是你人可以控制的东西，你要犯个错，从技术上角度去解决这问题就很复杂了。你们这种代码量就上去就玩不了这个事情。

贺东群(00:39:07): 如果说遇到那种顾客，我给他发的是一整张，他这次用不了一整张怎么办？

邵冬(00:39:14): 那你就。就不要发这种券给他！

贺东群(00:39:17): 这样子。

邵冬(00:39:19): 你就不要发圈给他！

贺东群(00:39:22): 那可不可以就增加一个像刚刚说的储值金就增加一个，增加啥来着，反正不是钱也在储值金那里。

夜航星(00:39:33): 可以储值金那边我给你加个类型就是事前的储值金和你们赠送的储值金，用这个方法来解决。

贺东群(00:39:43): 以后我就不发现，我就直接把这个东西给他做到他的储值金不算钱里面去。

夜航星(00:39:48): 可以通过储值金来解解决吧！

贺东群(00:39:54): 储值金是不算钱的！

夜航星(00:39:57): 是不算钱，就我会给储蓄金分类，就你们能看到分类？

贺东群(00:40:05): 处理？

张凯(00:40:05): 这就是这个逻辑，比如说邵总，谢工，你们来，我给你们一人拿个3000的券，你不是说3000的券？不能有多的，比如说你可以先用900还剩2100给你留着它和处置金的逻辑一样，但是它又不算门店的业绩，因为它没收到钱，只就是它可以零头的用我用100我用200都可以，然后券的话是一张用完就没了。这是他跟券的一个区别。

夜航星(00:40:41): 我觉对做到储值金这边方便一点，逻辑更接近。

张凯(00:40:46): 逻辑接近就是一个区别，一个算业绩，一个不算业绩。

夜航星(00:40:52): 花的时候是赠送鲜花吗？

贺东群(00:40:57): 他的选择他可以自由选择，我可以花有钱的也可以花没有不是钱。

夜航星(00:41:01): 你咋想的嘛，他要选啥，他不用选，他肯定鲜花赠送的！

贺东群(00:41:08): 这样子嘛。我。

张凯(00:41:08): 他就对你就一个空格给你填金额。

夜航星(00:41:13): 对先扣优先扣赠送的，你这没必要让顾客选顾客有啥好选的？

邵冬(00:41:21): 没必要让客户选这个没必要。

贺东群(00:41:25): 不是。店里面做等等一下搞混了，因为以前我们送的那个什么办3000送3000，他比的就是这个3000，如果再牵扯到别的就很复杂了。

张凯(00:41:42): Hello. 哈来打个招呼的，那不好意思，但是我正好在开会耶没关系，我就打个招呼就走了，谢谢！好久没见给你送两杯咖啡是好久没来了哈。

夜航星(00:41:44): 不是你。就你你你储值卡里面只要有钱他都可以填他，如果赠送的不够接着扣，不是赠送的，这没问题吧？

贺东群(00:42:06): 就是区别在于他扣扣先款，反正先扣的是有钱的，这个有钱的就会给他算那个新项新，他做的那个项目就有消耗，如果说他后面做到的是不算钱的那个金额，然后那个消耗就没有？

张凯(00:42:34): 也是。

夜航星(00:42:45): 这涉及到你们最后怎么算，这不能算储值卡抵扣里面那个钱？不能删除，还得扣你那个钱。

贺东群(00:43:13): 我想的是在顾客优惠券的下面弄一个跟储值金储值卡一样的，然后他按照顺序下来的话。

夜航星(00:43:24): 迄种。

贺东群(00:43:26): 他那个应付金额就会是正常的应付金额。

夜航星(00:43:31): 应付金额是正常的应付金额。对那这个就不算业绩。

贺东群(00:43:39): 对。

夜航星(00:43:42): 到时候他们就服务单那边的服务人员他也没有业绩！这没问题？

贺东群(00:43:57): 没问题，他要和充值卡分开，然后他和充值卡的意思是一样的。但是他不算钱，所以说我觉得他应该放在顾客优惠券的下面，然后可以像充值卡一样，然后自己填金额，然后也能够看到他自己剩余多少赠送金额。像小基本档案下面有一个储值卡余额，这就是他实际的钱，再来一个赠送金余额，这是他，我们赠送他，反正他还可以用的金额，这样子我觉得会更清晰一点。

夜航星(00:44:36): 可以试是你们因跟积分的功能又好好接近！

贺东群(00:44:46): 那差不多，但是积分是算钱，也不算钱，只是相当于传送一个额度给他选项目。

夜航星(00:44:56): 你们为啥不跟积分统一一下？

贺东群(00:45:03): 可能他们有他们的想法？

夜航星(00:45:09): 那如果把这些金额的口径给减少掉一点，你们这业务做起来也会简单一点。

贺东群(00:45:23): 开口。不了你想积分是他消费，然后返给他，另外的是有可能是这个月搞的促销活动，这个月你你办3000送你3000，下个月你办3000送你。

夜航星(00:45:33): 你这不也是消费的返给他吗？

贺东群(00:45:36): 不是虽然说也。

张凯(00:45:37): 小群我理解谢哥的意思了，其实它跟积分也是一个逻辑，它就是像它不叫积分。怎么形容它就是跟它的积分跟逻辑很相似，就是相当于它是送给你的不算业绩的，但是也可以按那个你想怎么花，你花10块也可以花30块也可以，而不是像券一样一张一张的。如果做储值金的话，就得区分储值金，一种一种是花钱的，一种是没花钱的，如果是做积分的话就不用区分了。

贺东群(00:46:19): 我们可以给他发积分吗？

张凯(00:46:25): 那你要的话还不如可以打开，现在讨论是用储值金方便还是用积分方便吧。

贺东群(00:46:31): 你不是说住积分是算钱的吗？

夜航星(00:46:36): 积分不算钱，积分是在前面扣的。

张凯(00:46:39): 积分也是减减应收的？

贺东群(00:46:40): 如果可以发积分的话更好积分在哪里使用，我怎么没看到有？

夜航星(00:46:41): 对简易收的。

夜航星(00:46:55): 积分现在没有是自动发的，现在都是它目目前没有手动发。如果你们取消，比如说3% 5%的那种限制，他直接发积分倒挺好。

贺东群(00:47:13): 50%怎么计算？

夜航星(00:47:17): 你们积分不是每每单只能消耗因消耗他订单金额的百分之多少吧？

贺东群(00:47:29): 那积分可以这样子吗？比如说我1000块钱的东西不对，思考一下积分我们说的是必须要用原价兑换。比如说这个东西是500我可以花他1000积分换500。

夜航星(00:47:52): 来放1000积分。放500啥意思，五500它就是500积分！

贺东群(00:48:03): 比如说这个项目是500然后它的定价是1000然后我们顾客讲的是你以后可以用这个去换，但是必须按照定价来换，而不是会员价500那我做单的时候是不是可以直接给他1000块钱的积分，然后换这个500块钱会员的项目。

夜航星(00:48:31): 他肯定得用会员价！他会员肯定试试用会员价。

贺东群(00:48:39): 这样子他积分就会多，因为我们不多，因为我们跟顾客讲的是。

夜航星(00:48:44): 7分会什么？

贺东群(00:48:49): 他换的时候是用标价来换，而不是用会员价来换。

夜航星(00:49:02): 那是。

贺东群(00:49:14): 比如说我们返给他3000可能他只能做三次项目，但是说。

夜航星(00:49:19): 那你那少返点给他嘛！那你少返点给他嘛！

贺东群(00:49:23): 那说最后选了啥，万返给他又不够用咋办？

夜航星(00:49:32): 不是你比如说会员价，如假设整体上是售价的就标价的80%的话，那你返他积分的时候少返点。

贺东群(00:49:48): 这样子少返点是会返的有所差额，顾客可能。

夜航星(00:50:03): 这个需求你你们要不回去过一下，看能不能跟积分统一成一个东西。行不行。

贺东群(00:50:14): 思考一下。

夜航星(00:50:20): 因为它跟积分的用法都一样。10。

贺东群(00:50:22): 但是现在我看到积分在哪里？下面。

夜航星(00:50:25): 只是目前积分它不能全扣而已。

贺东群(00:50:32): 行吧，那我们再确认一下以后再说。

夜航星(00:50:36): 好。

张凯(00:50:37): 对了，我刚刚讨论的用积分好像积分不是有个限制吗？

夜航星(00:50:43): 就有限制。没线的话感觉。

张凯(00:50:48): 但又不能按积分来嘞。你们刚我刚刚没听你们刚刚讨论的是哪个结果？

贺东群(00:50:55): 讨论的结果是再跟你商讨一下。

张凯(00:50:59): 我刚想起来积分有3%的限制了。

夜航星(00:51:03): 有3%的限制。你们你们的积分能不限吗？

贺东群(00:51:13): 没有。

张凯(00:51:14): 他还不能算积分？

贺东群(00:51:16): 那下面加一个现金叫什么，赠送金？在下面加一个赠送金，我觉得应该会更好一点。

夜航星(00:51:34): 就你你们这概念太多了，就从业务上简化跟积分一个概念，感觉执行起来会更顺畅。

张凯(00:51:51): 跟积分一个概念，但是积分它有一个限制。

夜航星(00:51:57): 那你们看能不能考虑积分，这个限制是不是可以不要？

夜航星(00:52:20): 除了限制其他的用所有用法跟积分一模一样。

张凯(00:52:26): 他其实就是在应付钱扣的逻辑就是这些了，要么你算业绩，要么不算业绩，要么是类似余额一样，要么是类似券一样一张一张的。

夜航星(00:52:34): 对。对他，你们业务上处理也其实是他消消费的，然后就返对方积分。

张凯(00:52:48): 我们相当2×2，四种情况都有了。

夜航星(00:52:57): 这看能不能跟积分合合并成一个概念？

张凯(00:53:09): 你们先讨论一下，我去问我去跟商学院去沟通一下看。

夜航星(00:53:14): 好，这那下下回再定，那我接着过。还有啥问题来着？

贺东群(00:53:24): 问题没了，问题就这些。

夜航星(00:53:27): 先这样吗？怎么说？

张凯(00:53:30): 我这边还有其他问题。

夜航星(00:53:34): 那凯总您讲。

张凯(00:53:42): 数据中心。我昨天让小群验证一下数字中心他说要等他导出来，他数据能导出来他才能验证，所以就确认一下我们那个导书的那个啥时候能好？

夜航星(00:54:05): 导出数据中心客量那边导出吗？

张凯(00:54:11): 不是原始订单，因为他要原始订单导出来之后，然后自己手动去算一遍，验证一下数据中心里面的字段是否正确。

夜航星(00:54:20): 那个订单是不是就今天提的那个问题没有别的问题就是转转换的放到主塔里面？

