张凯(00:09:56): 因为有的人。
邵冬(00:17:35): 会掉的张总会掉你，你先让全季会员，比如说我11年我现在是金牌，我一年没消费到一定的数量，他就给我到银牌了，这个时候我不是到银牌了。然后全季的话就是按间日就是你订多少房间来算，但你们这个是按金额来算的，他万一掉银牌的时候一下子给你刷个大金额，他不就又。又上去了就拿这个来举例子就是网球运动员的这个排名不就是这样的吗？我到这个时间点我要保这个分我分数我不保，我就往往下掉了，你们这个会员也是这样的。

张凯(00:18:18): 对。

夜航星(00:18:19): 我意思是你们这种发有发就是他等级变动有发放权限的情况，就不能让他那么快刷新你比如说像银行的那种会员一样，卡他个6个月或怎么样。

邵冬(00:18:19): 所以他所以他每天都会结算。

张凯(00:18:38): 他刷分他降下来，他起码要一年降吧，他也不能立马降下去。

夜航星(00:18:43): 你按照移动屏移动去计算，那就是立马掉下去了。

张凯(00:18:48): 他怎么会立马掉下去嘞？

邵冬(00:18:48): 不了。那当然是立马掉上去了！

张凯(00:18:55): 立马掉下去。

邵冬(00:18:57): 比如说我在去年的今天我消费了1万块钱，我到达了一个等级，其他我只消费了1块钱，你们的等级标准是10001我到今天过了一过了以后，我是不是只消费了1块钱，我等级直接往下掉了？

张凯(00:19:14): 对掉了！

邵冬(00:19:16): 对那他不是按日刷新的吗？我昨天没刷新到我等级掉了，我到今天一刷新是不是我等级就掉下去了，那不就按日刷新的吗？

张凯(00:19:26): 对。那也是一年之后了嘛大哥。

邵冬(00:19:33): 一年之后他每天都在刷新的，每天这样做，定时任务刷新你有没有掉，如果掉了我就给你往下就变了，他每天都刷新一次的！

张凯(00:19:46): 每天刷新一次。

邵冬(00:19:46): 他每天都在做结算刷新的税控是这个谢工是不是这个意思？

张凯(00:19:50): 我肯定只发一次！我不可能天天给他发！

夜航星(00:19:53): 对就是你你对是按照之前的你你们说明那个情况就会出现经常给他发的情况，然后现在得加个规则，就要这块要重新设计一下。

张凯(00:20:10): 你降下去了，你再消费你就升上来的才有才给你发！

夜航星(00:20:15): 对你再他再消费他就升上来了！

张凯(00:20:19): 生下来就给他发发这个券！

夜航星(00:20:21): 就是我再给你举一种情况哈刚才邵龙说是有点极端，然后我可能是比如说他只消费200和201这种情况，然后这个金额分布的非常平均。然后他会他就会出现我这次消消费200我就掉下去，我下次消费201我就上来了，就他会在一个月里面，他可以去调几次。

邵冬(00:20:52): 会的我举个例子，我给你举个例子，比如说你，你们的这个金额是1万块钱，他这次消费200块钱，正好到999块。

张凯(00:20:53): 啥意思，我没明白。

夜航星(00:20:56): 邵冬你听懂了哈？

张凯(00:21:01): 对。

邵冬(00:21:07): 他不是没跳上去吗？他明天消费201了，那他前一次200去掉变成210的到2万块钱了，他马上变成金牌会员了，然后过一天他又消费200，但去年这个时候是他消费201的。

邵冬(00:21:24): 结果他又掉到银牌去了，因为是99099009999。他就。

张凯(00:21:25): It's.。说是201。

邵冬(00:21:33): 你不是设定一个值吗？这个值之上是金牌，这个值之下是银牌，正好他消费的金额就是，比如说一个是500，一个是5000，一个是5001好不好？

邵冬(00:21:47): 我两天累积的话，我是不是怎么怎么怎么去算一个不是50005000零就这个。

张凯(00:21:56): 就拿真实的你就按1万2万3万这种拿真实的。

邵冬(00:22:01): 我模拟一个值给你，你们先讨论我在 excel 上模拟个值。你们反正就是我们现在的判断，张总你相信我们现在看判断你如果这么干的话，他波动会经常发信息出来的。

张凯(00:22:21): 打比方说我支付宝我存钱存多了，我会员升级了，他也没天天给我发券，我升级那一次他才给我发。

夜航星(00:22:33): 因为他有个时间去卡他你掉下去了，六又比如6个月就不能升上来。

张凯(00:22:42): 6个月就不能？

夜航星(00:22:42): 我12个月就不能升上来。要不然银行就这么做的。

张凯(00:22:46): 那也不存在天天发吧！

邵冬(00:22:46): 我觉得按照拳击那套来，可我把这个页面打开了。按照拳击那套来可能是可以的。按照拳击的会员规则来应该相对稳定一点，我发到群里。这样是可以的，比如说我金会员，我今年要住住满五间我就保级了，但是我往上升要更高的。它不会乱动的。或者说谢工，到时候你模拟个数据给张总可以吗？或者我模拟也可以。

夜航星(00:23:49): 你你模拟一下吧，你反正也听。

邵冬(00:23:52): 这个反正逻辑我是清楚的我。你你们讨论别的吧，我马上模拟出来。

夜航星(00:23:57): 我们接下来哈！好，那我们接下来讨论尊享王牌任选两次是什么意思？

张凯(00:24:04): He. 你就任选两次就理解为给他，我们不是有那个组合套餐吗？然后那些我们所有的有售卖的那个疗程项目里面有一类项目叫王牌。

张凯(00:24:25): 可以在这几个项目里面让他任选，就相当于给他发了一个有针对性的券一样。

夜航星(00:24:32): 那我实际上操作的时候是不是就可以创建一个这种组合套餐，然后再给他这个组合套餐发一个100%的不对10折那种不对0折那种券。或者是就指定他金额的券。那行不行。

张凯(00:24:59): 对他按道理是反是以券的方式比较好实现吧！The. 

夜航星(00:25:04): 因为我们没有那么多实体，我们只能按照我们已有的实体去操作！

张凯(00:25:11): 对只要人能人人能开，让他有剩余卡项能开服务单就可以。

夜航星(00:25:20): 那可以。

张凯(00:25:21): 因为券好像也可以开服务单？

夜航星(00:25:24): Can. 劝你骗不行，骗得他消费掉就是看。

夜航星(00:25:35): 他只有券，他得选这个产品，把这个券消费掉才可以开服务单。

张凯(00:25:43): 那项目券是啥逻辑嘞？

夜航星(00:25:47): 项目券就是我们那个产品不是有品相，还有品相下来就是具体的商品嘛，项目券就是那个你是品项的券也可以商品的券。

张凯(00:25:57): 你的，比如说我们那个后台，我现在给别人做一个项目券，他也要开一个销售单，然后拿券来抵一下。

夜航星(00:26:12): 对。

张凯(00:26:13): 然后才有才会显示顾客剩余次数，那我明白了对那他这个怎么实现这个比如说给他任选两次能自动开服务开那个销售单吗？好像不行吧？

夜航星(00:26:18): 对。

夜航星(00:26:33): 自动开销售单你你是相当于你直接要给我想一下，不行你要让他去走消费这个流程，不然你不知道他要选哪个？

张凯(00:26:50): 通过券的方式，比如说我给他发个券，然后顾客自己去操作购买的流程，然后选券抵一下。

夜航星(00:26:50): 现在尝试。这个。

张凯(00:27:02): 他不买，他不用券就没用，他要用他就自己开个购买单嘛。

夜航星(00:27:09): 对，但是你们需要创建这种组合就是尊享王牌任选两次的组合，你们要把这个组合开出来。

张凯(00:27:19): 对我知道了，就是那个组合，我们要先建好他才能选得到。

夜航星(00:27:20): 不然他券没地方用！

夜航星(00:27:28): 对这个组组合如果你想让他自己可以操作的话，你还得允许在小小程序上面展示对，然后用户平时他也可以付这个对应的钱去买这个东西。

张凯(00:27:37): 商城展示。我明白了来，比如说我开我在商城开一个组合套餐，就是这个王牌任选两次的，然后在商城也要展示，如果没有这个券的顾客，他其实是可以花钱买的，然后有这个贵宾的达到贵宾的，他有这个券，他也去操作一下，但是他可以拿券抵。

夜航星(00:27:53): 对。是的。是的。

张凯(00:28:08): 反正他们要开开那么一个销售单，然后后面才能接受服务划卡。

夜航星(00:28:14): 对他，他只要开了销售单，我们才知道他到底选哪个？

张凯(00:28:20): 逻辑也可以！

夜航星(00:28:21): OK。然后这个没问题，然后价值就没问题，就相当于发个代金券，我们可以发个具体品相的代金券吗？

张凯(00:28:40): 就比如说什么王牌任选两次代金券吧，什么明星项目单部位三次代金券吧？

夜航星(00:28:41): 我目前那个品项是跟我们固定的品项挂钩的，还不能跟商城看到目录去挂钩，因为你老要变。

张凯(00:29:05): 像挂钩。

夜航星(00:29:08): 对。你们内部看到品项，上次讲商品管理这边的品项。有护理项目里面的那个像护理项目是1级品项，然后什么中中华神灸，这是2级品项，你可以给他开一个中华神灸的这种代金券。

张凯(00:29:37): 我们品项是大类，我们具体指向都是有那个具体是某一个项目的。

夜航星(00:29:46): 那你们对什么你你这里发的券是要具体某个项目？

张凯(00:29:53): 没有，我就是你就理解为我发的就是组合套餐！

夜航星(00:29:58): 你发。

张凯(00:30:00): 因为组合套餐它打包起来就是一个商品是不？

夜航星(00:30:03): 是的。

邵冬(00:30:03): 东西模拟出来了，你们看一下。Excel 表格你们打开来可以看到，就是比如说我设定一个值548块是金牌547块是银牌 OK，那我他的消费是这样的212121这样消费的。

邵冬(00:30:26): 我们就极端情况！

张凯(00:30:29): 极端吗。

邵冬(00:30:30): 那你到这个就是我这里没完全差也差不多了，到1月2号的时候，我是取全年的这个值，它累计出来是548。到1月3号它又变成一块了，它就变成547了。

张凯(00:30:52): 因为你你指的是因为2025年1月2号又没有记录了。

邵冬(00:30:58): 对就是我是极端情况就是它相当于你隔天就每天都要提醒你，你不停的变动，我们意识到情况就可能你会因为他消费的变化老是做提醒，如果你能接受，其实没问题的。

邵冬(00:31:17): 我模拟的极端情况。

张凯(00:31:17): 什么好像这个逻辑不对！

夜航星(00:31:22): 是那个意思？

张凯(00:31:26): 我们的初心好像不是按照每天去刷新的？

夜航星(00:31:35): 你讲一下你你的需求嘛，我给你定个方案。

张凯(00:31:40): 我看一下，我打开文件。我被你们绕进去了。看一下哈。

张凯(00:32:06): 我看一下，我这里面有一份详细说明。滚动是怎么算的？自获取日起365天后自动失效，就是你们讲的这个逻辑，例如2025年1月1日获取的积分将于2026年1月1日失效。他会不对，这是积分。看错了，这是积分。

张凯(00:33:22): 稍等一下。好像我问一下还。

张凯(00:33:37): 邵总就会员那个会员八大权益？没听见来嘛，大哥，我他妈天天跟今天他们三个娘的在那里，他那个消费是按天刷新吗？哪个你说什么，比如说我举个案例给你。所以说你那里流来的，比如说你2025年，我举个极端的案例给你看20222025年。1月1**消费了没听你讲好你讲。2025年1月消费了5000元，我举个案例到6月中间就5万了，你消费了8000元。然后这就是你到6月份你就升档了，到1万是不升到了贵宾吧，新钻贵宾吧。

张凯(00:34:42): 那么到。那么到。到我什么景？

夜航星(00:34:56): 那我跟你讲一种方案，我感觉还蛮合理的，那我跟你讲一下，就是我们计算还是按照过去12个月计算，但是我们比如三个月计算一次，这样会比较稳定一点或者半年计算一次。

张凯(00:35:02): 好。等于31000稍等一下，万一是什么，累计31000是什么，会员本赚。本段到了1月1号之后要减掉这个5000吗？2026年，它降了个降法，1月就没了嘛，我就求这个累计嘛，他就按照26000的标准嘛，除非门店，所以还是给他保留，那门店自己有权限去设。你不对，按道理从这里刷新之后他不是再往后推一年吗？追到2026年吗？你走吧，本金轴在这里推一年，他这里面达标了，他就升上来了，我消费的第三笔达到超过3万，我就成粉钻嘛，然后我这里往推往后推一年是到2026年十二月三十一吧。是不是滚动一年吧，滚动一年。

张凯(00:36:11): 那么问题来了，那么我到了2027年1月1号的时候降档怎么降，要看他消费有没有力度也这个过程中有没有消费嘛，那中间消费零27年没有了，那就回到最初级的会员就回到出创去直接刷新为零吧，没有就那门店的人就会跟他讲诶，你现在诶，你现在享有这些东西，那如果你没有达到你接下来这些权益就没有了，那就用权益去经营客户，然后顾客又愿意消费，他就继续充值，然后如果说再来一个点，对，然后还有一个点，然后就降级，对这是一个还有一种，那如果说顾客他有特殊情况，那门店还用用其他的方式给他去申请保留。那我就是到2027年1月1号，我就是看2025年就是这个期间段有没有消25年是否有消费，对，是不是对，是的，就是根据这个中间的消费。重新定档，如果他消费零就直接变成了鬼的初级会员，如果消费了达到了。几千1990又是一个答。如果消费了1万以上就定一个档，就根据这个时间拿下的！

张凯(00:37:45): 这生长的逻辑是对的，有人说他这是重新从这里开开始，按照他会员享受一年到期也是2026年的12月30号。他这期间没有消费，然后2027年的1月份他就回归实际的他这期间12月到31号到2027年的。

张凯(00:38:08): 30号没错，是这个逻辑，我给你发了一个表，他们模拟的一个数据，那打开一下，我下次给你，你怎么落实不是比我更好用，你看这个。假如547是银牌，达到了548就是金牌，还是很极端的数据，就是每天都在消费，我一块两块一块两块的。

夜航星(00:38:40): 张总不好意思打断一下这个我们可以先继续吗？这个会后你们再接着聊。

张凯(00:38:41): 对你再等会再聊，马上了，你看，比如说这里这一天的时候是548金牌到这一天就变成547了，诶是广东一年吗？因为因为他这一天的就不算进去了，他减了二他什么时候升上来后就开始了，你要先保留这个一年的周期的大哥明白了。有时候是身在其中。你你们听明白没有？

夜航星(00:39:18): 怎么说我，我刚刚没在听。

张凯(00:39:21): 我升完那一档之后，我历史时间是下一轮下一年我有一年的时间不去降档的。我打比方说。

夜航星(00:39:32): 也我知道你不用打比方，也就是它的计算时间是一年，然后更新时间也是一年？

张凯(00:39:46): 举个案例，邵总这个案例，它达到2026年1月2号达到548之后这一年。他不消费的话，他就一直保持这个档位的。

夜航星(00:40:00): OK 可以。

张凯(00:40:05): 这个通了！

夜航星(00:40:07): 那可以，现在你们就是计算的时间是一年，然后更新这个数据的时间也是一年。

张凯(00:40:22): 如果他中途比如说他达到。

夜航星(00:40:24): 我刚才说的那个银行通常的方案，他们可能是计算时间是一年更新时间是三个月或者6个月，这也没问题。

张凯(00:40:35): 如果他消费达到了就更新消费没达到他就一直是这个档。

夜航星(00:40:48): 对。

张凯(00:40:53): 那这个衔接上了？

夜航星(00:40:56): 好的。

张凯(00:40:57): 然后你继续讲。

夜航星(00:40:59): 对的，然后接下来这里就是你你这里涉及到一些实体土鸡蛋糕鲜花搞不定。

张凯(00:41:11): 不用管了，跟线上无关的，这都是线下的。

夜航星(00:41:15): 那我那不用管哈。

张凯(00:41:17): 它能不能做提醒？

夜航星(00:41:27): 提醒可以发个相同。给发个消息。

张凯(00:41:28): 因为送东西肯定是线，比如说送鸡蛋，鲜花肯定是他线后线下去给到顾客系。

夜航星(00:41:33): OK OK 好，那这个单单月是什么意思，就是这个月。

张凯(00:41:39): 哪个冬天。他庆生他生日，你看标题生日礼。

夜航星(00:41:45): 深圳月就在月靠。我定制你就是指定的时间去发这些，那对 OK 好。

张凯(00:42:07): 点进这里可以不用管。因为这也是线下的东西。

夜航星(00:42:14): 到店意思它有产生了服务单？

张凯(00:42:23): 到店护理对有服务单就有什么赠送的什么鬼的券来着？

夜航星(00:42:33): 你们单月主推项目怎么怎么去，我去判断。

张凯(00:42:44): 立减价50%的现金券对这个怎么是变的，是每个我也不知道他每个月主推项目是什么？主要是大家对它都不熟悉。今天可以。

夜航星(00:43:08): **要不你可以手动操作不行。

张凯(00:43:15): 怎么手动操作？

夜航星(00:43:18): 等一下问一下这你们什么时候给当场给说等这个服务单结束了再结算？

张凯(00:43:31): 他是要到店了，然后才有。还有赠送。

夜航星(00:43:37): 我知道好能不能结算了。

张凯(00:43:40): 结算是啥意思？

夜航星(00:43:43): 是，比如说他到店了，你们就服务单开始了，你们就结算，那他当天就可以消费，是你们就。到店那天以上再结算。

张凯(00:43:57): 你说这个是什么时候可以用？

夜航星(00:44:03): 对看你们要什么时候结算了。

张凯(00:44:07): 那我确认一下哈。

张凯(00:44:38): 他是要服务单完成之后。服务单完成之后，那他能不能直接通过一个按钮来实现，比如说店里面他点一下就赠送出去。

夜航星(00:45:01): 我们这里有发放优惠券的功能，有这个功能。

张凯(00:45:05): 我也不知道怎么实现，还是要看你们有什么方案。

夜航星(00:45:08): 对有功能，我们之前也演示过，可以发放优惠券的就是每每月。

张凯(00:45:17): 你不会是说让我们后台填手机号吧？

夜航星(00:45:22): 对你不开始你哪开始的事？

张凯(00:45:23): 那个就很麻烦的！那肯定是顾客那店里面的店长或者美容师针对单个顾客去发送的了。

夜航星(00:45:40): 主要问题是不知道你们单一组成项目是什么？或者换一种方式。

张凯(00:45:50): 我觉得最好是这样子，这是比方说店里它有一个赠送券的功能，然后它可以选择赠送什么券。

夜航星(00:46:04): 现在有这个功能。

张凯(00:46:06): 因为因为这两个动作是两个人在完成像后台管理员，他只他会他可以上传这个每个月主推项目的券是什么东西嘛，但是送肯定是要店里来完成这个项目的，如果店里不完成，他只是报个手机号，那就会累积很多，到后台去操作，后台就很麻烦。

张凯(00:46:34): 我表达清楚了不？

夜航星(00:46:40): 啥子事情。

夜航星(00:46:45): 好多了。你们普通场不能固定？

张凯(00:46:56): 没它固不固定没有关系，就像这个现金券可以由后台每个月设置好，但是发送的这个操作要店里自己去操作吗？

夜航星(00:47:10): 我们相当于券是设计好了，发放是对店里去发放，就在。web web 这个服务商可以吗？

张凯(00:47:27): 哪儿你你说啥？

夜航星(00:47:29): 我住在外面服务上。

张凯(00:47:33): 啥服务。

夜航星(00:47:34): 坐在这个地方。我截个图给你。

邵冬(00:47:35): 现在。

夜航星(00:47:44): 现在有这么个功能就可以发放了。

张凯(00:47:49): 你你你这个动作不对，你动作还是得后台去填手机号？

夜航星(00:47:55): 对。是要填手机号？

张凯(00:47:59): 你填你手机号那就麻烦了，它不能够自动识别吗？

夜航星(00:48:03): 我不填。不能咋自动识别，那哪知道谁是谁？不管住在哪里都得填手机号。

张凯(00:48:10): 它有条件的这些会员，然后产生了护理单当月到店的，然后一键发送不好吗？你填手机号挺麻烦的大哥。

夜航星(00:48:23): 一键发送搞不了。

张凯(00:48:26): 为啥。

夜航星(00:48:35): 就你现在得在客户你你入口都在哪里？

张凯(00:48:44): 入口做在哪里？

夜航星(00:48:46): 对这个操作你要放在哪里操作？

张凯(00:48:52): 那我岂是想它还自动操作嘞？

夜航星(00:48:56): 自动操作你们这不固定吗？每月主推项目。

张凯(00:48:59): 不固定设置优惠券的动作可以由后台设置好，然后它自动去发送。

夜航星(00:49:12): 可以我给你们优惠券，你们每月去改改它。

张凯(00:49:22): 对我就是意思，就是后台，因为主推项目它是不固定的嘛，我每个月去改，它是反正一到时间判断这些会员他有到店了，并且服务完了它就自动发送嘛。

夜航星(00:49:30): 可以的。可以好对这可以吗？然后就你请客，我买单，这个你们咋想的没这个功能，目前。

张凯(00:49:39): 你手动发句麻挺麻烦嘞！

张凯(00:49:53): 这不是额外的吗？有这个功能我就不找你了，大哥。

张凯(00:50:03): 分享里我看一下哈，每月一次你请客我买单，这个就是我之前发的那个小程序那个标签，下面备注的它就涉及到邀请我作为顾客，然后我邀请我朋友来，然后我朋友消费了，给我返券的这个。

夜航星(00:50:26): 红色手段反差。

张凯(00:50:26): 他就这样，他分享嘛，分享力就是你是假如谢工，你是我们顾客，然后你邀请了邵总来！

夜航星(00:50:34): 我知道你是逻辑，我知道你不用讲。行吧，这个放放到后面一点做。

张凯(00:50:45): 可以直。

夜航星(00:50:51): 这个逻辑我还得设计一下这字段也要改表结构都得改，那相当于邀请人会是。首单返还30%的代金券还得首单，根据首单的金额计算3% 10代金券。对这个后面实现，我们先把别的做了再说。

夜航星(00:51:37): 这个积分没问题，你你们积分要怎么用？

张凯(00:51:41): 积分积分是当前用诶？

夜航星(00:51:45): 暂停用吧。100=1块钱不对。是1块钱一积分1块钱还是什么？

张凯(00:51:58): 看一下哈！积分也是。积分也是365天作废？

张凯(00:52:32): 一积分多少钱一积分好像是。一积分等于1元！

夜航星(00:52:46): 我这到店就20块。

张凯(00:52:51): 一积分等于1元人民币是为什么这么高**！

夜航星(00:52:57): 我算了，我也还不好。

张凯(00:53:00): 我看文件是这么写的。

夜航星(00:53:02): 那先这么做，后面再确认吧。

夜航星(00:53:10): 那这种货不了，就是那些券是券。

张凯(00:53:18): 哪个。

夜航星(00:53:20): 这个实现不了一个家居的现金券和一个招牌项目的搞不了，要你们调整一下。

张凯(00:53:33): 赠送价值300元家居现金券或者一个摄像头。

夜航星(00:53:40): 你要么按前面前面。

张凯(00:53:43): 他那个券和前面的不是一样的意思吗？

夜航星(00:53:51): 不一样你却没法放到多套餐里面。

张凯(00:54:02): 你的说有个货，就是要么一个，要么是家居现金券，要么就是招牌，我理解你意思了，这是我讲的。

夜航星(00:54:11): 对。因为这是一个客户主观选择的步骤，我们没法弄。

张凯(00:54:21): 对。前面的线都是固定的，这里是不定的。

夜航星(00:54:29): 主观选择，我们是通过订单的形式让客户在他下单的时候选掉。

张凯(00:54:43): 在下单的时候选掉。

张凯(00:55:01): 最后一个还有其他练吗。

夜航星(00:55:03): 对。其他我底下也还没有看哈，我再看一下。

张凯(00:55:13): 这里比较厚。

夜航星(00:55:16): 标黄就不做？

张凯(00:55:18): 标红的是啥意思，我看一下价值。定制礼不是定制礼？

张凯(00:56:03): 还有其他卡点不？

夜航星(00:56:05): 先说这条就你们确定改了，改成一年计算一次。

张凯(00:56:16): 他这句话写的有问题，他是这句话没写清楚。

夜航星(00:56:20): 不过我建议你们向常规操作靠拢的，像银行他们都三个月或者6个月计算一次，那一年太久了。

张凯(00:56:32): 三个月或6个月？

夜航星(00:56:32): 因为你们对因为你们每次计算它都可以促进客户去消费！你不要搞那么久？

张凯(00:56:46): 说降级吗。

夜航星(00:56:48): 对这样子。

张凯(00:56:49): 保级不能给一年那么长？

夜航星(00:56:53): 你不要一年保保级嘛，对吗？是不是你你觉得合理吗？

张凯(00:56:56): 我待会跟他们讨论一下。

夜航星(00:57:01): 然后接下来就退卡，这没有操作？

张凯(00:57:08): 退款有退款单位？

夜航星(00:57:10): 退款有，但退卡没有我们都没有卡这种概念。

张凯(00:57:14): 口径问题退款单的意思？

夜航星(00:57:20): 退款单对退款单是会扣的 OK。

张凯(00:57:23): 对。退卡他哪儿写的退卡？若中途有退卡现象就是退款现象？

夜航星(00:57:50): 然后这个代金券是两边各发15%。

夜航星(00:57:58): 代金券是两边各发15%？

张凯(00:58:05): 分享里那里？对。其实它就涉及到一个营销的功能的话，相当于转介绍？

夜航星(00:58:23): 对。一个功课最多请客两次，所以一个客一个老客，他只能拉两次新客才有效的吗？他第三次就没有福利了。

张凯(00:58:46): 同一个新客最多请客两次。这句话写的同一个新客你请客，我买单。一个功课最多请客两次。因为我觉得没必要！

夜航星(00:59:09): 这也没必要，我觉得他每一次对你们的教育都是一样的。

张凯(00:59:11): 但是人家不是邀请的越多越好吗？

夜航星(00:59:15): 对，是的。我也觉得没必要。

张凯(00:59:18): 我没理解他。

夜航星(00:59:22): 那这个先不做行不行？

张凯(00:59:25): 可以有。

夜航星(00:59:26): 然后这个新客福利不可与门店其他福利共同使用，能不能也不做，就是这个影响不大，但如果做的话逻辑会改很多。

张凯(00:59:38): 这个我觉得可以不做了，这个，反正平常也盯不到那么细，这怎么盯我这人为系统我觉得都盯不来。

夜航星(00:59:47): 对你们太多规则运营起来也太复杂了？

夜航星(00:59:55): 就你们培训都很难培训成功。

张凯(01:00:01): 我都培训完了，嘿这些。

夜航星(01:00:05): 会员当天会更为多年轻人！周年庆不是你们店的，既然是会员的周年庆是。

张凯(01:00:15): 成为会员成于成为凤御会员当天定为会员周年纪念日。顾客达到成为会员的标准的那一天。

夜航星(01:00:31): 我理解 We need. 理解你们你选一下改成啥还是你们再讨论，就这个二选一。

张凯(01:00:33): 顾客不是有一个标签吗？成为会员的标签？哪一句。

夜航星(01:00:49): 这什么？

张凯(01:00:49): 要讨论一下。

夜航星(01:00:54): 那我这边这块没了，他还有别的表吗？

张凯(01:01:00): 会员别的表。有关于会员体系的设计，说明你需要不？

夜航星(01:01:11): 给我没。

张凯(01:01:12): 哈哈哈。这些内容是不是一样的，我看一下。

夜航星(01:01:23): 内容跟之前一样，不用了。

张凯(01:01:26): 那金金额好像有不一样的。我怕把你搞混了，它里面金额不一样，但是关于会员设计的一些说明。

夜航星(01:01:38): 不用了，我感觉已经比较清楚了。

张凯(01:01:43): 好。

夜航星(01:01:45): 什么问题。我这边没有问题了。

张凯(01:01:55): 好。

夜航星(01:02:07): 那先这样。

张凯(01:02:09): 拜拜。

夜航星(01:02:13): 怎么。
