[00:00] 好你说
[03:27] 反正然后我可以说AI这个是实时的数据
[03:31] 然后相当于我现在原先是像1.0版本的这个workfine
[03:36] 我在逐步逐步往我2.0 3.0版本
[03:39] 看在做嘛
[03:40] 就这么一个演讲的一个概念嘛
[03:43] 呃
[03:43] 那你来得及吗
[03:44] 你过年还要放假
[03:45] 我跟谢公商量好了
[03:47] 我才给你打电话的
[03:48] 哦
[03:49] 我们商量
[03:50] 那你这个那你前面你前面白扔了多少成本给给前面那个团队来
[03:55] 那也没办法啊
[03:56] 但是我因为我觉得我跟你这样说啊
[04:00] 就是这个是我自己的事情
[04:02] 就是啊
[04:03] 就是我不可能让你难堪啊
[04:05] 你给我这个事情我不可能让你难堪啊
[04:07] 所以我我讨论来讨论去什么东西都是我自己扛
[04:12] 我扛不下来了
[04:13] 我跟谢公商量
[04:14] 我说我说再怎么样
[04:16] 我说张总对我蛮好的
[04:17] 我说我见了他们老板
[04:19] 我说我这个事情我不能让你难堪
[04:21] 所以我们我们赶紧要把这个东西弄出来
[04:24] 然后他说可以
[04:25] 然后我我再给你打电话了
[04:28] 哦好可以啊
[04:29] 好吧
[04:30] 那那就这样
[04:31] 我不跟你多说了
[04:32] 嗯
[04:32] 也就是说
[04:33] 也就是说前面那个
[04:36] 就是反正到3月之前肯定是登陆不进去是吧
[04:40] 他那个你知道我我为什么我会痛下决心
[04:44] 我我跟他们说你这个点要给我开发出来他们没有否决掉
[04:49] 但是你们你们比如说你们过年前放假之前我不是你不是发了一稿给我吗
[04:55] 这个东西你要跟我讨论过啊
[04:57] 我心里有底啊你讨论就之前也有那种不讨论的情况
[05:03] 那那什么东西都是我堆着你们屁股跑
[05:06] 我再怎么负责
[05:09] 我推不动这个事情啊
[05:11] 那我我后面就是
[05:13] 我想好了
[05:14] 反正我知道他们这个尿性以后后面就是
[05:17] 呃你到时候你应该配合我一下我我跟你演个戏
[05:20] 然后就轰走了呗
[05:22] 呃可以啊可以啊
[05:23] 那我就回归到正常的和谢公搭档这样做开发
[05:28] 我就要把这个事情做好啊
[05:30] 那我觉得不把事情做好难为情呢
[05:33] 这个事情哦哦
[05:34] 那前面的那个前面的那个应用是在你手上是吧
[05:38] 应用都在我手上
[05:39] 但我们也不要了
[05:40] 我就全部丢掉了
[05:42] 哦哦
[05:43] 全部不要
[05:44] 那你下了个很大的决心呢
[05:46] 我是我其实我昨天睡觉也也没睡好
[05:50] 我们两个人在商量
[05:51] 我说这个事情
[05:53] 嗯你说就是说我勉勉强强三有话给你交了个拆吧
[05:58] 你后面还有一些
[06:00] 呃就是我们觉得就是我跟你这样说啊
[06:03] 就是前面沟通沟通成本高
[06:06] 有你的原因啊
[06:07] 也有我我们这个团队的这个原因
[06:10] 但是我觉得我们团队的原因占比例更高一点
[06:14] 因为有些简单的东西你不应该再再推上来
[06:17] 再去反复讨论的
[06:19] 本人我范里就有的
[06:20] 那么变更吗
[06:21] 你们也有变更
[06:22] 这个东西我觉得你没有哪一个项目接下来说
[06:26] 甲方不变更的
[06:27] 对对对对对
[06:28] 你这个东西你接项目
[06:30] 哪有说甲方一下子能把自己需求多说清楚的
[06:33] 你要去怪甲方这个变来变去
[06:36] 我从我这角度来说我不是这样的人
[06:39] 然后我跟泻工说了
[06:40] 我说我说我我就是这样的人我说这个吃亏就吃亏
[06:45] 我觉得把服务要做好
[06:47] 要不然你自己以后做出去做不出去的
[06:50] 我跟他说了
[06:51] 他也认读了
[06:52] 所以他说他说现在我们的方案就是看了所有的文档
[06:56] 然后就是他先按照自己的思路完全全部做出来
[07:00] 不用不用你来打扰
[07:02] 然后做出来以后你们就可以用
[07:03] 用的时候发现不对再来改
[07:06] 可以啊对啊对啊就是这样子嘛
[07:09] 这样改这样改更高效
[07:11] 沟通不一定就是说能立马一下子把它百分百做正确
[07:16] 都是后面慢慢纠正嘛
[07:17] 对然后你你万种这边凤种这边
[07:21] 你也帮我呃说一下这个情况
[07:24] 其实也的确是到这一步
[07:27] 其实其实我也不希望看到
[07:29] 但是呢也的确是可能开发我们包括你包括我
[07:33] 都是得经历的路程吧
[07:35] 不是想象的想象的那么容易对吧
[07:38] 就是你变更成本也高
[07:40] 但是我我就是抱着就是一定要把这个东西开发出来的
[07:44] 这个决心们来做这件事情
[07:46] 是吧要不然我也不跟你打电打这个电话
[07:49] 到时候就是大家扯皮就扯皮
[07:52] 我因为我不是这个风格的人
[07:54] 所以我我我想把这个事情做掉
[07:56] 对对对好好吧
[07:58] 好那你帮我跟万种和凤种呃
[08:01] 道个歉吧这个事情
[08:02] 反正事情我一定是会做掉的
[08:04] 啊你就是说那目前三月之前可以把会议的需要的一些东西弄出来
[08:10] 那完整的完整的大概需要多久
[08:12] 完整的就是那个谢光跟我三辆
[08:17] 我们这个开发开发路径
[08:19] 因为我我是跟他全程配合
[08:22] 如果顺利就两个月最多就三个月
[08:24] 就是我们两个月做完就你们开始试了
[08:27] 试完了以后就开始调整一些东西嘛
[08:30] 因为时间久了我们自己也要花成本的啊对好不好
[08:36] 就是也就是说也就是说到三月三月底之前
[08:41] 相当于如果快的话快的话就是三月底之前
[08:44] 基本上一个雏形1.0版本就能出来是吧
[08:47] 对对对因为我们这个会配合着那个
[08:50] 因为我这样的话我AI那部分接进来那个销售端接进来也很顺利啊
[08:56] 要不然我在这边这个销售端逻辑我们得重新理过
[09:00] 我我还不如直接推倒了干了
[09:02] 哦好好啊
[09:04] 好好吧这样就是反正你隐隐约你也知道怎么个情况
[09:09] 然后我我这样跟你说了可能你心里还更舒服一点对吧
[09:13] 嗯更踏实一点好好好好的
[09:15] 啊我肯定我肯定是信任你嘛
[09:18] 对我我你因为我们打交过很多次
[09:21] 你也知道我什么什么脾气的人对吧
[09:24] 对好好那就这样好的
[09:26] 好嘞好好那辛苦你了哈啊没事就这样应该的啊
[09:30] 好嘞拜拜
[09:31] 好嘞
