贺东群(00:00:02): 那黑色的那些就是没有的，但是我们这些信息都是有的，比如说是哪个市场服务的日期。
张凯(00:04:48): 现在网页端能导出来吗？

贺东群(00:04:50): 可以导出来，然后它导出来上面有个已退金额，我就加在了这里。

张凯(00:04:57): 营业额分配哪里能导出来，我都没看到导出按钮了。

贺东群(00:05:02): 你老分配没有我说的是上面销售的。

张凯(00:05:07): 我们现在都讨论到下面营业额分配了。

贺东群(00:05:10): 这个分配我还没导出来，我不晓得是什么情况，但是我是根据我们的销售来的，因为营业额分配，主要是根据每个项目多少次多少钱，然后营业额分配就是每一个项目分配给哪些人。每个人占比。

张凯(00:05:27): 营业额分配它这里有个问题，如果一个子项分给了三个人，那要出现三行吗？

贺东群(00:05:32): 对你看我发的那个图图上面就是比如说项目就看前面两个哈，项目总。

张凯(00:05:36): 那又重叠了？那又重叠了。夜航星。

贺东群(00:05:48): 我们是3000，然后销售占比，这个美容师占30。另外一个养生师占70他的业绩就是900和2100，但是前面的总金额不变还是成正常的3000说他的分配要把这3000分配给这两个人。

贺东群(00:06:13): 这样子业绩就不会重叠，也知道是哪一个单分给了这两个人。

张凯(00:06:22): 发现这里存在一个问题。你没有指向的一个编号，你怎么知道那两个指号指向是同一个？

贺东群(00:06:32): 酱的编号是什么钱。里面不是有订单号吗？订单号就是流水号！

张凯(00:06:35): 就是我们老老系统里面的流水号。

夜航星(00:06:43): 不是他还得需要3333瓶编号？

贺东群(00:06:51): 酱的编号是什么钱里面不是有订单号吗？订单号就是流水号，商品编号那就在后面再加商品编号。

夜航星(00:06:57): 我理解差不多理解了你你你咋这要这么多大表？

贺东群(00:07:06): 因为我们有的时候他们会有各种需求，那我有明细的话，有的时候，系统上没有的话，那我们可以自己汇总。

夜航星(00:07:15): 是不是用问答，是不是更好？也行吧。服服务服务单的提成要吗？

贺东群(00:07:38): 多加个提成！

夜航星(00:07:41): 你现在放的相当于是订单的提成？

贺东群(00:07:46): 能加也可以加上。

夜航星(00:07:52): 那你得把表头给我。

贺东群(00:07:55): 吗。掉头。

夜航星(00:07:55): 把表头给我对。

贺东群(00:08:05): 把也加到他们后面去，也可以。

张凯(00:08:16): 就是我们按照外部端的那些字段的标题，把这个标题改一下。

贺东群(00:08:32): 我改过了那些标红的全都是我改过的。

夜航星(00:08:42): 还有单人业绩这个字段不太理解。

张凯(00:08:48): 能单业绩吧？

夜航星(00:08:49): 对人单业绩是？

张凯(00:08:52): 分配额。

贺东群(00:08:53): 分钟。

夜航星(00:08:56): 分配就相当于他的实付金额乘以30% 70%。

张凯(00:09:00): 小军。小军对看小学你写的别人都不理解。

贺东群(00:09:10): 这样子吗。

张凯(00:09:12): 你要按照系统上的称呼来写，你写个人单业绩你看我们订单里面这个东西叫什么订单里面。订单里面叫。叫分配额。

张凯(00:09:39): 分配额。

贺东群(00:09:42): 我改了。

张凯(00:09:47): 一嘿。

贺东群(00:09:49): 我改了预约订单号。我出来了。刚刚说加一个什么流水还是什么什么东西来着？

张凯(00:10:05): 没有我们老系统里面有一个流水号，就相当于卡的编号。

贺东群(00:10:14): 卡的编号都。

张凯(00:10:16): 我们这个 web 端不一定有。

贺东群(00:10:21): 要销售流水号？

张凯(00:10:25): 那没有你要啥，我的意思，比如说你疼痛管理。

张凯(00:10:31): 分给三个人，这三行你怎么识别这三行是同一张卡？

贺东群(00:10:37): 就订单号不是只有一个是唯一的吗？

张凯(00:10:42): 订单号那又分为订单号，里面还有很多子项。

贺东群(00:10:48): 子项目它也是同一个订单，它子项目难道还会变？

张凯(00:10:53): 那不是那比如说我一个订单里面，我圣元养心，我就选了三张嘞我，然后每一张我分三个人，我要分九九行，你你九行你能识别出来不了。

贺东群(00:11:00): 那你不是从？那你不是从咋不能，我旁边不是有一个应收总额就是应收总额的想法就是这个，比如说他这是一笔付的1万块钱，他有很多个项目，总的就是这么多，然后他拆分成每一个项目多少钱？

张凯(00:11:31): 等等等我看一下。我超过三天了，我还分配不了。

夜航星(00:11:56): 那我这三个表我差不多理解了，我刚才看了一眼。那我这边没啥问题了。

张凯(00:12:07): 行，那我们等下午更新之后再看一下。

夜航星(00:12:14): 那可能会稍微晚一点，我得先吃个饭，然后再还有一些东西稍微改一下，然后再推上去。

张凯(00:12:18): 行，那我们等下午更新之后再看一下。可以不着急！辛苦了，感谢你！

夜航星(00:12:25): OK。好好，那先这样拜拜。
