夜航星(00:00:01): 可以继续。
夜航星(00:09:52): 这个优惠这个字段是放在客户端，是放在管理后台和员工开单这边的。商品的字段上？

张凯(00:10:13): 商品的字段？

夜航星(00:10:16): 就是我们有两两套那个商品，然后这个优惠字段是放在员工开单这套商品上。

张凯(00:10:20): 对。对优惠字段对是！

夜航星(00:10:34): 对，然后他还不能根据市场门店去判定他，你你给一个商品优惠，他就所有市场门店都可以了。

张凯(00:10:48): 那这个还有点区别？

夜航星(00:10:52): 你可以用一个你们就是麻烦一点做法就是你你设置两个。相同的商品一个可优惠不可优惠，把它的适用范围给选择不一样。

张凯(00:11:12): 我们目前。

夜航星(00:11:13): 相当于。相当于系统支持，这个功能就是**们操作上会有一点点麻烦。

张凯(00:11:22): 那是挺麻烦的，如果我们那么多城市的话。

夜航星(00:11:29): 不可能跟给一个字段去加市场门店控制。

张凯(00:11:30): 可能会存在一个商品见好几次！

张凯(00:11:46): 我外围市场对外，那外围市场它可以优惠的时候。都是挺麻烦的。

夜航星(00:12:08): 你你们可以优惠这种门店是一些几个特定门店，还是有很不确定，很比较混乱一种状态。

张凯(00:12:19): 我们所管理的所有的城市当中，我们嫡系的。嫡系市场？正常情况下不允许优惠。然后外围市场，就是他们有自己的大股东的那些市场，我们不管他，你爱爱做不做优惠，你随便你填，随便你。因为我们也不监管。

张凯(00:13:06): 还涉及到上次邵总跟我讲的说，我们可以研究一下 saas 就是我们 saas 后面要面向于很多品牌。

张凯(00:13:18): 他可能每个品牌之间它的规则有点区别，比如说我凤玉，我禁止了你这三个区域，你凤玉三个区域，这些品相不允许做优惠，但是另一个品牌它又可以比较灵活。

夜航星(00:13:37): 我目前现在的状态是系统可以支持就是你配置会有一些麻烦，你得给你刚才说的那些外围的市场门店。

夜航星(00:13:49): 配不同的商品你得配两套商品。

张凯(00:13:55): 那我商品我就上传很多嘞。

夜航星(00:14:00): 你上传很多你。你是用那个市场门店去控制它的范围，比如说你你有些商品它只是南昌市场可见的他开单的时候他又不会看到别的，他只会看到你，你这边可见的。

张凯(00:14:21): 我知道。

夜航星(00:14:23): 它只是设置的时候稍微有点麻烦，使用的时候还是比较清爽一个状态。

张凯(00:14:39): 那是否优惠，它和哪几个字段绑定嘞？

夜航星(00:14:43): 是否优惠和对上面属性放一块就是那些字段都在一起。

张凯(00:14:52): 和商品属性放一块？比如说一个项目，你封印这三个区域，我设了它可以优惠，然后同样的商品我设置它不能优惠，但是只针对另外的区域。

夜航星(00:15:13): 对。

张凯(00:15:16): 我上传商品的时候，我要上传一个商品上传两份，然后选不同的区域。

夜航星(00:15:21): 对是的。然后这个范围只精确到市场层级。

张凯(00:15:39): 有精确到市场倒没问题。可以做优惠，不能做优惠。

夜航星(00:15:56): 你你想你就算对这个可优惠做一个市场筛选的话，你也是要做市场的这种筛选，做筛选这一步的就是你你本身就要做这个事情，就这点麻烦是省不了的。

张凯(00:16:13): 我看一下我商品导出，但是我商品导出里面导出的字段里面缺乏。它适用于哪些市场？

夜航星(00:16:28): 你你停一下，我给你加上！

夜航星(00:16:43): 我们表单填报里面是有的。

张凯(00:16:45): 填报的时候有可以选？优惠。商品它可以优惠，它就可以自己填金额。

夜航星(00:17:01): 自己填应付金额，对应收金额。

张凯(00:17:04): 应收对吗？是填零，它就是代表赠送。

张凯(00:17:33): 如果是你那这里和那和另一个动作就有点重叠了。我发现你比如说你说店长，他其实是有权限就是针对一些新顾客，我可以赠送你一些项目。

夜航星(00:17:39): 哪个动作。哪个动作。

张凯(00:17:49): 这个项目又给他设置成了不可优惠，那店长去赠送的动作他怎么实现？

夜航星(00:18:00): 不可优惠，那就不可赠送了。

张凯(00:18:06): 那他就只能通过发券？

夜航星(00:18:07): 对发券。

张凯(00:18:12): 答券。

夜航星(00:18:15): 因为改。你应付金额只有两种途径，一种是代金券，另一种就是直接改。你说的店长的优惠？

张凯(00:18:27): 那就这么做！

夜航星(00:18:37): 6月1号？因为他第二条员工管理就是物理删除，只给管理员？

张凯(00:18:44): Really. Really.。

夜航星(00:18:55): 权限还是需要控制一下？

张凯(00:19:02): 他那个我猜的没错吧，他是别人扫码了，他就提取到那个列表了吧？

夜航星(00:19:10): 是的。

张凯(00:19:17): 他们其实是没有登录成功。

夜航星(00:19:17): 然后。对他没他对没有登录成功是的。

张凯(00:19:25): 这一类的可以删掉，可以不要。

夜航星(00:19:28): 我这个已经对过滤掉。

张凯(00:19:33): 包括还有一个好像顾客管理的，也是因为？

夜航星(00:19:38): 顾客管理，现在我给他加了，他绑定门店的时候就得验证手机号。

张凯(00:19:47): 还有包括还有一个好像顾客管理的，也是因为我看挂了一些没手机号的，但是那个数据统计顾客数量里面好像又有这个人。

夜航星(00:19:56): 之前想的是顾客端不再登录的时候去验证手机号。

张凯(00:20:11): 顾客选取不可失去。

夜航星(00:20:18): 第7条预约员工请假休息，做不到！

张凯(00:20:21): 第四条。做不到他能有个开关不有个开关就是我店长，因为我店长有时候我人员会有些变动什么的。

夜航星(00:20:33): 开关。

张凯(00:20:39): 我能给他上架下架就跟商品一样。

夜航星(00:20:42): 员工管理这边。

张凯(00:20:46): 对我不需要太详细，他到底是休息还是请假，但是我要设置他能他上架和下架他状态。

夜航星(00:20:58): 我理解可以给他整个开关！

张凯(00:20:59): 对因为因为他这里有很多场景，一个是员工休息和请假了，第二个他就是可能员工离职了，后台没有及时去给他标记离职，导致门店显示他可以预约。

夜航星(00:21:13): 我这个加一个按钮？吼，然后第9条二次售前有别的方式吗？就是同样也可以体现你们售前的效率。

张凯(00:21:26): 第9条要难一点。我看一下顾客初次消费金额。

张凯(00:21:48): 就成为会员之前这个好理解，成为会员之前好理解授权意思。

夜航星(00:21:52): 目前只有售前售后两个标签。

张凯(00:22:01): 授权一次后顾客二次。

夜航星(00:22:05): 这不相当于复购吗？

张凯(00:22:06): 不行。复购诶，你这么一说他是通的小云你在线不，他是不是等于复购？

贺东群(00:22:17): 什么东西。

张凯(00:22:20): 授权2字是可以理解为复购吗？好像规则一模一样诶，我们我你敲你你你仔细推敲一下，看来。

贺东群(00:22:36): 你你再说一遍？

张凯(00:22:37): 我们授权2字的规则，无非就是他成为会员之后，他又不断消费低于1990的就全算进去。忽然某一次又达到了1990。那么这中间的都是三授权二次，再往后的就是售后？

张凯(00:23:01): 复购的逻辑是一样的？

夜航星(00:23:03): 就相当于就不考虑品相的复购嘛？

贺东群(00:23:08): 是一样的好像。

张凯(00:23:09): 这逻辑好像是一样的！

贺东群(00:23:13): 品相也是1999？

张凯(00:23:18): 我们复购的逻辑也是这样子，就是你成为会员，你就是你消费某一次达到了1990，就是理解为你成为会员之后，然后下一次又达到1999。

张凯(00:23:36): 多少钱20吧？

张凯(00:23:40): 但是他好像他有一点区别，他这个授权二次是我第二次到达到1990之前前面的什么500多1000多，好像都要累计进去，这个金额。

贺东群(00:23:52): 好累劲。

夜航星(00:23:54): 累计，但是你你你从这个指标它的作用角度去考虑，就累计你你去算那个累计也没啥问题。

张凯(00:24:07): 他这里要拿来给别人发提成。Shut. 

夜航星(00:24:12): 发提成。不要发提成！

张凯(00:24:19): 它跟复购有一点点区别，复购是节点，就是我成为会员之后我消费500多我不算复购，消费1000多不算复购。我后面又消费了1990以上就叫复购。这一笔是叫复购，然后寿险二次是指的是我这一前面的500多1000多，再加上这个1990，这三笔加起来是都统称为寿险二次的产生的业绩。不是。用你的逻辑就是成为会员之后到复购之前中间产生的业绩合计，这是第二次开发的业绩。

夜航星(00:25:08): 这里有个比较难的问题，这个时间跨度你们是怎么怎么弄的就是我一直要一直算算下去吗？无限时间的算下去。他就算他第一次成为会员之后，第5年才有了第二笔大于这个阈值的消费。

张凯(00:25:33): 我有时间规定吗？小琴？

贺东群(00:25:37): 什么。

张凯(00:25:39): 有时间规定吗？刚刚谢工说了，那我成为会员之后，我后面一直没消费，我5年之后。我又消费复购了，那算收钱，儿子不老。

贺东群(00:25:48): 什么在吗。

张凯(00:25:51): 5年之后也算的。那不是瞎地方扯淡吗？

夜航星(00:25:51): 你们只要就没意义了，这样子。

贺东群(00:25:56): 夜你你跟进回来也算你的本事嘛？

张凯(00:26:02): 那是算又算二算授权二次是吗？

贺东群(00:26:06): 不可能把它算成一次？你不管他有没有意义，对我们这个想法就是这个人在我们这里第一次消费，我们的新顾客，然后后面他不管多久，然后再来消费，那都是二次。

张凯(00:26:11): 我觉得没一眼。

张凯(00:26:28): 你这个时间不，比如说超过两年就不算了。

贺东群(00:26:34): 那你这样子不太好诶，那打个比方，比如说我是推广员，我今天我三年前带了一个顾客消费了5000然后是售前一次不对，那么我过了几年之后我再来消费了。直接开发了个5万，难道我算推广员一次。

张凯(00:26:58): 不送了，就售后了！

贺东群(00:27:01): 剥夺了人家的工资吗。

张凯(00:27:07): 少少了5000块钱工资是不？

夜航星(00:27:08): 是你们是要用于发给推广员的提成吗？我们很难判断一个顾客到底是哪个推广员？推广过来的？

张凯(00:27:20): 你店里自己去分配？

贺东群(00:27:20): 他有。

夜航星(00:27:23): 你自己去分配？

张凯(00:27:24): 有标记的他顾客绑定的时候不是有选地推写推荐人吗？

夜航星(00:27:32): 那个很不准。

张凯(00:27:35): 很不准吗？

夜航星(00:27:36): 用户那可能随便填一下你们手机号都随便填顾客这个随便填不很正常吗？

张凯(00:27:49): 这个店你自己去判断！

夜航星(00:27:54): 指标有点难受。

张凯(00:27:54): 弄成二次。

夜航星(00:28:03): 这个可不做标签，就是你要的时候再拉。做标签相当于要实时去计算，你每一笔订单结束都要去判断。

张凯(00:28:25): 每一笔订单结束都要去判断。

夜航星(00:28:36): 我判断符合条件再去会去更新这个标签。

张凯(00:28:41): 不止计算有点复杂了。

夜航星(00:28:45): 计算是计算有点复杂，一个是这个流程就变得不是很稳健。计算是计算有点复杂，一个是这个流程就变得不是很稳健，不做标签，做成类似这种事后统计的话。流程影响会小一点。

张凯(00:29:09): 事后统计。感觉对你的有影响吗？

贺东群(00:29:18): 没钱吗。

张凯(00:29:20): 谢工的意思我举个案例，比如说你导出的时候可以给你导出分配好每个单子，它到底是授权一次还是二次？你这个上面动态的标签就不打上去。

贺东群(00:29:34): 可以只要给我一个能提取名气的地方就行。

张凯(00:29:45): 比如说我们。

贺东群(00:29:47): For. 我自己也能搞，要给我提明细的地方。

夜航星(00:29:56): 送钱确实不是很想做。

张凯(00:30:01): 214。580589。共享一下屏幕。比如说我们界面订单管理这个界面不显示他。一是二是售后。

贺东群(00:30:26): 导出来没没有吗？

张凯(00:30:31): 这里不显示？

夜航星(00:30:32): 导出只有售前售后。

贺东群(00:30:37): 导出来没没有吗？不是没有二次吗？

张凯(00:30:38): 这里不显示导出也没有授权，这个是订单类，不是服务单类，我这里有。

夜航星(00:30:38): 没有。

贺东群(00:30:49): 但是售前售后的话，它没有区分，是美团还是不是美团好像？

张凯(00:30:57): 来源没有？

贺东群(00:30:59): But. 它那个来源后面有没有刚刚你找的那个笔记？我记不得了。

张凯(00:31:06): 来源没有导出来。

夜航星(00:31:07): 来源只跟顾客表有关系，跟表跟订单没有关系？

贺东群(00:31:14): 我记不得了。我们也需要在订单上面加一个。

贺东群(00:31:21): 顾客是从哪里来的？

夜航星(00:31:26): 这很重要吗？

张凯(00:31:38): 他就是想分开汇总，比如说我线上顾客产生了多少业绩，然后地推顾客产生了多少业绩，然后老顾客带新顾客的这批人产生了多少业绩，他是想把业绩在来源的维度进行做一些拆分。

张凯(00:31:56): 汇总。

夜航星(00:31:59): 在探索渠道的有效性，你探索渠道有效性，这个其实功能我们数据的入口有点弱，你后面去分析它肯定不是。

张凯(00:32:03): 对。

夜航星(00:32:15): 就分析结果不会那么好，你如果要分析，不要掺杂在别的东西里面分析，你就单独开一个地方。

张凯(00:32:27): 就单独在做个汇总！

贺东群(00:32:32): 在哪里做个汇总？

夜航星(00:32:33): 对。

张凯(00:32:37): 记过的意思就是不在那个，比如说不在订单明细导出里做这些东西，比如说我打个比方，比如说在数据中心给你做个汇总，你要的话，每个来源多少业绩。

贺东群(00:32:50): 可以选日期的那种最好了。还能提？

张凯(00:32:55): 我是举个案例哈，我是举个案例。

贺东群(00:32:56): 能提示实名制更好了，我们都不需要自己汇总？

夜航星(00:33:10): 就分析渠道这件事情就不要跟别的事情混在一起嘛。

夜航星(00:33:25): 就分析渠道这件事情就不要跟别的事情混在一起，我们这个渠道来源，这个数据录入功能本身有点弱。因为是客户那边填的。

贺东群(00:33:37): 他填了的话，也能做一个依据，他自己填的不是我们乱搞的？

夜航星(00:33:47): 就这数据的可靠性比较有待三区。

贺东群(00:33:55): 还是得不能让顾客选让店长选才对。

夜航星(00:34:03): 店长可以改的。可以改的，我觉得。

贺东群(00:34:09): 得不能让顾客选让店长选才对。可以改的话那还是可以的。

夜航星(00:34:15): 给编一起。可以改？

贺东群(00:34:31): 可以改的话，那就可以点这个标导出来有渠道。怎么知道。

夜航星(00:34:40): 要不数据中心那边再开一个吧，渠道你你你这要分析渠道就好好分析。

贺东群(00:34:48): 可以改的话，那就可以点这个标导出来有渠道。怎么知道可以。

张凯(00:34:58): 售前二次刚刚售前二次的怎么解决了？

夜航星(00:35:04): 送钱二次收钱二是客观的说就是你你们这个拉出来，他是要考察那考察推广就售前。

张凯(00:35:10): 售前二次刚刚售前二次的怎么解决了？

夜航星(00:35:21): 售前人人员的一个工作质量。

张凯(00:35:28): 也算是门店升单的一个能力？

夜航星(00:35:32): 对门门店的一个工作质量可以。

张凯(00:35:42): 要不。

夜航星(00:35:43): 考察门店这种指标很多，对我们门店多少一个倒无所谓？

张凯(00:35:50): 对。对要不小云刚刚谢工的意思能不能解决，就是订单这里不去做一些标签，但是你你比如说你要提取的时候就。因为你不会天天提取嘛，就你提取的时候给你打上这个标签。谢工你你前面是这个意思不？

夜航星(00:36:18): 提取的时候打上这个标签也不是很容易，因为他都得在每个每一行每条记录都得再算一遍。

张凯(00:36:33): 对。

贺东群(00:36:34): 可以提取，我还是直接在订单提取吗？

张凯(00:36:41): 要不你让店里自己填也不现实哈**店里填他妈乱填。

夜航星(00:36:46): 主主我想说主要这个指标，客观的讲没啥用。

贺东群(00:36:47): 可以提取，我还是直接在订单提取吗，的是。啥指标没用？

夜航星(00:36:59): 二次授权。

贺东群(00:37:02): 还是有用，如果没弄的话，那后面我们统计就比较麻烦了，因为以前我们系统上，至少还有店里面自己做的账，他可以选择售前二次，如果这里。选又不能选判断也没有，那我们要看授权2字咋看？

张凯(00:37:23): 我们以前我就是计算不出来，我就是在店里自己选的谢空。

夜航星(00:37:28): 你们这感觉就是指标可靠性不是指标，你们指标的用途就是有点乱。

夜航星(00:37:41): 是不是很可靠，客观来讲没啥用，从效益上分析。因为你你们推广员的那绑定是不可靠的。

贺东群(00:37:59): 是否原绑定，后面我们可以改，比如说他填的名字是错的，那我们可不可以去把它修正成我们正常员工的名字？

张凯(00:38:09): 不它不一定来源于绑定的时候填写的，它来源于谢工，它来源于服务营业额分配那里。

夜航星(00:38:16): 营业额分配？

贺东群(00:38:20): 考试啥来着。

张凯(00:38:20): 对有，比如说有些他授权二次，因为他提成点不一样，所以他要存在一个他分配的时候，他要选择那个推广员。比如说他售后，他一看到是售后，那我知道我就不用去分配了。

夜航星(00:38:41): 他影响到！

张凯(00:38:44): 对。

夜航星(00:38:46): 理解好。我看一下这个怎么解决你的需求我理解。

张凯(00:38:58): 对他是一次性的，他也不用他比你前面说的这个单完成之后就要判断他是哪一类，因为他会影响到后面店长还要不要选推广员。

夜航星(00:39:15): 我理解行。

夜航星(00:39:20): 行，这我来设计一下怎么弄吧，就反正可以把这个功能给你们实现了没事，那我们下一个。

张凯(00:39:25): 可能还要麻烦你一下。

夜航星(00:39:34): 第11条导出功能表头这表头有些字段我们没有！

张凯(00:39:44): 这表头是！
