夜航星(00:08:30): Hello hello 张总听到，那你们这边是数据中心会后有什么文件吗？

张凯(00:08:34): 听得到，听得到。
贺东群(00:13:54): 比如说那个沉睡人数，在这个这边能够看到是实时更新的，但是我这里我要看到总的沉睡人数有多少人，但是本月激活了几个人。从这边套取过来的话，那我当月激活的人数是正确的？它是包含在总的人数里面还是说单独拆分出来的。

夜航星(00:14:25): 甘愿。当月激活人数你要的是当月激活人数。

张凯(00:14:37): 单月激活人数，通俗理解就是沉睡的这些人中这个月又来了。

贺东群(00:14:45): 是这个意思。

张凯(00:14:48): 那你那小群那你要讲清楚一个点，程序人数截止到什么时间点是动态的，还是截止到每个月最后一天，还是说就是你要把分母标准说出来了。

贺东群(00:15:02): 那我思考一下会员注册人数的话是本月的，随时的动态，然后有效保有会员的话是。这个是动态的是前前3月？固定的那就截止上一个月吧！然后才能得出这个月有多少人？然后上月总的有截止上个月总的沉睡人数有多少，然后本月激活了几个人，这两个加起来，这个总的人数减掉，激活的就是剩余的没有激活的人数 OK 吗？

夜航星(00:15:54): 怎么让人送送个寄回来送。

贺东群(00:16:04): 还有一种方法就是比如说我们截止上月是500个没有激活，然后本月激活了10个，那我们可不可以就500个减减掉10个，这两个合起来等于500个，那我就得知道剩余还有490个没有激活，然后激活了有10个。

夜航星(00:16:32): 你当月激活人数得是从上个月沉睡人数里面捞出来？

贺东群(00:16:53): 冰冻人数也是一样的，休眠人数也跟沉睡人数是一个意思。

夜航星(00:16:59): 我想一下，跟当前已经做的有什么区别，但当前做是实时的，现在是要按月去划分。那前面两两个，前面两个会员注册人数和有效保有会员，这两个是要实时的还是按？

张凯(00:17:27): 保险的案例。

夜航星(00:17:38): 哪个时间去解？

贺东群(00:17:44): 哪一个。

张凯(00:17:44): 有效保有会员是指奥运会。

贺东群(00:17:50): 请有效保有会员是前三个月有到店一次的人数。

张凯(00:17:59): 它是以整月来计算的吧，比如说你3月你4月统计的时候应该统计123月的就不就没有按到天嘛。

贺东群(00:18:01): 是这样子的，前三个月的。

张凯(00:18:14): 那这里规则一样吧。这里。

贺东群(00:18:16): 哪里。这里不就是前三个月有到店的人数吗？一次？

张凯(00:18:26): 比如说我4月筛选日期是4月5号它跳出来的也是123月的筛选日期是4月17号它跳出来也是123月的这样子吗？

贺东群(00:18:34): 是这样的。

张凯(00:18:42): 上面筛不筛选它都是以月份来计算，如果我选择日期是2月5号的，那他可能跳出来的数据就是。

张凯(00:18:55): 11月12月和1月这三个月里面至少到店一次的是这个意思？

夜航星(00:19:04): 等等，那不是跟你们上面筛选案时间筛选案有矛盾吗？

张凯(00:19:14): 因为他规则他就决定了他跟那个时间好像没多大关系。

夜航星(00:19:26): 相当于这个是个一个月里面他是死的数据。

张凯(00:19:34): 对。

夜航星(00:19:37): 一个月死的数据。我定时给你发个报告不就好了吗？

贺东群(00:19:50): 不是他这个上面的那个有效保有会员，他是死的数据，但是下面的有当月一次人数，当月二次人数，这个是活的，这个是实时更新的，他就是要看总的前三个月到了多少人，然后到现在这个月一次到店有多少人，然后二次到店有多少人，然后他再去分析。

夜航星(00:20:02): 我知道。

夜航星(00:20:22): 我在想，我们这个页面能不能简化一下就是死的数据，就别的方式去处理！

贺东群(00:20:33): 不太行，这都是他们要看的，然后你你反正这些数据都是他们需要看的，怎么简化？

夜航星(00:20:34): 不太行吗。你们这个模块是给谁看来？

贺东群(00:20:49): 上至老板，下至员工。

夜航星(00:20:53): 不是权限那边怎么分赞看！

张凯(00:21:00): 之前这边比如说这里有门店，有市场区域，有集团就是我给他分到哪个部门，他就只能看哪个单位。

夜航星(00:21:11): 对这个层级可以角色？

张凯(00:21:16): 角色从？从店长到总监了，到老板了。所有业务部的？

夜航星(00:21:29): 我没有业务部。

张凯(00:21:32): 没有这是所有业务部？

夜航星(00:21:33): 那时候。所有业务部。

张凯(00:21:37): 所有的店长。

夜航星(00:21:42): 我到时候这个权限分给，就是每个层级总。

张凯(00:21:48): 对 P. 财务那边也要诶？

夜航星(00:21:50): 那个财务那边不用？你要你说一句说完嘛，等我哪天要嘛？

张凯(00:22:00): 哼，就是除了基层员工，不要基层员工是不要小琴。

贺东群(00:22:12): 按道理来讲，如果说后期我们员工分配了顾客，比如说我给这个美容师分配了50个顾客，那我美容师我也想看到我的注册人数有多少，我的那个前三个月我的顾客。

张凯(00:22:13): 美容师不需要吧？

张凯(00:22:28): 他不现实的。那不现实的。

夜航星(00:22:29): 这搞不了。

贺东群(00:22:31): 后期如果说要统计美容师的客户，我们从哪里得？

张凯(00:22:37): 那只能店长带着他们自己去算去，那不现实的，因为我们现有的权限划分是跟单位有关的，比如说哪个店，哪个市场还是管哪几个市场，你不能说去细到了门店里面的顾客，这个东西它不属于层级了。

贺东群(00:22:54): 那就没办法了，让店长他们自己算，可能也不太现实，最后还是累到我们部门。

张凯(00:23:04): 不是你就直接重点讲哪些人看就是店长，然后店长的行政经理了，行政经理。

贺东群(00:23:14): 不是店长，行政经理，区域经理，然后总监，然后运营总监他也要看的嘛，运营总监他要看行政总监，他需要看吗？

张凯(00:23:22): 当然都是总监了。

贺东群(00:23:28): 那就是总监层都看了，然后再是老板看了，然后再是我们财智部的看了。

张凯(00:23:36): 对没了。

夜航星(00:23:40): 那就除了员工都都有权限吧！经人说大美。

张凯(00:24:27): 我觉得主要已经过了我们最极限。

夜航星(00:24:43): 那我们接着往下看。

张凯(00:24:46): 小群你接着讲吧！

贺东群(00:24:49): 等一下我每一个都要讲吗？

夜航星(00:24:56): 先要不先讲一下明细区吧！我们整体过一下先。

贺东群(00:25:04): 明细区数据明细区按市场这个统计，然后就是前面就是每一个市场是属于哪个市场的嘛，如果是以集团的角色去看的话，他是肯定就会看到好多个市场，如果然后这里就会出现市场，然后会员注册人数的话就是总的。

贺东群(00:25:27): 总的这个店的会员人数有效保有人数就是三个月前三个月的，然后一次到店的，其实就是上面的那个上面的大板块，然后下面有具体的分市场，然后再下面就是分门店这样去汇总。在下面有一个会员经营人数的细分化，按档，按他的消费档位来的。

张凯(00:26:06): 这里。

贺东群(00:26:07): 对。消费小于1990的有多少，但是统计的人数都是以会员顾客的基础，就是消达到了会员级别的人数的档位。然后它的金额是累计的，比如说现在是4月，那我们统计的就是他筛选的日期，如果是本月的，那就是本月的这个层级，如果是筛选的。一年的话，那就是一年的层级。

夜航星(00:26:49): 他还是按时间周期去截吗？不是实时的。

贺东群(00:26:54): 按时间周期实时的把是？他只要筛选这个日期，然后我们门店做了单，他就能实时更新这个层级，截止到现在，每一个档位的人数有多少个人？

张凯(00:27:11): 不是谢工问的你是根据时间变的？

贺东群(00:27:19): 根据时间变的。

张凯(00:27:19): 比如说。比如说你选3月1号到3月31号，那么统计是今年的各个档位这个3月1号到3月31号的档位？

贺东群(00:27:31): 3月到31号。

张凯(00:27:34): 如果是3月1号到3月31号没有人消费，那是不是都是零，是这个意思？

贺东群(00:27:38): 是我可以看月的，我也可以看今年的我也可以看去年的根据我筛选的时间来。

张凯(00:27:45): 那就简化一下。不要什么累，累了就是周期内的累计。

贺东群(00:27:55): 不行，你怎么又把它搞掉了，等一下他们又分不清了。

张凯(00:28:02): 看金额就好了，是不是这样子？

贺东群(00:28:03): 还行吧。是这个意思吗？

张凯(00:28:07): 选择周期内的累计消费额？

贺东群(00:28:11): 但是会员人数，那种流量课是不统计在内的。

夜航星(00:28:20): 历史是历史累计？

贺东群(00:28:23): 累计的。

张凯(00:28:26): 不是历史累计是周期是选择时间内的累计合计！

夜航星(00:28:31): 不是你不统计流量课那小于1990干啥有啥用？

贺东群(00:28:38): 我要比如说我现在消费了。1990我成为了我们公司的会员，我之后的消费。

夜航星(00:28:43): 我知道，我理解了，那实时的话，那不是跟上面一块一块的卡片？这不一样了吗？

贺东群(00:28:58): 有个会员经营人数，它不就是实时的吗？

夜航星(00:29:01): 会员经营人数。

贺东群(00:29:03): 第二排的。这里是总的人数，然后下面的话就是分了消费金额的人数。

夜航星(00:29:26): 张总全算出来，这加载会很慢的。

张凯(00:29:31): 现在怎么办？

夜航星(00:29:32): 肯定这么多计算。

张凯(00:29:51): 他放到什么分析师那里面去的话，小程序能跳转过去看吗？

夜航星(00:29:59): 小程序跳转小小程序是好像是不允许跳转外链的，但是可以放在一个你你们有什么公众号，什么地方就是相当于找个地方放一下链接嘛。可以放在你们公众号或者小程序我看看一下能不能跳转哈，跳转外链。

夜航星(00:31:04): 小程序跳转是跳转不了？

张凯(00:31:13): 发展不了。到时候放在外部端也会很卡？

夜航星(00:31:22): 放到外部端也会很卡，但会稍微好一点点。你你你这种数据结构，你小程序上展示你也看不清这么多。

张凯(00:31:45): 看不清看什么排版，因为我们只是给它全部放到一张页面里面，你可以分页面？

夜航星(00:31:51): 分页面。

夜航星(00:32:10): 那现在是给的是外部，就是外部端的顶数据那个板块？

张凯(00:32:18): 对。

张凯(00:32:44): 然后外部端的计算速度它是跟服务器挂钩吗？

夜航星(00:32:48): 是的。

张凯(00:32:50): 用服务器网络。因为我们的服务器目前。要升级。

夜航星(00:32:58): 这倒也不是服务器升级，因为我们有很多那种统计类的统统计类的，它就再快它都有个基本时间。

夜航星(00:33:15): 我们之前那个复购率测过了就完全就不考虑前端的那种渲染，就是光光一个数据聚合要23秒。整体的一个聚合，是之前算过的。

张凯(00:33:36): 放在外部端的话，不大家不会很频繁的去更新的。你说老板在那看他也不可能天天一直在那刷新了，他是因为这种数据主要是我们拿来开会，这种情况的时候去讨论的。然后平常大家就会看一下嘛，看一下这个进度。

夜航星(00:34:29): 之前有部分现在顾客那边是有的，有部分数据。不可管理。

张凯(00:34:43): 对像沉睡人数几个？这几个是那里有，然后1424也有，然后有效会员数那里也有。

夜航星(00:35:18): 本周今日本月今年。

夜航星(00:36:03): 那我们先过我会再仔细看看，因为你你这些数据它其实是就可能还可以在排版上可以再优化。

夜航星(00:36:20): 我以前也是学学财务的，我这块还是可以理解的。

张凯(00:36:20): 对拍。排版你到时候看怎么排，因为为了给它，并到一页去给你同步这个信息，所以就给它并到一块儿了。

夜航星(00:36:28): 我们先再往下过，然后会后你这个表发给我再看一看。

张凯(00:36:42): 然后客量第一个板块就是客量板块了，就关于顾客的，然后第二个就是关于销售板块就是业绩了，业绩。

贺东群(00:36:49): 等一下上面还有一个我看一下就是消费层级，这里有一个流量客人数，前面我们不是统计的都是会员客吗？只有这里是没有成为会员的人数，这里有一个。还有流量人次，这里也有一个是就是没有成为我们会员，但是有来我们店里面护理的人数以及他的人次，这个你没有不理解，我先讲一下。

张凯(00:37:25): 这里其实有一个问题，小群比如说这个档位，这里你是说只统计会员的消费合计是不是？

贺东群(00:37:25): 我先知道。

张凯(00:37:40): 那我就有个问题了，你别说谢过了，我都有一个问题，那这个会员是以什么时间点来判断，比如说你筛选的是3月1号到3月31号。你是指的3月1号就已经成为会员之后，然后他在这个时间段的消费还是指3月1号到3月31号，比如说3月20号那个顾客成为会员了，中间成为会员的人也要并进来嘞。

贺东群(00:38:05): 的是什么的是，不管他啥时候成为会员，他只要成为会员了，然后他后面的消费就统计前面的消费就不统计。

张凯(00:38:18): 你这还复杂一点。

贺东群(00:38:20): 丹丹怎么简化嘛？

张凯(00:38:23): 我理解的简化就是要么你以以某一个时间点，比如说你筛选的是3月1号到3月31号，那么就是3月31号之前成为会员的他是会捞出一个人数来，然后去求和这些去这些人数在1号到31号的消费合计就好了。

贺东群(00:38:43): 我明白你的意思了，那就是按月来，但是这里也是正常的，按月因为它有一个新增人数，比如说我们的这个统计会员，它截止。截止日期截止上一个月会员是哪一些人数，然后在这一个月单笔消费1900的话，它就会成为新增会员人数，它就会归类到这里来。你明白我意思吗？

张凯(00:39:14): 不太明白。

贺东群(00:39:16): 比如说3月份以前哪些成为了会员，是不是已经是固定的数据了，那这一些人他消费的这个层级就在前面的分档位来，然后在4月份新新进入的会员人数，他的这个人数就在新增会员人数里面。

贺东群(00:39:44): 前面的3月以前的会员被经营总人数，后面加一个是本月新增人数。

张凯(00:39:54): 那你就有一个规则，你是以筛选开始时间之前的标签来求和前面的档位是，比如说你筛选了3月1号到3月31号，那么就是3月1号之前成为会员的消费。

张凯(00:40:12): 就给他们在1号到31号这个消费求和这个档位就这个意思？

贺东群(00:40:16): 一般这个档位的话，我们都是不会去统计，不怎么统计，一个月基本上都是按年来的。但是为了以防万一，怕他们看想看一个月的，那就可以保留下月份的嘛，但是基本上的话还是以年的为主。

贺东群(00:40:53): 可以继续讲下一个。

夜航星(00:40:55): 先讲吧。

张凯(00:40:59): 第二个板块就是销售板块了，就是业绩消耗，新增业绩，新增客业绩流量的业绩。然后电均值，这是业绩除以面积除以门店数，这里有个门店数，员工数下面也是一个明细区。

夜航星(00:41:28): 张总，你有没有觉得你你这些页面跟我们分析师的几乎一模一样很像。

张凯(00:41:41): 是一模一样！

夜航星(00:41:43): 你们为啥不考虑放到分析师？

张凯(00:41:47): 你分析师好麻烦，人家还得再去跳转一下，分析师也要分析师的数据，我也做了分析师要的哪些数据我也做了。

夜航星(00:42:01): 我现在是有个问题，你之前你这么多数据小程序上排版是排不开的。

张凯(00:42:09): 你可以放2级页面，比如说明细你你不一定非得放到它一块。

夜航星(00:42:26): 你明细怎么说？

张凯(00:42:29): 你不用非得给它放在一页里面去。你可以根据你，你可以根据实际情况来排版。

夜航星(00:42:32): 对？像表单它横竖都有它横竖跨度都不小，那小门市上面就是放不放摆不开的。

张凯(00:42:53): 你说手机吗？

夜航星(00:42:54): 对。

张凯(00:42:58): 你说这个表拉太长了！

夜航星(00:43:01): 对。

张凯(00:43:04): 表达太爽了！

夜航星(00:43:09): 很少见到哪个小程序放这种长长表！

张凯(00:43:20): 也是小徐你这个表太长了，你要考虑一下实际情况。

贺东群(00:43:24): 这些东西就是要看！

张凯(00:43:28): 那拆分掉嘛？

贺东群(00:43:31): 拆分掉。

张凯(00:43:32): 把同类别的分开吧！

夜航星(00:43:35): 我们能不能精选一些放到小程序，就比如我们财务数据也不是它虽然那么多指标，也不是每个指标都那么重要。

贺东群(00:43:47): 等级收入年。思考一下。

张凯(00:43:55): 比如说你把这个业绩放一个板块消耗放一个板块，你为什么非要并到一张表去？

贺东群(00:44:01): 因为也可以分开，也没有说非要并到一起，那排版是随意的，我只是把我想要的数据搞出来。

夜航星(00:44:19): 像这种宽表在网页上是可以摆得开的对手机上摆不开，然后手机上也很少见到。

张凯(00:44:23): 手机上摆不开。

贺东群(00:44:34): 那就让他们电脑看，他们都有电脑的嘛！他们开会的时候基本上都是在用电脑用用。

夜航星(00:44:45): 你你开会的时候把分析师页面调出来就好了。是不是很有道理？

夜航星(00:45:12): 我截个图给你看一下，分析师基本就是吻合的那种情况。

张凯(00:45:12): 我想问一下。我想问一下 web 端 web 小手机小程序端可以比 web 端内容少一点，它俩不一定要一模一样。

夜航星(00:45:28): 对。

夜航星(00:45:33): 你小程序肯定是会更精简。

张凯(00:45:36): 对小程序。

张凯(00:46:01): 我觉得小程序可以精简很多小群。

贺东群(00:46:06): 我想的话就是要不然就是这样子，小程序的话就放放上面的这种大框框。然后至于他们要看具体的话，我觉得每个市场都有电脑的，他可以让他们的市场后期的财务主管去把这个明细给他们弄出来也行。你感觉。

张凯(00:46:37): 那我们就先讨论外部端，那个小程序端，比如说可能要减掉很多东西，但是内容一样，就是可能要剪一些东西。

夜航星(00:46:54): 对小程序是看最重要的指标吧！

张凯(00:47:02): 反正也是从这里面挑。

张凯(00:47:11): 那我再讲第三个板块了，第三个板块就是关于员工的，比如说员工数量，然后店长人均员工数？

夜航星(00:47:13): 好。

张凯(00:47:24): 店长收入没有要。员工的人均总业绩，什么叫人均总业绩，你这个写的？

贺东群(00:47:37): 美容师的君子。

张凯(00:47:42): 人均业绩人均嘛，怎么有人均总业绩？

贺东群(00:47:44): 拜拜。那我把总删掉？人均业绩，人均10号人均收入 OK。

张凯(00:48:00): 人均会员量人均项目数，这里就是店长以区域汇总，比如自贡区域店长人数，店长收入没有？

贺东群(00:48:15): 我知道没有当时讨论的时候不是说了，然后就写上去了。

张凯(00:48:22): 没有就删掉了，技师数员工数量了，美容师和养生师的数量了，技师人均业绩。

贺东群(00:48:23): 行。

张凯(00:48:37): 是美食号。人均会员量。然后下面是各个门店的排名，当然也是看排版怎么排？

贺东群(00:48:49): 手机上可以显示排名。排名我觉得是手机上是可以看的！他就能实时看到每一个板块的排名，他不需要像在电脑上这样排，他就一直往下排，他想看哪个就看哪个。

张凯(00:49:19): 你要问谢工？这都是一些挺简单的数据比比前面那个课量那个简单多了，就是求和，全是求和。

夜航星(00:49:32): 你这门店排行榜你这是他权限是怎么样？

张凯(00:49:41): 权限也是店长就看看自己门店的来，然后总监就看他整个区域，每个每每个门店的来。

夜航星(00:49:46): 店长就一行。如果是集团，那就是一堆了门店的话一行？

张凯(00:50:04): 小群店长能看到其他门店的那个吗？

贺东群(00:50:15): 按道理是不可以的，他只能看到自己店里面这几个人的排名谁第一，谁第二区域就可以看到他负责的区域，然后总监才能看到全部。

张凯(00:50:16): 不可以！

张凯(00:50:29): 不是我是说门店排名榜的话，如果是店长的话，他就只能看到自己这一行。

贺东群(00:50:35): 怎么会只有一行，他不是好几门店是这样子。

张凯(00:50:38): 对。总监就是看到自己区域所有门店的排名？

贺东群(00:50:44): 是那门店的话，如果只是单独的一家店的话，他可以不用看，或者他可以看到他的门店总业绩，然后他的排名那个排名就可以以比如说他在市场排第10名，他的排名就写10。可以。

张凯(00:51:07): 看到他自己就行了嘛，意思。

夜航星(00:51:20): 上面那个技师是什么概念，它包含了美容师还有别的吗？

贺东群(00:51:29): 美容师加养生师。

张凯(00:51:29): 那包含了美容师和养生师这两个？

夜航星(00:51:34): 管理技师是什么概念？

张凯(00:51:38): 管理技术他这个店里有几个人。他管了几个人？

贺东群(00:51:38): 管你。

张凯(00:51:46): 你站在管理技师人数？

夜航星(00:51:50): OK 翻译一下就是技师人数！

张凯(00:51:55): 对。

夜航星(00:51:58): 那我再看看完了，最后再讨论吧。

张凯(00:52:04): 然后这个是门店总数据排名吧，然后员工的数据排名也是很简单的求和，比如他的业绩是根据销售单来求和了，10号就根据服务单来求和了。项目数也是根据服务单求和收入就是汇总一下收入，然后最后一个板块比较多，最后一个板块。

张凯(00:52:30): 影像板块。因为我们对品相它有属性要划分审美，然后科美。这里有个问题，小群招牌王牌明星有类别吗？我看一下。

夜航星(00:52:59): 招牌网络很明显。

张凯(00:53:00): 商品管理里面。

贺东群(00:53:05): 这表头字段里面不就有吗？

张凯(00:53:08): 我看一下商品管理里面。

贺东群(00:53:09): 但是我们的系统上面没有诶。

张凯(00:53:20): 这里是有生美和非生美招牌在哪里？

贺东群(00:53:31): 没有跟你讲了吗？不是，但是他们就是有一种业务说法，就是这是属于招牌的，这些是属于王牌的，这些是属于明星的，就这样子吧。然后他要让我们统计出来，按照这三个分类来，其这个生美板块就是招牌，然后王牌板块就是我看一下是什么王牌板块是。什么安吉利功能养生，然后功能灸美在东方，你看我刚刚那个链接表里面有一个品相归类，你点进去看，你就晓得哪些是哪些了。

张凯(00:54:05): 一下吧。

张凯(00:54:16): 老师在这里面归类吗？你你看我这个网页。

贺东群(00:54:18): 护理项目对这些反正都是到时候要弄一个分类就是之前我弄的1级品相，2级品相。

贺东群(00:54:33): 前面还有一个分类。这是我们现在用的吗？

张凯(00:54:40): 不是你的护理介于这个标题护理项目下面，然后这个具体的比较上面还有一个分类，那不？

贺东群(00:54:47): 不是。你点开那个刚刚链接表那个表，然后品相归类对他是这么分的。

张凯(00:54:56): 不要。

张凯(00:55:09): 啥玩意儿家具？

贺东群(00:55:13): 明星就是那其他几个，然后王牌就是中间几个？

张凯(00:55:19): 这个有了我们一个过吧，这个经营类型有了我给他标一下，比如这个经营类型，我们11对应嘛，经营类型就是那个。商品管理里面的不是？这个东西就是否生美这个选项？

贺东群(00:55:46): 车没什么意思！

张凯(00:55:47): 他们就是飞升美？

贺东群(00:55:49): 那你就写飞升美楼还科美，你还以为搞的是科研美？

张凯(00:55:55): 你用习惯了就好了，这一类有了然后项目名称也有了，这就不用说了，然后应急品相也有了。Ed 品相就是这里筛选的时候会有护理项目就是什么曼之语，蜜语生机，东华神灸新生态也按品牌分的嘛？

贺东群(00:56:17): 这个品牌后面要改好多都没用，都不是我们现在的需求了。

张凯(00:56:25): 这个是之前的旧数据库了，你不用管对这是旧数据库，那这一类有了现在1级品相有了嘛，这个品相2级品相不需要了，反正。

贺东群(00:56:28): 为什么不需要他们要按照这些来分类统计？

张凯(00:56:43): 怎么按分类团？

贺东群(00:56:46): 什么招牌，它还要分是面部身体？

张凯(00:56:51): 这两个分类在哪体现嘞？

贺东群(00:56:53): 我不知道，那是他们要这个。Me. 你如果你不弄出来的话，那我们的那个品相数据选项，他想要看到王牌的持卡人数，你怎么得到这个王牌的持卡人数？

张凯(00:56:56): 能合并掉不？

夜航星(00:57:09): 把王牌这些王牌招牌就变成那边的1级嘛？

张凯(00:57:18): 把变成1级。

贺东群(00:57:19): 是说我们很想。

夜航星(00:57:20): 对这里，然后这里表格这里的1级变2级。

张凯(00:57:27): 这里变2级，那对应这里的哪里？

夜航星(00:57:28): 因为。

贺东群(00:57:30): 这个老员工他们的。

夜航星(00:57:35): 因为表格那边1级品相跟我们现在品相分类的2级是基本上是好像是同个概念。

贺东群(00:57:38): 后面跟王者说去座位叫我们说。

张凯(00:57:43): 同一个概念。

夜航星(00:57:45): 那这边的1级跟那边2级先对应上。

张凯(00:57:50): 这个1级品类和到时候我们修改一下这个里面的细节是。

贺东群(00:57:53): 老人帮忙送我给你那里的顾客他们复购的情况。

夜航星(00:57:57): 那个1级给它扩充一下就好了。

张凯(00:58:07): 1级扩充一下，把哪个1级扩充？

夜航星(00:58:07): 我现在1级不是有护理项目，然后还有家居产品吗？

贺东群(00:58:11): 招聘也有可以电话。

夜航星(00:58:14): 让他护理项目给他扩充开就。

张凯(00:58:18): 护理项目还能扩充开？

夜航星(00:58:20): 就护理项目一个护理项目变成把它拆开，拆成王牌招牌什么的。

张凯(00:58:30): 你那就还要在下面加一层几楼意思？

夜航星(00:58:34): 不加只是同个层级把那些放进来。

张凯(00:58:39): 同一个层级把放进来，比如说护理项目杠招牌。

夜航星(00:58:47): 或者你直接招牌就可以了，就你们自己都知道的？

张凯(00:58:47): 护理项目杠王牌意思吗？那这个不影响，那会影响他那个小程序那个选筛选吧招牌那这个定好了，我觉得没必要再去变它吧，因为这个小程序。

张凯(00:59:20): 这里拆分多了，到时候小程序和用户端和顾客员工端和顾客端排版又变了。

夜航星(00:59:30): 这只会影响员工端的排版。不会影响客户端排版，你们说是按三层管理去弄的？

张凯(00:59:35): 智慧。对那要去调整员工，我觉得没必要。

夜航星(00:59:47): 你们是只对初始化的时候弄一版，后面又不用再变它，这要变吗？金蝉？

张凯(00:59:57): 不变都是定好的东西。因为在这里去。

夜航星(01:00:08): 就相当于我就相当于把护理项目改成拆分成招牌王牌就好了。

张凯(01:00:19): 护理项目改成招牌王牌。然后。

夜航星(01:00:21): 对。

贺东群(01:00:23): 是招牌王牌明星是三个。

夜航星(01:00:25): 对是因为你们护理项目本身也比较多嘛，给它拆开也没啥问题。

张凯(01:00:27): 护理项目那体验卡是什么东西，体验卡，你这种猜我感觉结构比较硬。

贺东群(01:00:40): M 卡就是六八卡？

张凯(01:00:45): 不行，家居产品也这么拆吗？

贺东群(01:00:49): 家居产品你这有单独的家居产品就不需要再弄了！那家具不是单独的吗？

张凯(01:00:55): 这里有家居？

贺东群(01:01:02): 就需要一个招牌王牌明星？

张凯(01:01:09): 护理项目拆分开招牌王牌明星。这些个都不变。

夜航星(01:01:12): 对相当于四个变成7个。

张凯(01:01:22): 07个就放到？

夜航星(01:01:28): 这2级放在那边的2级。

张凯(01:01:30): 就放到这里的后面这一集来。

夜航星(01:01:32): 对。

张凯(01:01:35): 这个2级评价就是细分的，相当于细分的。

夜航星(01:01:49): 你们是要多加1级还是放到商品的属性里面？

张凯(01:01:56): 它是属于商品属性的商品属性在哪里有？

夜航星(01:02:00): 那翻到三遍是吗？像什么产品类型，这都属于商品属性，你像不对，不是这是品相要退一下，点个详情。

张凯(01:02:14): 我点是详情进去的。

夜航星(01:02:20): 对那对像什么我这些价格什么都属于商品的属性，就是家长这边。

张凯(01:02:31): 对，那就只能再加一类了。

夜航星(01:02:37): 你们这后面还要对这一层级进行统计。

贺东群(01:02:46): 是的，他比如说招牌，他想看面部有多少身体有多少。

张凯(01:02:46): 比如他看数据的时候，他们会去看，比如说这个功能就里面香勺系列是多少，维乐系列是多少？基本系列是多少，因为它对应不同的功能。

夜航星(01:03:04): 那这页往下还有别的东西吗？

张凯(01:03:20): 往下吗？没有这些。

夜航星(01:03:22): 那我们再接着看吧！先看完了再说。

张凯(01:03:25): 然后这下面就是最后一个板块就是景象板块了，因为这里好像又涉及到刚刚那个分类。

张凯(01:03:41): 比如说持卡人数，上次发标签给你，你说没理解的就是持卡人数。

夜航星(01:03:53): 存卡人数他有品项的疗程卡。

张凯(01:04:00): 对。

夜航星(01:04:02): 好。

