张凯(00:00:01): 群里面吗。
张凯(00:08:25): 因为这一部分是没收钱的，那假如顾客以后他也要退款，那么退款的话，对于顾客来说，他是我不管你什么新系统老系统，反正我以前付了钱嘛，那我要给顾客退钱，那我同时是不是要我要在新的系统上就是新的数据库里面把这个次次数给扣减掉？

刘大印(00:08:27): 百之前！对。对。

张凯(00:08:48): 我们现在就需要动作。

刘大印(00:08:53): 我明白，因为要转系统，所以要从之前的里面系统转过来以后我们要再给他有一个退款的功能。

张凯(00:09:02): 然后谢工表达的就是我们正常在新系统开单的收款的，退款的这个流程是闭环的嘛，但是我们这个初始化的是因为没有收款，后面就不能产生退款。

刘大印(00:09:19): 对。

张凯(00:09:20): 我不知道我表达，可以问一下谢总。

邵冬(00:09:22): 我大致也听懂了，那我有个问题就是我不能，我系统里不能退款，那我退款怎么做？

张凯(00:09:34): 对。

刘大印(00:09:34): 对如果功能上做不了这一点，因为他是之前是不是之前的那个账户？

张凯(00:09:38): There. 对，因为你没有收款的步骤，你只是导入历史数据。

邵冬(00:09:45): 那我能不能让店长，比如说碰到这样的问题的时候，我做个让店长做个0元的什么什么交易，或者说线下收款的一个。比如说他线下收款，比如说要多少我就退。

夜航星(00:10:03): 这里有两个方案了，一个方案就是彻底给他改掉，可以让他退款。另一个方案就是我这里写的就是按正常的。疗程卡的服务单的方式给他走掉，然后在备注里面说明一下。

刘大印(00:10:22): 备注是啥意思，就线下给他退款吗，中。

张凯(00:10:25): 不是就相当于对线下式推广，我们都是线下推广就是谢工表达意思就是我们跟其他单一样，我就开个服务单给你划掉。

夜航星(00:10:26): 对线下退款，这个退款只能线下退款。

刘大印(00:10:29): 我懂你的，就是把数据给他改了，然后通过钱另外的方式线下的就给他就行了。

张凯(00:10:37): 对我的理解是退款的行为会，如果按谢工的这种操作方式会跟我其他正常的服务单会混混在一起。

刘大印(00:10:54): 你是希望它是不一样的，在后后台能够查到。

张凯(00:11:00): 因为我希望他退款，他说退款嘛，我不希望退款，还要通过正常服务假装服务掉了，给他划卡划掉。

刘大印(00:11:08): 那能不能对于这种的话，我们给他写一个备注？

张凯(00:11:14): 因为我希望他退款，他说退款嘛，我不希望退款还要通过正常服务假装服务掉了，给他划卡划掉。对，就是谢工表的就是写备注嘛。

刘大印(00:11:18): 写备注的时候你查询到这一这几单就是之前的可以不这种方式你觉得能接受吗？

张凯(00:11:26): 但是写备注就是有一个点写备注他开了服务单之后，服务单是可以给员工分配业绩的分配服务业绩的服务提成。

刘大印(00:11:37): 你的。

张凯(00:11:38): 我还得安排人去检查这个单是我去看一下备注，这个是就是退款，这个不是服务，这个单不能分配提成，就是我觉得挺麻烦。

刘大印(00:11:49): 你们会觉得又增加人力成本或者怎么样去核对？

张凯(00:11:56): 就对就担心店长作弊嘛！

夜航星(00:11:57): 那店长分给员工分配提成他有啥好处吗？

张凯(00:12:05): 他没好处，他团队他更好管，我有时候想给自己团队谋点福利。

邵冬(00:12:09): 拍点马屁，那我觉得这个东西我就不就按这个方式做，因为你你这个交接的过程也不会太，也不会一直持续下去的，你总会慢慢的把老系统的东西都交接掉的。

夜航星(00:12:11): 那店长分给员工分配提成他有啥好处吗？

张凯(00:12:28): 会很多，初始化。

邵冬(00:12:34): 你出账很多，如果说真不行的话，能不能就是我把输入法数据放进去，有没有机会就是说我现在收的这些东西，客户的数据我能放进去吗？放到从老系统放回新系统吗？有？

夜航星(00:12:41): 把什么数据放进去？寄存单本身就是把老系统的数据放回新系统。

张凯(00:12:57): 对他寄存单的目的就是把老系统的数据初始化，一次性录进去！现在录进去之后，万一以后要退款了，扣减的动作怎么实现？

刘大印(00:13:10): 我觉得无论我们怎么做，你他都是可以作弊的，于这一块儿，因为他就是跟其他的不一样。

张凯(00:13:16): 现在就是录进去之后，万一以后要退款了，扣减的动作怎么实现？我说一下我的想法，看看能不能实现。

张凯(00:13:22): 我们也不用把它什么设置成很麻烦的流程，比如说能不能设置一个直接让管理员来操作的，直接就比如说录个单进去给它减掉就好了，让管理员操作。

夜航星(00:13:35): 你可以减，他也可以加作弊空间更大了。

张凯(00:13:40): 没有可以减，因为我线下要退钱，我退了钱我就同步这个动作，我把它把在系统上减掉。

邵冬(00:13:49): 管理员是哪些人，你那反正你把财务管好就行了，就某某些人有这个权限了。

张凯(00:13:51): 财务嘛。检查一下这个顾客退的钱，你要去系统上把这个次数给他扣掉。

刘大印(00:14:00): 因为我们查到他是之前从寄存单里转过来的，所以这部分的管理他的减的权限只能交给管理员，是不是可以这么理解？

张凯(00:14:14): 检查一下这个顾客退的钱，你要去系统上把这个次数给他扣掉，对我就发个通知，7月1号之前的以后产生的退款全部做，就是管理员自己来操作给他新给他在新数据库里面给他划掉，扣掉。

夜航星(00:14:31): 这又涉及到权限问题，技能单它在不同的位置本身有一套权限，它不仅是管理员有这个权限，就是它还有别的角色有这个权限，你这样子就。

张凯(00:14:37): 他是录入嘛？他录入是店长有权限吗？

夜航星(00:14:52): 这会引出很多分支，一个是权限问题，另一个是他可能管理员在操作的时候，用户恰巧也在他拿金融单去创建服务单，也有这种情况。会有那种边界问题，连接问题不好处理。

张凯(00:15:09): 那你拿畅天服打我！创建服务单。

夜航星(00:15:19): 对。因为我们这是一个动态的系统，它不是表格上的一个死数据，所以就它考虑的东西需要多一点。

张凯(00:15:27): 你偏向于专业一点的我可能不太理解。

夜航星(00:15:39): 就是像前面就你你红色这块提到的，那我觉得没啥问题，我给你改了，就是就有问题的，我觉得确实就它就改起来，可能会影响系统的稳健性。

邵冬(00:15:53): 我觉得这个还是要充分相信那个谢婷的，因为有些东西你你你不需要太动脑子，他说不可以，你就真的当中就不可以就可以了。

张凯(00:16:05): 我没有不相信，我说就这样显得很奇怪，因为这是一个退款的动作，然后我们还要通过正常服务的流程去给它减掉。

邵冬(00:16:20): 没有别的方法。

夜航星(00:16:20): 这相当于特殊情况特殊处理，我是觉得现在就按照正常流程给他走掉，备注里面说明这可能。比较好的！你说。

张凯(00:16:37): 但是还有一个问题，谢工，你没考虑到，就是如果他走了服务单之后，后面我们的演绎数据，比如说我们管理端他不是汇总了很多数据。

夜航星(00:16:48): 比较好的！你说。

张凯(00:16:50): 他从提他从服务单里提取的数据是包含了这一部分假数据的，比如说我这家门店这个月的服务业绩是多，就是消耗是多少。

张凯(00:17:01): 这个数据统统计出来就不对耶！

夜航星(00:17:04): 是在备注里面说明嘛？

张凯(00:17:10): 那你备注说明你也汇总不到那个数据里面去？

夜航星(00:17:14): And that. 给它过滤掉，现在就是反正这个复杂度是抛不掉的，要么是后面那个数据分析的时候，麻烦你要么。

张凯(00:17:21): 这对那。

夜航星(00:17:31): 用户日常扣减的时候麻烦。

张凯(00:17:32): 这对那这扣减的时候麻烦点。你们听明白了？

邵冬(00:17:44): 我反正很模糊，反正我刚刚在想你要不你数据不过来也可以，你比如说客户有交易行为的，有在我们小程序上交易的，就在小程序上交易，如果没有小程序上交易的。

夜航星(00:17:59): 邵冬不是这样的，就是他让数据过来，我们已经就是已经设计过了，就数据是能过来的，现在他是出现了过来的那些数据有退款的情况。

张凯(00:18:09): 可以过来。

夜航星(00:18:16): 分支里面的分支。

邵冬(00:18:20): 那你有没有什么方案？

夜航星(00:18:24): 我的方案就是写写在这里，就一直在说按正常的疗程卡给它走掉，然后在备注里面说明。

张凯(00:18:27): The. 

邵冬(00:18:31): 夜航星备注了。如果是备注里面说明。

张凯(00:18:31): 你们还没听明白吗？我俩是明白了。

邵冬(00:18:45): 你要不要用备注用一个别的字段来把勾打上或勾去掉，这样明显一点，做筛选也好做。

夜航星(00:18:56): 这跟备注没什么区别，还影响正常流程。

邵冬(00:18:56): Just. 

张凯(00:19:00): 诶有区别吧，你增加一个字段的话，你那个数据你就可以筛选了你备注里面你总不能去筛选文字。

刘大印(00:19:09): 就用一零来筛选一的？

邵冬(00:19:11): 灵异。

张凯(00:19:13): 后面因为因为我们通过我们这一部分数据通过，本来它是退款，然后我们通过正常的服务流程去把它扣减掉，强行从系统上扣减掉，那么它会产生一个服务数据。最后我们汇总数据的时候，这个数据是不对的。

邵冬(00:19:31): 我想到是这么个方案，这样你们如果说他作弊的话，也很容易把数据给查出来，这样能震慑一下他们，我大致想这样一个方案。跟备注差不多，它用明显的一个字段来标注。

夜航星(00:19:48): 明显的字段标注不好的地方，影响了绝大多数情况。

邵冬(00:19:55): 跟备注差不多，但是它用明显的一个字段来标注那。

夜航星(00:20:00): 看怎么权衡，你是要影响绝大多数情况还是这种少数情况去妥协一下。

邵冬(00:20:08): 张总决定吧，张总决定。

张凯(00:20:08): 比比如影响什么形象影响什么？

夜航星(00:20:14): 就是你有个勾放那里给别人勾别人每次走服务单的时候都要想一下这个勾要不要勾他有时候不小心不用勾的给它勾掉。

张凯(00:20:18): 那我们再精简一下，我这个勾的动作能不能给管理员来操作，因为他要退钱他肯定知道。

夜航星(00:20:33): 我们。我们是正常走疗程卡。有权限的人很多，不止管理员，你不能卡给管理员？

邵冬(00:20:37): 你你你给管理员，你查给管理员，你就多一个流程。

夜航星(00:20:50): 我们是正常走那个疗程卡，有这个权限的人很多，不止管理员，你不能卡给管理员，因为这是我们正常现在的方案是按正常的那个流程走，正常流程他很多人都会参与的。

张凯(00:21:01): 你不标记的话，最终汇总数据就汇总的不对了。

夜航星(00:21:10): 汇总的数据，把过滤掉嘛！

张凯(00:21:15): 你咋过滤嘞，你没有标明显的标记，你咋过滤嘞？备注是不可控的，我今天备注这么几个文字，明天备注那么几个文字，可能大家的备注都不一样。

夜航星(00:21:46): 你你你给弄个字段，你可以接受吗？

张凯(00:21:52): 好像你之前讲的是也是做继承单，但是填的是负数，然后最后说实现不了？

夜航星(00:22:02): 他不能纯粹创建一个负数的疗程卡对，然后我们创建继承单。那个流程它只能创建它，不能它冲抵不好做，然后做冲抵这个动作本本身跟。员工走走服务单，这个流程是会可能有时间间隙上的冲突。这不是很好处理。两边一起在操作就不好处理。

张凯(00:23:03): 现在是。

夜航星(00:23:07): 你非要坚持冲底的话。做也能做，但是你你你得接受，我可能会引入新的 bug。

张凯(00:23:18): 你做不了。

夜航星(00:23:31): 因为这处理起来比较复杂，所以就不能保证不会引入新 bug。

张凯(00:23:41): 怎么弄，目前就是很简！

夜航星(00:23:44): 因为这处理起来比较复杂，所以就不能保证不会引入新 bug，我就可不可以问一下这种情况，它大概是什么样的比例？如果比例不大的话，也不影响你们整体的业务分析！

张凯(00:24:00): 但是这个比例初始化，因为我们初始化顾客都要倒过来，那么初始化过来的顾客肯定很多，比如说现有顾客档案有1万个，有2万个，那肯定都有一个初始化的过程嘛。

夜航星(00:24:05): 如果比例不大的话，也不影响你们整体的业务分析！

张凯(00:24:14): 至于后面这些几万个顾客档案后面产生多少退款，我还真不确定，因为我不清楚他后面会有多少人会产生退款。

夜航星(00:24:15): 行，那这样好不好，就是我们感觉讨论也讨论不好，我接下来再想一想，就现在先不讨论我看能不能有没有更好的解决方式。

张凯(00:24:37): 那有没有，因为我不太懂技术，就是有没有那种，比如说新弄一个表单也不走什么流程，就反正录进去就给它扣掉就行了，有没有？在技术上有问题不？

夜航星(00:24:50): 新弄一个表单不走流程。

夜航星(00:24:56): 啥意思，这好像不是。

张凯(00:25:01): 就店里面也不用走流程了，我管我作为管理员，我直接强制性把这个我录个单进去，把这个扣掉。

刘大印(00:25:11): 从另外一条线上去把它扣掉？

张凯(00:25:15): 对我。

刘大印(00:25:18): 就专门在做一个接口，那个地方可以专门有人来控制。

张凯(00:25:23): 那我不去，我不确定能不能实现哈。

夜航星(00:25:24): 这好像就偏的更多了，就是要不先放着我下下来再想吧？

邵冬(00:25:32): 总体我觉得张总你你按照谢婷那个方式做你管理上如果没有太大问题，我觉得用备注方式做算了。

张凯(00:25:44): 但是你你你忘了一个点备注的方式打比方说我这个月正常服务单服务了10万的业绩哈。然后有2万块钱是因为退这个东西退的，也是走的正常的服务单，那么我最终提取的数据就是显示我这家店这个月产生了12万的服务业绩。

邵冬(00:26:09): 那么要不加嘛，加字段，这个方式你是接受的是不是加字段过滤？

张凯(00:26:16): 加字段过滤我接受谢工不是说可能会产生其他问题吗？

邵冬(00:26:23): 那么要不加加字段这个方式你是接受的，是不是加字段过滤，那这个我们目前来说可能加粗段过滤可能更合适点，然后谢工到时候通盘再考虑一下，好了，目前好像最优方案是这个。

夜航星(00:26:34): 我再想这个好像有别的问题。

邵冬(00:26:38): 再想影响哪些问题，要想一想的，因为大大。

夜航星(00:26:41): 加字段可能会影响金额的问题。

邵冬(00:26:46): 因为搭到后面要考虑的关联的东西就越来越多了。先过！

夜航星(00:26:50): Ok. 下一个是历史遗留充值金类似情况？

张凯(00:26:57): 问题也类似。

夜航星(00:27:05): 充充值充值机你们总能正常走流程？

张凯(00:27:11): 充值金。

夜航星(00:27:13): 这是正向操作！

张凯(00:27:15): 但是充值金不是要付钱吗？比如说我给顾客开个单开充值的单，然后会有后面会有一个付款的环节。但是我历史数据是不需要他付款的。

夜航星(00:27:31): 对那他让他走线下付款吗？

张凯(00:27:37): 现那你最终汇总出来的流水就不对的了。

夜航星(00:27:41): 对那他让他走线下付款吗？流水。

张凯(00:27:42): 一样的问题了，你汇总出来，比如说你这个月实付金额就会显示我没收到钱，但是他还是汇总到数据里面去了。

夜航星(00:27:51): 对一样的问题，这你你打算咋整就充值金那里再加一个什么？历史充值金这种勾选，然后跟寄存单做类似的操作。

夜航星(00:28:18): 历史充值金这种勾选，然后跟寄存单做类似的操作。那充值金的退款问题？退款问题咋整退款问题？

张凯(00:28:27): 充值原来开单正常开充值单，他能走退款吗？

夜航星(00:28:40): 原来可以走退款。

张凯(00:28:42): 这个和前面是同一类问题了，相当于。

夜航星(00:28:48): 朋友的问题。

夜航星(00:29:03): 这个问题就是你你要你要把这个分支加到系统里面，那系统的整个复杂性上去因为多了分支那 bug 的出现的概率又会提高。然后不加就是后面处理你，你你们做财务或者就对账的时候处理，可能麻烦一点。

张凯(00:29:18): 你讲。对你讲的是是正确的。

夜航星(00:29:34): 因为这个复杂度本身存在，就总得有个地方去处理。

张凯(00:29:47): 历史数据。

张凯(00:30:06): 目前这两个没有解决方案的，我们下要不下一个讨论？

夜航星(00:30:12): 这两个也要不这两个你定要不定一下，不是说没有解决方案，就是你你要不要坚持那个？

张凯(00:30:20): 目前这两个没有解决方案的，我们下要不下一个讨论，把你们饿到了？

夜航星(00:30:25): 给你们审计工作减负担，给开发增加负担。

张凯(00:30:34): 我也不想给开发增加负担，我也不想有 bug。

夜航星(00:30:42): 这个复杂的总总是得有人承担的，就是要不就定一下，不然我感觉就会后也不好定。

邵冬(00:30:50): 对我真我也支持谢工的这个说法，反正就是我也理解张总，这个状况，但总得做决定，这个东西你没办法绕不过去。

张凯(00:31:06): 那方案怎么解决嘛，从技术上？

邵冬(00:31:13): 我你我们就这样，我们就听谢工的好不好？谢工说怎么样我们就怎么样？

张凯(00:31:20): 谢工已经备注了上面。

夜航星(00:31:23): 我已经说了走备注。

邵冬(00:31:26): 我你我们就这样，我们就听谢工的好不好，谢工说怎么样我们就怎么样，小助手走不对路就金额对金额会对不上，就这个问题。

张凯(00:31:26): 的备注，但是。但是备注。对就提取出来的数据就不对，会后面那个演绎数据。

邵冬(00:31:38): 这个相差也不会太大，这个东西你难道会有这么多退款吗？

张凯(00:31:46): 那肯定有历史数你想要初始化历史有多少个顾客导进去？

邵冬(00:31:47): 我不相信你。

邵冬(00:32:03): 那你我也没什么解决方案。那你这个我也没什么解决方案。这影响我们上线知道吧，这个我得问你要钱。

张凯(00:32:22): 要钱正常要要钱。

邵冬(00:32:24): 那我没有上线网，我不问你要钱，我这但这卡在这里我们好难受！

张凯(00:32:41): 备注。That. 

邵冬(00:32:48): 你也不用跟万总和凤总去解释的吧，他们听都估计听晕掉了。

张凯(00:32:51): 那我们这么推，就是目前备注会影响后续的数据汇总。

邵冬(00:32:57): 你也不用跟万总和凤总去解释的，他们听都估计听晕掉了，复杂度，林倩负责做。

张凯(00:33:02): 那我们能不能解决这个数据汇总的问题？

夜航星(00:33:07): 你们备注！

邵冬(00:33:13): 你备注要不就是统一的用某个，比如说什么某个字符来定，就是必须输这两个。

夜航星(00:33:15): 规范统一一下。

邵冬(00:33:24): 这样的也相当于一种过滤。

张凯(00:33:26): 那你相当于你就通过这个文字来筛选过滤，这个是不可控的嘛，这个相当于你你刚刚讲的，比如说写个字段，大家只能选那种就有标准嘛，你选是或者选否，那就两种答案，但是你去备注，那大家都你只能口头通知跟人家说，你只能备注这个，但是你无法保证人家会多个符号，少个符号啥的。

邵冬(00:33:32): 对现在。

邵冬(00:33:53): 上你们，你张总的那个？

夜航星(00:33:54): 打勾也可能打错！

张凯(00:33:57): 不是打勾，我说选项，比如说分高，我那能不让其他人选？

夜航星(00:33:59): 反正就是选项就打勾，是否嘛，是否也可能打错嘛？

张凯(00:34:08): 可以实现？

夜航星(00:34:13): 要我给你备注，这里加一个下拉可以吗？

邵冬(00:34:18): 还备注一下。

张凯(00:34:18): 备注里加个啥？

夜航星(00:34:19): 备注退款？

邵冬(00:34:22): 他备注下拉了退款了以后意味着他写了写不了别。

夜航星(00:34:27): 哪个备注就是退款，我只需要改前端，整个流程都不用动。

邵冬(00:34:30): 也可以。

张凯(00:34:31): 再拉下拉的话。可以下来也可以编辑吧！

夜航星(00:34:38): 哪个备注就是退款，我只需要改前端，整个流程都不用动。

邵冬(00:34:39): 可以。

张凯(00:34:42): 如果是存在这种进程单，然后要退款的就下拉，如果是正常的跟顾客沟通的，有些备注就可以编辑这个可以实现吧？

邵冬(00:34:54): 那我提一个细节，你下拉的时候不要写退款，你就下拉一长串字写的嗦一点，他们就知道了，就是会醒目，因为。

张凯(00:34:56): 夜航星他家在哪，他不在一般般那些遗址。

夜航星(00:35:04): 可以对我就写那个，比如什么寄存单退款专用。

张凯(00:35:05): I. 

邵冬(00:35:09): 对写的长一点，你只是写个退款，他们有别的方式也这么写，你就写的长一点就是精准的描述。

夜航星(00:35:16): Ok. 

夜航星(00:35:20): 张总有些东西需要靠培训去灌输的。你能理解吗？

邵冬(00:35:20): 我管你靠管理。

张凯(00:35:29): 如果目前下拉可以解决，那就可以，那就下拉。

夜航星(00:35:33): 可以然后充值金就是正向的，我可以给你开一个。开一个开个字段，然后退款也是类似的备注下了。

张凯(00:35:53): 退款是干啥退款？

夜航星(00:35:56): 充就历史遗留充值金，这不也有退款的情况吗？

张凯(00:36:00): 他也不能开退款单吧？

夜航星(00:36:06): 不能开退款单，正常的充值金可以退款？

张凯(00:36:11): 历史导入的充值金能开退款单吗？

夜航星(00:36:14): 不能开退款单，那正常的充值金可以退款你你要吗。

张凯(00:36:17): 不是那不是前你，你前面历史导入的寄存单就是次数不能开退款单，那这个历史的充值金肯定也不能开退款单吧？

夜航星(00:36:27): 不能开退款单那你得扣减，你要扣减吗？C. 扣减就是跟寄存单一样，我们走开款开退款单的方式加上备注。

张凯(00:36:31): 对我问的就是在哪扣减？可以开退款单吗？

夜航星(00:36:45): 正常的充值金可以开退款单，他也可以，不然咋扣减。

张凯(00:36:50): 历史充值金可以开退款单吗？不行吧。

夜航星(00:36:56): 他不能开那种退款单，但是。

张凯(00:37:00): 那他开什么单嘛？

夜航星(00:37:04): 也是个问题。

张凯(00:37:06): 因为因为他也不能开服务的，他和系统还不一样。

夜航星(00:37:10): 对他还跟寄存还不一样。

张凯(00:37:11): 他对因为他不能走走服务单的流程，因为他没有项目。

夜航星(00:37:21): 对。

张凯(00:37:24): 上个月多少钱？

夜航星(00:37:28): 对想一想，我干脆把这种编辑权限给管理员。

张凯(00:37:37): 然后咋编辑可以，比如咋改你不能说来着？

夜航星(00:37:37): 让他可以改敏感的数据。这好像也好改是这不好改，因为我们充值金的数据是。是有完整的那个款项流水的你不能款项流水跟这个还对不上。

张凯(00:38:05): 但是。正向导入进去的时候，它就要和款项流水区分开。退款的时候不用区分开退款，反正都是退钱嘛。

夜航星(00:38:25): 这充值金能不能就不走系统了。历史的充值金？

张凯(00:38:27): 充值金不走系统的话。

夜航星(00:38:32): 就是你们那里找个地方寄，然后用户走线下收款的时候给他。

张凯(00:38:42): 一起上看不太见。

夜航星(00:38:44): 给他扣掉或者系统初始化的时候一次性给他录上去。

张凯(00:38:50): 咋录嘞。

夜航星(00:38:52): 你们是不是有一部分用户，他手机号还不明确，然后他又有充值金的？

张凯(00:39:00): 手机号不明确，还有共同心。手机号不明确，有手机号有充值金的手机号明不明确，我还真不清楚。

夜航星(00:39:09): 就手机号不明确就没法在初始化的时候给它对应录进去。

张凯(00:39:25): 对我们都是要他，他先注册，我们再给他录进去嘛。

夜航星(00:39:31): 对。对历史从此清！

夜航星(00:39:46): 历史冲击可以走线下吗？

张凯(00:39:49): 历史充值金走线下是啥意思？

夜航星(00:39:53): 走线下用户支付方式，选择线下收款的时候，你们拿中充值金去抵。

张凯(00:39:59): 用户充那会出现一样的问题，走线下就是流水，比如说我流水，我这个月实收10万，但是其中里面其实有3万不用统计的，因为是历史数据导入的，没有流水。我的这比寄存少一点。

夜航星(00:40:17): 你你们充值金留存款多吗？少一个数量级还是少少同个数量级那种？

张凯(00:40:30): 你。你说一个数量级是什么意思？太专业了。

夜航星(00:40:34): 规模上是少个10倍100倍，还是说？

张凯(00:40:40): 没有少那么多，那不会怎么100倍10倍是有。

夜航星(00:40:42): 那就那就影响也是很大的对吗？

张凯(00:40:46): 因为他有因为确实有顾客，他原来付了钱，相当于充值过来，他又没有确定项目，还好，确定项目我就直接给他导入项目就好了，我都不用给他导入充值金了。

夜航星(00:40:59): 对。

张凯(00:41:01): 但是我们这段时间给门店培训实操的时候就是门店反馈他确实有预充值的他也不确定到底是什么项目。

夜航星(00:41:12): 对。

张凯(00:41:13): 六六。他上课。

夜航星(00:41:16): 那也就是说历史充值金它需要有个正向的初始化的入口，这是要的，然后退款的话。

张凯(00:41:23): 对。

夜航星(00:41:26): 这款。

张凯(00:41:28): 退款就可以和常规的一样没问题。因为退款都是要打钱？

夜航星(00:41:32): 对。退款也不要打钱。那退款只能走线下。

张凯(00:41:38): 走线下是啥意思就。

夜航星(00:41:47): 只能走线下支付。

张凯(00:41:51): 退款没有退款，不用选择付款方式？

夜航星(00:41:58): 只能走线下支付。不是我们正常的退款，会原路返回的。

张凯(00:42:03): 退款会原路返回，我们。

张凯(00:42:12): 我们不自动扣钱？

