张凯(00:00:01): 我截不出来。
张凯(00:13:59): 越简单越好嘛，不要搞那么复杂。太难了，别人都不会用。

夜航星(00:14:17): 刚才1019条是咋定的，就顾客确认完服务单就能结束了吗？

贺东群(00:14:25): 我觉得还是要店长审核。

夜航星(00:14:40): 只要订单审核他也做不了啥，他不能分配业绩就是对我们是分两步，一个是服务单的确认完了之后才开始开启分配业绩。

贺东群(00:14:43): 店长审核不是分配业绩吗？

张凯(00:14:46): 是另外一个动作。

贺东群(00:14:55): 就不用他确认了，就直接是店长分配消耗业绩就好了。

夜航星(00:14:59): 行，那就维持现状了。

贺东群(00:15:06): 然后我明天再让他看一下，因为我今天没有看到。

夜航星(00:15:11): 那我明明天，今天晚上再部署一版，然后你们前几天的问问题是就是今天这个表格先包括前几天没有关掉的问题吗？

夜航星(00:15:30): 那行哪个。

张凯(00:15:32): 日历没改，谢工，日历没包含22号写的首页的日历点进去还是没有数据？

夜航星(00:15:43): 首先制定好数据这块，我确实之前没来得及改，主要改功能去了。

张凯(00:15:51): 日历进去还是看到空白的？

夜航星(00:15:55): 我看一下吧再。你你要方便的话，前面没有改过的，就前面还有问题的，你把它放到25号来。

贺东群(00:16:13): 好。没改过的放到25号。

夜航星(00:16:19): 前面问题仍然存在的，放到25号来。

夜航星(00:16:29): 好，我这边没啥问题了。

张凯(00:16:33): 我们这个日历。他能不用 K 代表吗？k 看着好奇怪！

夜航星(00:16:39): 不用 k 放不下那个数字放不下？

张凯(00:16:43): 放不下。

夜航星(00:16:52): 他本身比较紧凑，你不用 k，确实放不下。

张凯(00:16:55): 放不下。

夜航星(00:16:59): 这个我之前放过了，就是他那个出现很奇怪的意外，你把它改成省略形式嘛，他具体的可以你点击那个卡片进去看。

张凯(00:17:06): 然后。然后还有两个问题没有那个一个顾客的小程序端顾客的标签筛选分类。

夜航星(00:17:24): 顾客小程序的标签筛选分类一点都没有，小城顾客小城员工装吗？

张凯(00:17:36): 顾客。But. 员工端。

夜航星(00:17:42): 现在是。现在他有一些新标签。这不够是吗？

张凯(00:17:50): 有一有一些。

夜航星(00:17:54): 上次订的就是这些。

张凯(00:17:57): 没有你忘了你说给我们，你说给我加一点动态的可以筛选？

夜航星(00:18:06): 那加哪几个？

张凯(00:18:12): 要哪几个，我那里面放了截图，就比如说根据他是什么类别的顾客，然后累计消费，然后他是保有会员还是有效还是预警这些？

夜航星(00:18:14): 好。好好。那我给他加。

张凯(00:18:29): 你不用全部列出来，你可以因为好像全部列出来这个页面都就占满了。

夜航星(00:18:37): 我弄个收缩的吧！

张凯(00:18:39): 对。有两个标签还没有更新？

夜航星(00:18:53): 两个标签我今天更新了，还没发版。我今天更新一部分。

张凯(00:18:57): 还有第二个问题就是寄存单，我看了一下计算单，我们的场景。寄存单没有办法去改单价就不符合我们的场景。

夜航星(00:19:16): 夜航星他没办法改单价，让他改也行，就是你们历史记录里面就是相同东西，它价格还会不一样？

张凯(00:19:24): You. 对因为因为我你看我们不是有商品有组合套餐里面它有一个套餐内部加，然后包括我们，比如说我们有收购别人门店，别的顾客过来的，那其实他原来不管卖多少钱，我们做的时候都得按我们的标准去给那个美容师，他们算提成这些。

夜航星(00:19:55): 行，那这个我把可以改价给打开就好了。

张凯(00:20:05): 因为寄存项目的时候和卖项目的时候一样，就是项目本身它有一个规格，它的标准价是多少，但是我卖给他可能不是这个价，那寄存的时候也是这样子。

夜航星(00:20:11): 对。好，你先来。然后我还我感觉你们还有好好多功能感觉没测试过。

夜航星(00:20:33): 比如会员权益什么优惠券之类的？

张凯(00:20:40): 权益历史订单合同我们还没开始搞这个怎么搞？

夜航星(00:20:41): 然后历史订单核对。

张凯(00:20:49): 历史订单怎么搞？

夜航星(00:20:56): 历史订单它的逻辑就是通过输手机号给外面的顾客编号去把历史订单拉过来，就你啥时候需要把这个顾客加进来，你就啥时候去拉就行，然后拉过来把订单拉过来，然后你可以改他的一些参数，比如金额这些可以改掉。

张凯(00:21:21): 那我回到 wifi 上给我自己建一个档案，然后我可以抓过来测试对吗？就现在就已经可以抓数据了。

夜航星(00:21:30): 可以。是可以的，我之前测过的。

张凯(00:21:39): 好，那我明天试一下。

张凯(00:21:45): 我明天给我自己开个单吧，然后手机号匹配上试一下。

夜航星(00:21:50): 行没测过功能，可能多少会有些 bug。

张凯(00:21:58): 我明天给我自己开个单吧，然后手机号匹配上试一下。

夜航星(00:22:05): 还有操作日志这块，你们有什么要求吗？就相当于一个审计的功能。

张凯(00:22:15): 他说日志主要是我看不太懂，我不知道他有些英文我不知道他干了啥。比如说我看到熊晨辉他好多是英文的。

夜航星(00:22:35): 我就比如他是创建商品。

张凯(00:22:43): 比如说我看到熊晨辉他好多是英文的创建商品。

夜航星(00:23:00): 一般就是出了问题，审计的时候用的正常服用。

张凯(00:23:05): 就是查他们修改了什么东西？

夜航星(00:23:10): 对。

张凯(00:23:17): 因为目前。

夜航星(00:23:19): 这块先不管也可以。

张凯(00:23:24): 就目前我还没有遇到。

夜航星(00:23:34): 那行，那我没啥问题了。

张凯(00:23:36): 小群你这边还有问题不？

贺东群(00:23:38): 暂时没有。

夜航星(00:23:41): 对那个门店库存写了一版，要不你看一下哪些不符合需求再改一下。

张凯(00:23:41): 你要多测一下诶！库存减了100。那你明天也试一下小群。

贺东群(00:23:54): 库存在哪。

张凯(00:24:00): 在网页端哈！

夜航星(00:24:03): 网页端有，然后员工端小程序员工端有查看的。

张凯(00:24:09): 在网页端哈在哪儿，库存管理？

夜航星(00:24:13): 在我的里面！

张凯(00:24:16): 库存管理里面库存管理采购入库。它显示服务器错误。

夜航星(00:24:23): 在我的里面！那可能就新功能都会有点怕的。我们再改改。

张凯(00:24:35): 服务器错误。

夜航星(00:25:01): 我今天晚上也更新一下。

张凯(00:25:03): 然后谢工会员权益里面分享里怎么操作？

夜航星(00:25:09): 会员权益就推给别的用户？

张凯(00:25:14): 怎么推？

夜航星(00:25:15): 我还没开发进去，我想一下。

张凯(00:25:20): 那行吧，那你先想。

夜航星(00:25:22): 大概率是把小程序分享给别人。

张凯(00:25:27): 那行吧，那你先想分享给别人？

夜航星(00:25:28): 别人通过分享的小程序点进来。就可能识别到这，我还得验证一下。

张凯(00:25:38): 好好。那其他暂时没啥问题了。

夜航星(00:25:43): 行。
