张凯(00:00:02): 刚刚讲到哪里了，就是热敏灸它那个系统它就是你设置线的时候你可以选设置模板？
张凯(00:24:11): Hello. 不是首先就是说计算他因为开了体验单是不是会卖，比如说卖68卡卖几张，这一张就表示一张卡两张就表示两张卡。

夜航星(00:24:28): 对。

张凯(00:24:33): 然后我们后台再给他做个配置表，因为他那个卡经常也有阶梯的五，比如说50张1200块钱吧，然后。

夜航星(00:24:42): 卡金还有阶梯？四张1500块钱我这还。

张凯(00:24:51): 30张是八百块钱，40张是1000块钱，这样子的。

邵冬(00:24:57): 你你这个推广部的提成计算方式，我觉得要文字稿定下来，从从最初的按照这个比例题到阶梯题，现在你现在这个题又分两块了。

夜航星(00:25:13): 最好不要按累计量提，只能月度结算，就不能按照销售的流水去结算了。

张凯(00:25:19): 阅读。它是按照数量。

夜航星(00:25:31): 对你，你数量不得是每每个月汇总固定时间汇总一次吗？

邵冬(00:25:35): 手机子。但是你你的你之前的需求就是要实时能看我的提成的钱。

张凯(00:25:38): 对。

夜航星(00:25:45): 或者给他弄好，比如说68的就一张提多少九九十八一张提多少，这样子可以按照销售流水。去实时去提。

张凯(00:26:15): 可以刚好你前面讲的，反正你前面讲的那个体验单的逻辑刚好就符合我们收钱托克卡的逻辑？

夜航星(00:26:25): 这个也可以写成比例，就无非就比例高一点60%或者40固定的固定也没问题。

张凯(00:26:34): 是固定的？

夜航星(00:26:46): 也行嘛，固定的。

张凯(00:26:50): 但是它是根据项目固定的？

夜航星(00:26:54): Nine. 把固定那个数除以项目金额对应的比例，相当于这个处理方式就可以跟其他商品处理的方式一样。

张凯(00:27:01): M.。

张凯(00:27:14): 这后面弄出来再看吧！

张凯(00:27:24): 刚好你售前体验单解决了我们推广部的问题。

夜航星(00:27:33): 我做的过程中，我会尽量的让它抽象到一块，不然细节太细碎了整个系统稳健性会有问题。

张凯(00:27:46): 那所以还是要多讨论！你看我 workfine 就是弄得比较复杂。你做的时候点的？

夜航星(00:27:49): 对。

邵冬(00:27:54): 我就只有你一个人比较清楚我怎么我只能帮你解决其中的一些问题，你这个太复杂了，我上次理那个库存理的头都大大了。

张凯(00:28:00): 那怎么办？我又没有人讨论，你说。做人还是好简单的！

邵冬(00:28:12): 不，我你们老板不知道你做我饭的难做，他们就他们也不会去碰那个东西。

张凯(00:28:24): 对吗。

张凯(00:28:31): 其他还有啥问题不，我目前也没有了，我也我一下也想不起来了。

夜航星(00:28:34): 我暂时没有就信息量也挺多的。

邵冬(00:28:38): 反正先做了，因为一下子说太多也做不出来，先做，然后做出来体验了以后再说。

邵冬(00:28:57): 我觉得推广部事有点复杂。

张凯(00:29:03): 推广不哪里复杂？

邵冬(00:29:06): 先这样吧，要不好好那就这样好客气，好拜拜！

张凯(00:29:09): 可以好好辛苦你们了，拜拜！

夜航星(00:29:10): 可以中路咱走。

夜航星(00:29:25): 诶东哥。

邵冬(00:29:27): 等一下，我看一下。那他出去了，你说下个节点就是上线。

夜航星(00:29:31): 下个节点的时间要不要定一下怎么说，也不是说上线，就我们做好一部分就相当于里程碑，做好一部分功能。

邵冬(00:29:46): 那那怎么定，怎么个定法？

夜航星(00:29:48): 然后再给他们看。就比如说两周来。

邵冬(00:29:59): 其实迈过了3月五号这个时间点，其实相对来说开发你是压力会小不少的就是其实张凯他人还好的就是无非他们本身就逻辑很复杂，然后他找我，主要是我还能看看看得懂丢给别人，看都很难看。

夜航星(00:30:07): 对。

邵冬(00:30:27): 所以就还好，然后他然后我们就能干，那你你觉得这个下一个这个里程碑是怎么弄，我两周我们还是两周，我们强制碰一次面好了，因为我因为现其实我觉得没必要碰面，但是有时候碰面效果还是会比较好，两周以后的礼拜六，要不？

夜航星(00:30:36): 要不就两周来？

邵冬(00:30:53): 就是我这个礼拜六就算了吧，我那我就3月21号，因为我3月21号我正好送我儿子3月21号我是8:30到两组，然后9:30的样子我来找你。

夜航星(00:30:58): 上面可以 Thank. 可以的。

邵冬(00:31:13): 然后我明天我会追一下，就是他如果说如果是后天大后天了，他开完会我问他就是那个分析师那个事情怎么样？

夜航星(00:31:25): 可以然后这边那个像什么数据权限这块你帮忙盯一下。

邵冬(00:31:33): 数据权限就是相当于这个权限什么东西，我是现在这样理解我不打算盯我就是你根据自己的意自己的想法，先把它权限定好，然后他进去看了不对，然后再去把它重新定下来。

夜航星(00:32:01): 不是腾讯位置像。

邵冬(00:32:06): 腾讯位置这个我来定，那我记一下。等一下。

邵冬(00:32:18): 门店的腾讯文件位置好，这个是小程序上要认证，然后他们小。

夜航星(00:32:21): 对顾客端的？需要认证一下。

邵冬(00:32:38): 他们的话要提供位置。要不要他们提供位置？

夜航星(00:32:43): 他们要的地址，门店的地址和位置都去那里对就可以让他发定位过来。

邵冬(00:32:48): 他们提供一个那个坐标，然后还有一个他门店的照片就是模仿教利书。

夜航星(00:33:01): 对。

邵冬(00:33:12): 他们还有一个事情，其实是产品的图图也模仿家里说。

夜航星(00:33:18): 这些都到后面 web web 后台开发出来让他们填吧！

邵冬(00:33:27): 对，但是他肯定要先给几张样稿，然后我们放上去看看效果，觉得效果可以，他就批量就把这些产品都做成这个样式。

夜航星(00:33:33): 现在今天也忘了。

邵冬(00:33:48): 其他要不先这样也不早了，你你有什么事情反正我们就联系你你。

夜航星(00:33:58): 他是说后天演示哈。

邵冬(00:34:01): 对他明天要自己再练一遍，然后后天演示其他我刚想什么一下子想不到，先这样吧，我下次有事情想说，然后忘记掉了。

夜航星(00:34:05): 那我明天再测那个流程，今天有点晚。

夜航星(00:34:20): 你直接下次想起来就直接发给我。

邵冬(00:34:23): 行好你反正你有事情你随时找我好，你今天下午是在休息吗？我下次发你，你没反应。

夜航星(00:34:29): 好。今天下午那会儿在休息对。

邵冬(00:34:37): OK 行，我你要是六点钟没反应，我会比较着急的对，因为他跟我发牢骚了，然后晚上说要会约会我就找不到你人嘛。

夜航星(00:34:41): 今天。我忘回了，我忘记回了这忘记回了！

邵冬(00:34:57): 因为我是早上11点给你发信息的，然后我看三点钟还没回我，然后后面你回我好，那就这样，今天。好拜拜。

夜航星(00:35:10): 拜拜。
