夜航星(00:00:08): 喂，刚才退了。
张凯(00:06:43): 然后我就跟他说，我说日历不是之前说要日历就看的很直观，然后每天都有多少业绩。

夜航星(00:06:51): 那日历就没了？

张凯(00:06:55): 日历立没了。

邵冬(00:06:56): 谢谢。

夜航星(00:06:58): 好。

夜航星(00:07:01): 行需求就截止到今天为止行不行就不提新需求了？

张凯(00:07:08): 新需求好像想看一下，有啥新需求？

夜航星(00:07:13): 这周 bug 能还能提新需求不能提了？

张凯(00:07:20): 新需求不能提了？我看一下表格里面我再过一遍有哪些没改表格，实际增加了。员工。备注。

张凯(00:08:14): 博客的也讲了？可以，那目前先这么定，然后我中午的我把我们会议的内容我再汇总到一块去，我们前面讨论的内容。

夜航星(00:08:30): 那就邵冬也在那，我们就说好了，需求截止今天，然后 bug 截止这周提出来。

张凯(00:08:38): 我只负责我能测的，你像后面数据中心那些我还没测的那个我不认。

夜航星(00:08:52): 数据中心。

张凯(00:08:54): 还没测嘛，数据中心没数据。

夜航星(00:08:56): 对风云咋处理，想看。

张凯(00:08:59): 就影响不大，就是正常上线之后再去修修补补还可以的。

张凯(00:09:07): 因为要有单出来，要有数据才能去验证数据中心里面的数据？

夜航星(00:09:12): 数据中心这能不能放到维护，不影响这次的合同。

张凯(00:09:23): 因为要有单出来，要有数据才能去验证数据中心里面的数据，那是不影响上线？

夜航星(00:09:26): 他影响这个合同？

张凯(00:09:29): 看一下哪个合同？

夜航星(00:09:30): 影响你们打钱吗？

张凯(00:09:34): 打钱肯定影响了他，他是放在最后一批的嘛？

张凯(00:09:42): 因为我们现在没办法验证这个数据？邵总你的意思嘞？

邵冬(00:09:54): 一个部分。刚刚我在打字你你是哪个部分？

张凯(00:09:58): 数据中心目前没有数据，我们还没有去验证这里面的逻辑？

邵冬(00:10:04): 数据中心验证那咋办？

张凯(00:10:17): 那不是要有数据的才能去验证吗？

邵冬(00:10:19): 那这个部分什么时候，那这个东西有数据的时候再验证就放到后面去了？

张凯(00:10:25): 那不是要有数据的才能去验证，是后面吧，是说后面吧？

邵冬(00:10:27): 对你你这个你你说你非得说要等有数据了，验证完了再付上线，那我们等到何年何月去了这个就没办法变成死循环了，我一直就免费。

张凯(00:10:38): 那不是要有数据的才能去验证吗？是后面吧，是说后面吧，我前面讲了它不影响上线，就是我上线之后顾客产生的数据，我再来验证这里？

邵冬(00:10:45): 那应该的吗？那的吗？

张凯(00:10:47): 对。

夜航星(00:10:51): 邵冬他刚才说数据它影响小程序，这合同打款。

张凯(00:10:59): 对不然不是最后一批吗？

邵冬(00:11:04): 最后一句嘛，验收嘛，它是有个上限嘛？

张凯(00:11:04): 对。

邵冬(00:11:12): 它有个上限款上限是相当于把这个部分。你下午过来了，我跟你说还是怎么样？

夜航星(00:11:22): 我就。

邵冬(00:11:23): 喂我对两次我们先把上线这个部分做掉嘛，上线是指就相当于把他这几个测试门店都撤通，能相当于他全公司开始跑，因为然后全公司跑了以后，他还会有问题发生的嘛，这个时候相当于做验收嘛，相当于他发生的问题，整个公司他会提出来嘛，相当于我们已经扫过一遍问题了，相当于再把问题扫一遍，然后把东西修复掉，叫验收。

夜航星(00:11:26): 还是还剩两次，两两次！行。

夜航星(00:12:00): 这数据中心就放在验收前面？

张凯(00:12:01): 对所以我。

张凯(00:12:06): 放到上线之后，然后验收之前就这个意思，因为我要先上线了，我有数据了，我才知道数据中心逻辑？

夜航星(00:12:06): 可以行。

邵冬(00:12:06): 对。

张凯(00:12:19): 然后你也可以同时进行，分析师的。

夜航星(00:12:23): 你需求详细都没给我。

张凯(00:12:29): 又在等我？

邵冬(00:12:31): 分析师的话，我们是合同里有注明的，你一个月不提交的话我们直接问你要钱的！

张凯(00:12:39): 我已经提交了。

邵冬(00:12:41): 不是就是我们你你需求得告诉我们，如果你不提交需求的话，我也问你要钱的，我们就是把都你提交的需求，我们开发完。

张凯(00:12:54): 已经提交了对，但是我们越我们到时候约个时间把这个指标细化的我给你过一下吧，因为上次只讲了一个大概。

夜航星(00:12:56): 你那后面33个指标都？好，你最好给我公式行。

夜航星(00:13:13): 那还有啥问题吗？好。

张凯(00:13:19): 目前没有了，你把我们今天开会讨论的全部修改好，我觉得就已经很完美了。

夜航星(00:13:25): 行营业额分配你你这边发尽早定一下。

张凯(00:13:35): 哪个营要分配？

夜航星(00:13:38): 刚才讲的回款。

张凯(00:13:42): 回款！我已经在跟他们同时在讨论了我现在。

夜航星(00:13:46): 好，那好像没啥问题，然后我们这边那个支付宝是测测成功了。

张凯(00:13:54): 这样子是好的。

夜航星(00:13:56): 对。

邵冬(00:13:59): 微信待会儿再说吧，待会儿我早上开完会我就开始弄这样。

夜航星(00:14:04): 那先这样。

张凯(00:14:05): 这样子好好拜拜！
