夜航星(00:04:15): 哈张总，那我就不上了。那怎么说，你你这边那个共享屏幕。
夜航星(00:23:05): 这样子就相当于它商品是商品的目录是固定的，然后他每个商品点进去看，看到的是跟客户一样的。

张凯(00:23:23): 目录是固定的点点进去看能看到的顾客是一样的。就是你的员工端，他点进去也是看到目录。

夜航星(00:23:40): 对。

张凯(00:23:43): 就是不影响能互相不影响？

夜航星(00:23:48): 不影响2级目录不会影响。

张凯(00:23:53): 对目录是一样的，比如说我，你看我发群里的两个截图，顾客端它有一个用户体验包311就是他俩点进去了311里面其实里面的东西是一样的。

夜航星(00:24:01): 里面一只是目录不一样。

张凯(00:24:06): 对说业务部他可能做营销活动的时候，在顾客端他分类的名字叫法不一样，就是他可能不根据品相来分，他可能因为季节性吧，他可能根据部位来分，或者说根据什么其他的一些他们那些花里胡哨的一些分类来分，但是那个他只是仅限于展示他的，他怎么分无所谓，他不会影响我们后台数据。

夜航星(00:24:15): 对。对的。

张凯(00:24:35): 因为大家提取的都是那一个东西！

夜航星(00:24:40): 对你的逻辑理解，我到时候去，这都在把这个改掉。

张凯(00:24:51): 你说在商城里面再增加一个分类是怎么分？

夜航星(00:25:00): 也类似商城分类的，相当于每一条记录，再加一个，你可以理解为商城分类二..。

张凯(00:25:16): 其实我是不理解为什么要商品管理和商城管理两个分开，因为我原来的理解的商城管理就是不涉及去修改什么规格，分类，就是给他们跟淘宝店铺装修一样，就是给他们一个权限在顾客端首页去做分类。

夜航星(00:25:39): 商城管理是这样做的，现在。

张凯(00:25:44): 现在商城管理，它会影响员工端开端的提取吗？

夜航星(00:26:00): 怎么说也。员工端的开单直接按照商品管理那边来就可以了。

张凯(00:26:12): 对！

夜航星(00:26:13): 那这样也可以，那就不用再加字段了。

张凯(00:26:18): 对他直接提取商品管理是也可以说商品管理里面它没有组合。

夜航星(00:26:26): 我们再把组合加进去就好了。

张凯(00:26:36): 对是这样子，然后员工开单就是从商品管理里面去提取对，然后商城管理就仅限于就不用再提取一片上面了，就仅限于复刻端的那个首页的展示。

夜航星(00:26:42): 可以改成。

张凯(00:26:56): 它怎么分类，它不会去影响产品的原始的属性，它只是会影响在首页的一个分类情况。

张凯(00:27:13): 那这个没问，这个不会变了，就是规格，这个套餐分组这个我觉得挺好的。

夜航星(00:27:18): 不变，这个不变。

张凯(00:27:31): 套餐。

夜航星(00:27:36): 商城管理做成这个样子是因为上次沟通的时候你你提到了员工端和客户端的区别就是你。是否展示去区别他们，我就做成这个样子。

张凯(00:27:53): 是否展示可能？

夜航星(00:27:56): 我在状态这里做了一个展示中的字段。

张凯(00:28:01): 对我看到了是否展示，我看到了，但是他分类的话，如果这样子，他分类就是两边会跟着变。

夜航星(00:28:05): 对。

张凯(00:28:12): 就会影响我是怕后面影响后台的数据。

夜航星(00:28:18): 后台数据倒不会影响，只是员工端他要像客户一样接受你们页面的变动。

张凯(00:28:28): 对那就很那就反而更麻烦的了。

夜航星(00:28:32): 也不会你客户端可以变动员工端为啥不可以变动，你员工端和客户端是绑在一块的？

张凯(00:28:41): Yep. 我员工端肯定不能变了，员工端肯定我分了这四大类福利活动，护理项目，家居和充值肯定就只有这四大类了。因为他营销活动是无法把控的，他有时候展示有时候不展示，有时候称呼都跟你后台称呼都不一样。

夜航星(00:29:05): 也行。那你们这个客户要是他念出来那么多员工都听不懂是啥吗？

张凯(00:29:19): 听得懂没问题。因为东西是同一个东西，就是你刚刚说的点进去的那里面那个属性它都是同一个东西。

夜航星(00:29:31): 比如说客户说我要你们夏日新品的第一个？

张凯(00:29:37): 那员工肯定知道！

夜航星(00:29:39): 他咋知道的？

张凯(00:29:41): 员工都要培训的，我上这些产品店里都有培训的！

夜航星(00:29:43): 我靠你们这还通过培训你们这不能直接把这个做进去吗？

张凯(00:29:49): 不是我们的意思是我们上项目之前各个门店区域都会培训专业培训手法！

夜航星(00:29:58): 有些不要搞那么复杂，我们搞的累，你们员工到时候培训他也累。

张凯(00:30:01): 不是我不是说给他培训我这个分类，我的意思我们是服务行业，我不管上什么项目之前各个区域都会去给他们培训这个产品的功效，服务流程这些东西。

夜航星(00:30:32): 这块你的需求我理解我，到时候再看看怎么改好，你的需求，我已经理解了。

夜航星(00:30:44): 我们别的地方看看还有没有问题，上次主要改的数据管理和系统管理这两块。

张凯(00:30:53): 主要就是这两个一个疑问，然后关于顾客管理的话，这个单选项能设置成多选吗？

夜航星(00:31:04): 这多选也行，那你你要不会后发给我哪些要多选哪些单选？

张凯(00:31:11): 然后进行了工业？好。

夜航星(00:31:20): 你你你是要全部要多选吗？也不。

张凯(00:31:28): 你看会员等级门店。

夜航星(00:31:34): 你看一遍全部要多选这里就能定掉。

张凯(00:31:40): 市场。我看下怎么能简化优化一下日常。

夜航星(00:31:45): 这个是不是做分级，对这个就这样，市场它，你市场和门店是有关联的吧，有关联，你选一个市场出来你你就能看到关联。

张凯(00:31:54): 这里。没选的时候没关联，选了就有关联了。点了之后就有关联了。

夜航星(00:32:02): 没选说没关联，对没选说没关联，你选一个就有关联。这没问题吧？

张凯(00:32:08): 这个我试过他的计算逻辑都设置完了？

夜航星(00:32:16): 计算容易设置完，数据还没有更新，有些是订单支付之后去执行计算，有些是我是设置每天凌晨3点去做那个计算的，因为有些跟订单没有关系嘛，比如说月度客活到店状态。

张凯(00:32:19): 对因为我也检测不了。

夜航星(00:32:40): 消费的就跟订单有直接关系，我是在支付完成之后发起这个计算。

张凯(00:32:49): 好这个目前我测试不出来，等到时候只有上传数据了才知道。

夜航星(00:32:58): 行。

张凯(00:32:59): 9块钱你为什么说他没做防水？消费记录。然后还有一个剩余项目的没有办法在这里展示。

夜航星(00:33:23): 剩余项目你之前说的我其实不是很理解。你要不再给我？

张凯(00:33:27): 我大概给你讲一下。我打开那个表。赠予项目的意思。我看一下我表。剩余项目。剩余项目的意思，我们希望能够快速的筛选出来顾客某一个品项剩余的。疗程！你像比如说商品管理。你看，比如说我们的下面有这么多品牌嘛哈，有这么多品牌，比如说那个希望有一页能够展示出来，就是能够筛选出来，像筛选顾客一样，我筛选出来哪些顾客，哪一个项目剩余的少于5次的，或者说累计少于10次的。顾客他有一个余额，每个顾客他有剩余的次数，然后顾客管理里面能不能有这个增加一页，或者说在那个。

张凯(00:35:09): 在经营数据里面也可以不管在哪都行，反正就想看到这个东西。

夜航星(00:35:15): 你要筛只是要看？

张凯(00:35:20): 你要筛有区别吗？

夜航星(00:35:23): 只是看，比如说点顾客详情里面我给你展示出来。

张凯(00:35:28): 顾客详情里面？

夜航星(00:35:33): 或者经营数据那里给你展示出来。

张凯(00:35:39): 他这里有鱼刺嘛这里对那这里已经有了，那肯定是要一个汇总的。

夜航星(00:35:41): 有对。那你是要筛选还是只是需要展示这个结果？

张凯(00:35:57): 还能指出来不平台两个都连不上。要筛选要。

夜航星(00:36:19): 有或者说你们就拿这个数据是要干啥的？

张凯(00:36:22): 这两者有区别？看一下我们有多少负债嘛，欠顾客多少钱，然后再一个分析一下有多少快的顾客项目快做完的顾客我们会着重跟进一下。

夜航星(00:36:32): 项目快做完的顾客要主动跟进一下。你你们森美单个品项小于等于5次疗程卡余额，那是所有品项，所有森美的单个品项都得。判断一次。

张凯(00:37:14): 所以。

夜航星(00:37:17): 不好筛计算量有点久，这个能不能导出你们自己计算，你直接？有些东西它计算量比较大的，我觉得可能要导出来计算。你用放到分析师挺好的，放那种明显分析师的需求，放到分析师去吧。

张凯(00:37:44): It. 我是这样子。你放分析师我就算放分析师，我这里也需要！

夜航星(00:37:51): 关键这里这个速度会很慢，不是筛选，你看他要筛选的意他，我们要针对每个客户，他的每个生美单品进行一个疗程卡余额的计算。

张凯(00:37:55): 那就用筛选的？

张凯(00:38:09): 比如说我们顾客管理这里它有你看这一页它是有疗程卡鱼刺的嘛，这里有他剩余的那个鱼刺嘛，把这个。

夜航星(00:38:10): 对。

张凯(00:38:25): 把作为一个单独的板块，专门做一页出来，我可以看到每个顾客明细剩余多少次，然后你给我增加个筛选项，我自己筛选也可以。

夜航星(00:38:39): 你相当于要做疗程卡管理？

张凯(00:38:47): 你可以理解为负债管理嘛，负债顾客没做完的都叫负债！

夜航星(00:38:51): 你们的负债疗程卡！

张凯(00:38:57): 还有产品没拿的不要对。

夜航星(00:38:58): 产品产品没领的。

张凯(00:39:05): 因为因为顾客管理里面这里有就你就保留嘛，这里有就保留，但是比如说我想知道某一家店所有的负债，我不可能一个顾客一个顾客点进去看的，我肯定是批量给他一下子把所有负债导出来嘛，把这家店的顾客。

夜航星(00:39:24): 要不聊程就相当于聊程卡管理这块的需求，你先梳理一下。

张凯(00:39:31): On. 

夜航星(00:39:32): 你梳理，比如梳理一个文档，然后再给我。

夜航星(00:39:40): 行。那我们接下来聊聊聊别的还有什么问题？

张凯(00:39:49): 然后权限管理好像我们好像还没权限管理你好像修改了一点。

夜航星(00:39:55): 优化了现在应该算比较好用的三层半结构，不是现在三。三层结构，整个三层结构，我把部门砍掉了。

张凯(00:40:13): 好像没有部门了哈！

夜航星(00:40:15): 部门他就直接我给他上升到市场或门店。因为我们权限本身就没有设置部门。

夜航星(00:40:32): 因为你，比如说你市场层级的部部门，他管理的就是这市场的东西！

张凯(00:40:39): 那个角色管理在哪里？

夜航星(00:40:45): 角色管理。现在是角色是写死的。

张凯(00:40:55): 角色写死了？

夜航星(00:40:56): 因为角色肯定是得固定！这可以开发阶段可以改，但后面会写死。然后这边可以根据写好的角色去分配权限，角色，你你们角色变动不大，就那么。

张凯(00:41:22): 变动不大，但是我觉得这少了。

夜航星(00:41:25): 少了可以，你说你你你跟我说，我可以加上去。

张凯(00:41:29): 的这里店长，比如说店长，他是啥角色店长？它这几个分别是啥是有啥功能。

夜航星(00:41:44): 这个上次会议说的你你这边会给我梳理每个角色他到底干些什么，然后有哪些角角色？啥我们系统就这些功能嘛，你要把这些功能分配给哪些角色？

张凯(00:42:08): 功能的话，其实角色不多，我们层级比较多。

夜航星(00:42:13): 你你们成绩跟系统无关了你你不用加进来！

张凯(00:42:22): 那看数据的权限？

夜航星(00:42:26): 看数据，你比如说看哪个数据。

张凯(00:42:27): 比如说看门店的经营数据业绩消耗员工的人效，这些。

夜航星(00:42:35): 目前好像是店长和财务都可以看。

张凯(00:42:40): 那比如说市场老总？

夜航星(00:42:43): 市场老总他可以看市场级别的就是市店长这个角色其实是每个层级他都有店长角色。

张凯(00:42:54): 不会给他展示出来，不好看的也展示出来。

夜航星(00:42:56): 就相当于经理一。

张凯(00:43:01): 就他登录自己的小程序上面不会显示自己是店长？

夜航星(00:43:01): 啥叫长正常不好看？可以改个名叫经理吗？或者什么？

张凯(00:43:12): 那挺难看的，那人家总经理，总裁都登上去都看都叫店长！

夜航星(00:43:17): 这个可以不展示，好像又不能完全行，那你张总那你想个办法，你你想个名字，反正这么个意思，就是这个层级的总。

张凯(00:43:32): 我理解你的意思，你你你的角度，比如说总监他就是这个市场的一个店长的角色而已。比如总经理他可能也就他其实执行的也是店长的角色，他说范围看到的比别人多一点。

夜航星(00:43:32): 对要不你想个名字？反正就这个成绩总！

张凯(00:43:52): 你这个角色在小程序上展示出来就不好看。

夜航星(00:44:03): 小程序员工端。

张凯(00:44:06): 员工端登录上去。这不好看。他是不会展示吧？

夜航星(00:44:14): 你不展示也可以，这看你这边需求，你不展示就不展示。

张凯(00:44:21): 那小程序登上去之后，是展示职位，展示角色？

夜航星(00:44:30): 刚才我这边有点噪音，你再说一下看看。

张凯(00:44:34): 小程序大家登录上去是展示职位展示角色？

夜航星(00:44:36): 这你定我这边职位角色都有，你要只展示角职位就只展示职位，可以不展示角色小事儿？

张凯(00:44:51): 那我们现在的，比如说我发的群里的截图，这个美容师他是根据哪来的？

夜航星(00:45:00): 需要改版，我们到时候可以展示职位，如果你这边偏好展示职位的话。

张凯(00:45:15): 对展示职位吧！

夜航星(00:45:16): 可以的。那好。

张凯(00:45:25): 然后我比方说我在重庆北市场，我把这个人设置成店长之后，他就能看到这个重庆北市场下辖所有门店的数据吧。

夜航星(00:45:38): 是的。

张凯(00:45:39): 包括经营数据，包括顾客数据都可以看到。他会在他小程序端去切换门店。

夜航星(00:45:43): 是的。小程序端去切换门店？

张凯(00:46:00): 因为他有很多门店，那他看到数据的界面是什么样子的？

夜航星(00:46:08): 他会看到汇总的。

张凯(00:46:13): 他是会看到汇总的。

夜航星(00:46:15): 对。

张凯(00:46:17): 那我关掉，我再截个图打比方说我是陈志全，我是重庆北的总监，我登录进来我首页我第一页看到的是啥？

夜航星(00:46:28): 首页第一页看到是经汇总的经营数据对。

张凯(00:46:37): 是我发群里的吗？是我发到群里的吗？那美容师绑定的是他自己的数据，如果市场总监绑定的日历上面展示的是啥？

夜航星(00:46:54): 日历上面展展示的就是一个是营业额，然后订单数。

张凯(00:47:01): 他下辖所有门店的营业额。那没错。

夜航星(00:47:12): 你要做成按门店切换那种也可以。

张凯(00:47:19): 电子切换。

夜航星(00:47:21): 对这块我还没仔细的调试过。

张凯(00:47:31): 对按满电切换。

夜航星(00:47:35): 或者你你这就是员工端的小程序首页具体要展怎么展示的逻辑？你梳理一下给我。

张凯(00:47:49): 员工的首页都是不是给过了吗？

夜航星(00:47:53): 给过了吗？给过的不是很完整，就他那现在不是遇到新情况了吗？

张凯(00:48:04): 之前的图片哈！

张凯(00:48:16): 熬夜。The. 比如说我发个图给你参考一下之前。

夜航星(00:48:41): 那就不行，你别说咱讲话。

张凯(00:48:44): 比如说这张图，这是这最开始的时候拿来参考的，他这里它这里就是。

夜航星(00:48:50): 对。

张凯(00:48:56): 右上角就可以切换门店。

夜航星(00:49:01): 右上角切换门店哪里，它右上角。

张凯(00:49:05): 我框出来的？

夜航星(00:49:07): 点进去可以切换门店。

张凯(00:49:11): 对。

夜航星(00:49:12): 这不是点击可以看到更多数据吗？

张凯(00:49:14): 他更对更多数据就是他会有选择他的一个管理范围。

夜航星(00:49:21): 我们也是可以点击的。

张凯(00:49:26): 我是举个案例，就是我因为我们这个日历也挺好的嘛，也不是说别人的一定很好，我们这个日历也挺好的，但是好像因为我没有切换其他角色，我不知道，如果我是换一个角色，我能看到什么数据。

夜航星(00:49:42): 那这样子就是我最外面看到是汇总的，然后可以点进去，然后看到。按门店来划分。

夜航星(00:49:59): 我们现在员工端小程序，它卡片是可以点进去的。

张凯(00:50:09): 我看到了，就是比如说分成累计上月累计点进去它有明细的嘛，但是如果本人美容，比如说美容师本人去看没有问题，因为我也点进去过，他是有点进去了，他有那个销售提成服务提成，然后合计。

夜航星(00:50:15): 对。

夜航星(00:50:35): 他可能他。

张凯(00:50:39): 里面，你说点进去的话，它那个里面细节又有一个要调整的。

夜航星(00:50:45): 对。

张凯(00:50:51): 比如说我截图给你哈，点进去。

夜航星(00:50:56): 不是太大的。

张凯(00:50:59): 点点进来之后。他提成好像？下面四类，他代表的是销售提成还是服务提成？

夜航星(00:51:14): 什么意思。目前来讲那个什么的？放这个？下面是两个才唯一一个销售服务。

夜航星(00:51:38): 2626天气。

张凯(00:51:41): 对他是销售里面也含了什么自销字号，他销字号生态合作，然后服务里面又含了这几类是这样子的。

夜航星(00:51:52): 可以我这边基本上理解你这边意思就大概你你这边的中心思想就是能展示尽量展示？

张凯(00:52:05): 但是他分类是错的，这分四类。

夜航星(00:52:08): 我知道还没调试好。

夜航星(00:52:18): 那经营数据这边的需求你这边方便理一下吗？

张凯(00:52:18): 然后你说。经营数据我看一下哈经营数据。

夜航星(00:52:29): 对因为跟到时候我们员工他首页其实比较相似。

张凯(00:52:38): 好没问题。

夜航星(00:52:40): 你像我们按照理好的去开发，因为现在这种沟通，我只能做个模模糊糊的。

张凯(00:52:51): 那在我们内部开个会，我把这个经营数据里面要怎么展示，把图画出来给你看。

夜航星(00:53:00): 好这样最好了，对我这边张总那个 edi 证你有没有办，你们这个一天！

张凯(00:53:04): 还没开始办的话要吗？你上次不是说帮我问一下要不要用不用了？

夜航星(00:53:13): 我问一下。掉一点睡着了。对。

张凯(00:53:19): 要一点，那我们还得去变更营业执照，因为。

夜航星(00:53:24): 对你营业执照可能要变更到100万。

张凯(00:53:28): 经营范围也要变。

夜航星(00:53:30): 对我刚刚也问了一下人，反正他们费用是2500，反正就是办 edi。

张凯(00:53:40): 能代办？

夜航星(00:53:42): 能代办你小红书上搜一下吧！

张凯(00:53:44): 好。

夜航星(00:53:46): 小红书搜一下，我刚刚问了个人 eds2500。然后包变更营业执照。

张凯(00:53:55): 好的。

夜航星(00:53:56): 我这个人我推给你好了，我刚刚问的人我推给你，反正你你 ICP 有的吧 ICP 不需要它属于电商类的，它不属于知识付费的对它电商类的。

张凯(00:53:59): 可以！

夜航星(00:54:13): 它属于不是自营产品，不需要它属于它，相当于每个门店现在入驻大概它有要 EDI 的。然后照片的话要有 logo 的就拉卡拉这边。

张凯(00:54:33): 我让他没做，让他们要先做个招牌。

夜航星(00:54:37): 你这个抓紧，我们想下下个礼拜就开始做支付这块东西了。

张凯(00:54:45): 可以那个广告店明天就可以送过来了！But. 对那今天其他没啥疑问了，主要就是刚刚讲的商品管理，商城管理，然后。

夜航星(00:54:48): 好行其他没什么。

张凯(00:55:03): 权限因为现在我没有其他的角色，我不知道登录进去能看到啥？

夜航星(00:55:08): 这个人这么长，理论上你是可以去改马甲，因为你这权限都有。没事，那我们。

张凯(00:55:19): 但是小程序好像没更新吧，我改了之后没变。

夜航星(00:55:22): 每天小程序对没更新。

张凯(00:55:26): 我改过了，我改过，但是我登录进去还是一样的。我上次发群里了。

夜航星(00:55:30): 这样吗。然后操作日志还有系统配置都没有问题！

张凯(00:55:42): 系系统配置你说操作日志我没啥需求。

夜航星(00:55:48): 反正就放着审计用的，到时候万一出了什么事故？

张凯(00:55:56): 系统配置。系统配置上传轮播图。

夜航星(00:56:01): 这可以拉动的。已经优化过交互了。

张凯(00:56:10): 这个点我提个问题。就是它这里能实现根据不同的区域展示不同的图吗？

夜航星(00:56:13): 这个不行。我靠，你这要的有点多。

张凯(00:56:23): 诶好。

夜航星(00:56:31): 商品是可以的，商品有个市场的选择，你不知道有没有点过？

张凯(00:56:36): 我看到了，但是商品里面好像没有具体到门店。

